QualityGaugeKey,GaugeNumber,AssetKey,QualityLabCellKey,QualityCalibrationStatusKey,UnitOfMeasureKey,QualityGaugeName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,Unknown,UNKNOWN,0,0.0000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,QG000001,43,293,4,4,Harbor QualityGauge 1,QG000001,1,11.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1e9f96c02e0f522dad7891742b1e206a1e9f96c02e0f522dad7891742b1e206a
2,QG000002,6,94,7,3,Titan QualityGauge 2,QG000002,1,12.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9495adba35be5cefb6467fdcb3947f089495adba35be5cefb6467fdcb3947f08
3,QG000003,369,336,11,1,Vertex QualityGauge 3,QG000003,1,14.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9cf68c6788e25ce9b4a47364d7ccc2079cf68c6788e25ce9b4a47364d7ccc207
4,QG000004,484,127,10,7,Meridian QualityGauge 4,QG000004,1,15.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6bada76d11cd551aafb8e504b3fa01696bada76d11cd551aafb8e504b3fa0169
5,QG000005,106,164,11,5,Pioneer QualityGauge 5,QG000005,0,16.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,97416118aa4d5698af7711c9827f2e6297416118aa4d5698af7711c9827f2e62
6,QG000006,39,339,10,5,Zenith QualityGauge 6,QG000006,1,18.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d164bbc71eb85051aa7ab43ad51d1d18d164bbc71eb85051aa7ab43ad51d1d18
7,QG000007,419,252,10,7,Northstar QualityGauge 7,QG000007,1,19.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,37b9b695706d528e8dc7605b53e6baba37b9b695706d528e8dc7605b53e6baba
8,QG000008,432,463,8,4,Liberty QualityGauge 8,QG000008,1,20.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2d639acb12a853b993b93494e51d9a9f2d639acb12a853b993b93494e51d9a9f
9,QG000009,476,239,4,3,Beacon QualityGauge 9,QG000009,1,22.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c9b8c90266c15c0e998de47aea92f4bcc9b8c90266c15c0e998de47aea92f4bc
10,QG000010,398,344,4,3,Ion QualityGauge 10,QG000010,0,23.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f70b9b86dd9c5a5d98bdd3d202101043f70b9b86dd9c5a5d98bdd3d202101043
11,QG000011,403,40,7,5,Riverton QualityGauge 11,QG000011,1,25.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,44b80a319a5955f49b4dd67100b9644c44b80a319a5955f49b4dd67100b9644c
12,QG000012,21,228,1,7,Atlas QualityGauge 12,QG000012,1,26.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,541bddf17dfc5494b3f96aab0f733d55541bddf17dfc5494b3f96aab0f733d55
13,QG000013,430,364,5,3,Cedar QualityGauge 13,QG000013,1,27.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,37487f01b57051d389f27164776fb20437487f01b57051d389f27164776fb204
14,QG000014,42,137,6,5,Cedar QualityGauge 14,QG000014,1,29.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3837770630165f58a73f792d190234073837770630165f58a73f792d19023407
15,QG000015,15,106,9,7,Keystone QualityGauge 15,QG000015,0,30.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3feee4a82b585a2e96396cada601289e3feee4a82b585a2e96396cada601289e
16,QG000016,290,461,11,4,Cedar QualityGauge 16,QG000016,1,31.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,733bdd78236355278e6ca8d4d2f49840733bdd78236355278e6ca8d4d2f49840
17,QG000017,-1,498,6,6,Zenith QualityGauge 17,QG000017,1,33.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4a035f896711541c96eff51c39f556214a035f896711541c96eff51c39f55621
18,QG000018,171,85,7,5,Ion QualityGauge 18,QG000018,1,34.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b2759f3789915164a6c1d8a687dc97c3b2759f3789915164a6c1d8a687dc97c3
19,QG000019,162,405,11,7,Beacon QualityGauge 19,QG000019,1,36.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,82fec49ea6935d5983129595daa7d7ba82fec49ea6935d5983129595daa7d7ba
20,QG000020,416,270,10,5,Vertex QualityGauge 20,QG000020,0,37.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3bbc1ad0d6c05645b50a09b39f80123a3bbc1ad0d6c05645b50a09b39f80123a
21,QG000021,47,297,7,1,Zenith QualityGauge 21,QG000021,1,38.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b0fb2d99770c5dfbb33c3c825e2fc2cab0fb2d99770c5dfbb33c3c825e2fc2ca
22,QG000022,238,453,11,1,Evergreen QualityGauge 22,QG000022,1,40.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,372f1522eaab57a1842f8f813e3d96c6372f1522eaab57a1842f8f813e3d96c6
23,QG000023,460,239,4,2,Delta QualityGauge 23,QG000023,1,41.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c6d85739a8cc5e6787ba98ceacedb457c6d85739a8cc5e6787ba98ceacedb457
24,QG000024,320,78,9,6,Harbor QualityGauge 24,QG000024,1,42.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,44c16754857e529280f14b0c3a36237a44c16754857e529280f14b0c3a36237a
25,QG000025,315,79,10,3,Beacon QualityGauge 25,QG000025,0,44.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cd3c3818d46b59f6a74dc97543deaf84cd3c3818d46b59f6a74dc97543deaf84
