QualityInspectionCharacteristicKey,InspectionCharacteristicCode,QualityCharacteristicTypeKey,UnitOfMeasureKey,QualityResultStatusKey,QualityInspectionCharacteristicName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,Unknown,UNKNOWN,0,0.0000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,QIC000001,298,1,11,Orion QualityInspectionCharacteristic 1,QIC000001,1,11.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,10b9cd3114fb57cf9e16a58d4ce4cdc110b9cd3114fb57cf9e16a58d4ce4cdc1
2,QIC000002,373,5,3,Orion QualityInspectionCharacteristic 2,QIC000002,1,12.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d9693c430a8e5e6ca46ee832f2e45852d9693c430a8e5e6ca46ee832f2e45852
3,QIC000003,337,4,2,Keystone QualityInspectionCharacteristic 3,QIC000003,1,14.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,684214104b0c5cb0a3732571082dcd78684214104b0c5cb0a3732571082dcd78
4,QIC000004,7,4,4,Cedar QualityInspectionCharacteristic 4,QIC000004,1,15.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6d77cec59b8d5fab9067c4f016ad92be6d77cec59b8d5fab9067c4f016ad92be
5,QIC000005,481,7,1,Liberty QualityInspectionCharacteristic 5,QIC000005,0,16.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7af240ec06cb5599a5e33209d66fde597af240ec06cb5599a5e33209d66fde59
6,QIC000006,196,4,2,Titan QualityInspectionCharacteristic 6,QIC000006,1,18.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2ec3261e9b49556581522835ec589ed32ec3261e9b49556581522835ec589ed3
7,QIC000007,272,6,3,Quartz QualityInspectionCharacteristic 7,QIC000007,1,19.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4d3e6e14c199571787b4b0fe917d00804d3e6e14c199571787b4b0fe917d0080
8,QIC000008,227,2,7,Keystone QualityInspectionCharacteristic 8,QIC000008,1,20.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,74cc78583cab59aeba7363a589a0d0c174cc78583cab59aeba7363a589a0d0c1
9,QIC000009,325,6,7,Pioneer QualityInspectionCharacteristic 9,QIC000009,1,22.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b03bcfa24c2c5783bd9fd41f70edda4bb03bcfa24c2c5783bd9fd41f70edda4b
10,QIC000010,133,3,2,Meridian QualityInspectionCharacteristic 10,QIC000010,0,23.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7c7172e8624550b0844ee50059c29f907c7172e8624550b0844ee50059c29f90
11,QIC000011,51,5,4,Zenith QualityInspectionCharacteristic 11,QIC000011,1,25.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,271be71751b95faa8e40b3444c85a403271be71751b95faa8e40b3444c85a403
12,QIC000012,142,3,3,Delta QualityInspectionCharacteristic 12,QIC000012,1,26.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,645dfe6ed07c54ddb4c9fa2d6e166ff3645dfe6ed07c54ddb4c9fa2d6e166ff3
13,QIC000013,255,7,2,Beacon QualityInspectionCharacteristic 13,QIC000013,1,27.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5053cd7106a6539894ff17ab20e50a5c5053cd7106a6539894ff17ab20e50a5c
14,QIC000014,96,5,10,Harbor QualityInspectionCharacteristic 14,QIC000014,1,29.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5c6e49afc4915476b9223bc7ca352b3b5c6e49afc4915476b9223bc7ca352b3b
15,QIC000015,298,4,4,Keystone QualityInspectionCharacteristic 15,QIC000015,0,30.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b19a67ce332c57e8b73076ead8cb9315b19a67ce332c57e8b73076ead8cb9315
16,QIC000016,211,7,4,Cedar QualityInspectionCharacteristic 16,QIC000016,1,31.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3195123b893c568ab9d4f94ab59400383195123b893c568ab9d4f94ab5940038
17,QIC000017,106,7,6,Titan QualityInspectionCharacteristic 17,QIC000017,1,33.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eea42a56f95856f8839ea150552d813deea42a56f95856f8839ea150552d813d
18,QIC000018,228,2,1,Keystone QualityInspectionCharacteristic 18,QIC000018,1,34.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fc964f7555355fe3a377af091da79f5afc964f7555355fe3a377af091da79f5a
19,QIC000019,115,6,3,Evergreen QualityInspectionCharacteristic 19,QIC000019,1,36.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9d92f6864de4521b8362d587f2ab62c19d92f6864de4521b8362d587f2ab62c1
20,QIC000020,78,5,5,Evergreen QualityInspectionCharacteristic 20,QIC000020,0,37.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,76f6543f847b5c7c9b0cec6ceb103d1e76f6543f847b5c7c9b0cec6ceb103d1e
21,QIC000021,189,4,9,Granite QualityInspectionCharacteristic 21,QIC000021,1,38.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1120ef40b8f45b01adcf85085b021d591120ef40b8f45b01adcf85085b021d59
22,QIC000022,299,3,5,Summit QualityInspectionCharacteristic 22,QIC000022,1,40.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,51bf46f9cd1e51659785697a0e4ca7c651bf46f9cd1e51659785697a0e4ca7c6
23,QIC000023,78,4,5,Willow QualityInspectionCharacteristic 23,QIC000023,1,41.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,10f2a7b54529558383639258773f798310f2a7b54529558383639258773f7983
24,QIC000024,317,1,4,Titan QualityInspectionCharacteristic 24,QIC000024,1,42.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7390f083849d53d5b8e117ed0ef6c6b97390f083849d53d5b8e117ed0ef6c6b9
25,QIC000025,468,2,7,Beacon QualityInspectionCharacteristic 25,QIC000025,0,44.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,723c2de363b85eb4ab5586b940d41b98723c2de363b85eb4ab5586b940d41b98
26,QIC000026,429,5,5,Liberty QualityInspectionCharacteristic 26,QIC000026,1,45.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9d0333317e435f8892363ebb8753458b9d0333317e435f8892363ebb8753458b
27,QIC000027,272,4,10,Ion QualityInspectionCharacteristic 27,QIC000027,1,46.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,59a84ff13bce529faa617bd5b9b566be59a84ff13bce529faa617bd5b9b566be
28,QIC000028,496,1,11,Zenith QualityInspectionCharacteristic 28,QIC000028,1,48.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9399986109a6570f8b28fce06439e6a09399986109a6570f8b28fce06439e6a0
29,QIC000029,362,6,10,Harbor QualityInspectionCharacteristic 29,QIC000029,1,49.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c1dc9b42a2065341bd498ec377b6c33bc1dc9b42a2065341bd498ec377b6c33b
30,QIC000030,246,3,3,Beacon QualityInspectionCharacteristic 30,QIC000030,0,51.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aada6d13f46a507c93a881602a4f569aaada6d13f46a507c93a881602a4f569a
31,QIC000031,443,6,11,Junction QualityInspectionCharacteristic 31,QIC000031,1,52.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,040d008806065c7489dac829785ac523040d008806065c7489dac829785ac523
32,QIC000032,141,1,4,Atlas QualityInspectionCharacteristic 32,QIC000032,1,53.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bc15e956015357e2b71af6ecede61f77bc15e956015357e2b71af6ecede61f77
33,QIC000033,310,1,10,Junction QualityInspectionCharacteristic 33,QIC000033,1,55.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,24986506a762508e904413e453741f1d24986506a762508e904413e453741f1d
34,QIC000034,458,5,1,Keystone QualityInspectionCharacteristic 34,QIC000034,1,56.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c334f970bb405a58b94b5c4aa9e9d091c334f970bb405a58b94b5c4aa9e9d091
35,QIC000035,385,6,6,Unity QualityInspectionCharacteristic 35,QIC000035,0,57.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1837ee09bd5d5545830b0bb0ed99f9c51837ee09bd5d5545830b0bb0ed99f9c5
36,QIC000036,74,1,10,Unity QualityInspectionCharacteristic 36,QIC000036,1,59.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7d7a588d0d995f6c84d168478b2ade2d7d7a588d0d995f6c84d168478b2ade2d
