QualityLabGroupKey,QualityLabGroupCode,QualityOrganizationSiteKey,QualityLabGroupName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,QLG000001,7,Northstar QualityLabGroup 1,1,1,2026-08-24T00:00:00.000
2,QLG000002,24,Northstar QualityLabGroup 2,1,1,2026-08-24T00:00:00.000
3,QLG000003,16,Summit QualityLabGroup 3,1,1,2026-08-24T00:00:00.000
4,QLG000004,16,Cedar QualityLabGroup 4,1,1,2026-08-24T00:00:00.000
5,QLG000005,33,Zenith QualityLabGroup 5,1,1,2026-08-24T00:00:00.000
6,QLG000006,12,Meridian QualityLabGroup 6,1,1,2026-08-24T00:00:00.000
7,QLG000007,20,Northstar QualityLabGroup 7,1,1,2026-08-24T00:00:00.000
8,QLG000008,33,Harbor QualityLabGroup 8,1,1,2026-08-24T00:00:00.000
9,QLG000009,9,Riverton QualityLabGroup 9,1,1,2026-08-24T00:00:00.000
10,QLG000010,9,Vertex QualityLabGroup 10,1,1,2026-08-24T00:00:00.000
11,QLG000011,8,Quartz QualityLabGroup 11,1,1,2026-08-24T00:00:00.000
12,QLG000012,29,Ion QualityLabGroup 12,1,1,2026-08-24T00:00:00.000
13,QLG000013,26,Liberty QualityLabGroup 13,1,1,2026-08-24T00:00:00.000
14,QLG000014,2,Summit QualityLabGroup 14,1,1,2026-08-24T00:00:00.000
15,QLG000015,11,Willow QualityLabGroup 15,1,1,2026-08-24T00:00:00.000
16,QLG000016,2,Junction QualityLabGroup 16,1,1,2026-08-24T00:00:00.000
17,QLG000017,13,Riverton QualityLabGroup 17,1,1,2026-08-24T00:00:00.000
18,QLG000018,3,Delta QualityLabGroup 18,1,1,2026-08-24T00:00:00.000
19,QLG000019,9,Granite QualityLabGroup 19,1,1,2026-08-24T00:00:00.000
20,QLG000020,40,Willow QualityLabGroup 20,1,1,2026-08-24T00:00:00.000
21,QLG000021,22,Forge QualityLabGroup 21,1,1,2026-08-24T00:00:00.000
22,QLG000022,30,Evergreen QualityLabGroup 22,1,1,2026-08-24T00:00:00.000
23,QLG000023,37,Beacon QualityLabGroup 23,1,1,2026-08-24T00:00:00.000
24,QLG000024,34,Titan QualityLabGroup 24,1,1,2026-08-24T00:00:00.000
25,QLG000025,24,Titan QualityLabGroup 25,1,1,2026-08-24T00:00:00.000
26,QLG000026,18,Beacon QualityLabGroup 26,1,1,2026-08-24T00:00:00.000
27,QLG000027,32,Harbor QualityLabGroup 27,1,1,2026-08-24T00:00:00.000
28,QLG000028,29,Riverton QualityLabGroup 28,1,1,2026-08-24T00:00:00.000
29,QLG000029,30,Delta QualityLabGroup 29,1,1,2026-08-24T00:00:00.000
30,QLG000030,2,Meridian QualityLabGroup 30,1,1,2026-08-24T00:00:00.000
31,QLG000031,4,Ion QualityLabGroup 31,1,1,2026-08-24T00:00:00.000
32,QLG000032,30,Northstar QualityLabGroup 32,1,1,2026-08-24T00:00:00.000
33,QLG000033,33,Summit QualityLabGroup 33,1,1,2026-08-24T00:00:00.000
34,QLG000034,15,Pioneer QualityLabGroup 34,1,1,2026-08-24T00:00:00.000
35,QLG000035,38,Quartz QualityLabGroup 35,1,1,2026-08-24T00:00:00.000
36,QLG000036,28,Vertex QualityLabGroup 36,1,1,2026-08-24T00:00:00.000
37,QLG000037,15,Keystone QualityLabGroup 37,1,1,2026-08-24T00:00:00.000
38,QLG000038,3,Riverton QualityLabGroup 38,1,1,2026-08-24T00:00:00.000
39,QLG000039,27,Unity QualityLabGroup 39,1,1,2026-08-24T00:00:00.000
40,QLG000040,17,Vertex QualityLabGroup 40,1,1,2026-08-24T00:00:00.000
41,QLG000041,22,Liberty QualityLabGroup 41,1,1,2026-08-24T00:00:00.000
42,QLG000042,5,Atlas QualityLabGroup 42,1,1,2026-08-24T00:00:00.000
43,QLG000043,4,Granite QualityLabGroup 43,1,1,2026-08-24T00:00:00.000
44,QLG000044,16,Atlas QualityLabGroup 44,1,1,2026-08-24T00:00:00.000
45,QLG000045,26,Meridian QualityLabGroup 45,1,1,2026-08-24T00:00:00.000
46,QLG000046,13,Evergreen QualityLabGroup 46,1,1,2026-08-24T00:00:00.000
47,QLG000047,21,Cedar QualityLabGroup 47,1,1,2026-08-24T00:00:00.000
48,QLG000048,29,Harbor QualityLabGroup 48,1,1,2026-08-24T00:00:00.000
