QualityMethodClassKey,QualityMethodClassCode,QualityMethodFamilyKey,QualityMethodClassName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,QMC000001,10,Beacon QualityMethodClass 1,1,1,2026-08-24T00:00:00.000
2,QMC000002,2,Unity QualityMethodClass 2,1,1,2026-08-24T00:00:00.000
3,QMC000003,1,Riverton QualityMethodClass 3,1,1,2026-08-24T00:00:00.000
4,QMC000004,5,Delta QualityMethodClass 4,1,1,2026-08-24T00:00:00.000
5,QMC000005,8,Evergreen QualityMethodClass 5,1,1,2026-08-24T00:00:00.000
6,QMC000006,2,Quartz QualityMethodClass 6,1,1,2026-08-24T00:00:00.000
7,QMC000007,4,Liberty QualityMethodClass 7,1,1,2026-08-24T00:00:00.000
8,QMC000008,1,Harbor QualityMethodClass 8,1,1,2026-08-24T00:00:00.000
9,QMC000009,4,Liberty QualityMethodClass 9,1,1,2026-08-24T00:00:00.000
10,QMC000010,7,Unity QualityMethodClass 10,1,1,2026-08-24T00:00:00.000
11,QMC000011,9,Evergreen QualityMethodClass 11,1,1,2026-08-24T00:00:00.000
12,QMC000012,10,Meridian QualityMethodClass 12,1,1,2026-08-24T00:00:00.000
13,QMC000013,3,Riverton QualityMethodClass 13,1,1,2026-08-24T00:00:00.000
14,QMC000014,2,Cedar QualityMethodClass 14,1,1,2026-08-24T00:00:00.000
15,QMC000015,6,Delta QualityMethodClass 15,1,1,2026-08-24T00:00:00.000
16,QMC000016,8,Evergreen QualityMethodClass 16,1,1,2026-08-24T00:00:00.000
17,QMC000017,6,Atlas QualityMethodClass 17,1,1,2026-08-24T00:00:00.000
18,QMC000018,3,Northstar QualityMethodClass 18,1,1,2026-08-24T00:00:00.000
19,QMC000019,5,Quartz QualityMethodClass 19,1,1,2026-08-24T00:00:00.000
20,QMC000020,6,Orion QualityMethodClass 20,1,1,2026-08-24T00:00:00.000
21,QMC000021,7,Riverton QualityMethodClass 21,1,1,2026-08-24T00:00:00.000
22,QMC000022,10,Unity QualityMethodClass 22,1,1,2026-08-24T00:00:00.000
23,QMC000023,2,Granite QualityMethodClass 23,1,1,2026-08-24T00:00:00.000
24,QMC000024,7,Delta QualityMethodClass 24,1,1,2026-08-24T00:00:00.000
25,QMC000025,8,Delta QualityMethodClass 25,1,1,2026-08-24T00:00:00.000
26,QMC000026,2,Meridian QualityMethodClass 26,1,1,2026-08-24T00:00:00.000
27,QMC000027,8,Liberty QualityMethodClass 27,1,1,2026-08-24T00:00:00.000
28,QMC000028,2,Atlas QualityMethodClass 28,1,1,2026-08-24T00:00:00.000
29,QMC000029,2,Forge QualityMethodClass 29,1,1,2026-08-24T00:00:00.000
30,QMC000030,5,Ion QualityMethodClass 30,1,1,2026-08-24T00:00:00.000
31,QMC000031,7,Forge QualityMethodClass 31,1,1,2026-08-24T00:00:00.000
32,QMC000032,1,Titan QualityMethodClass 32,1,1,2026-08-24T00:00:00.000
33,QMC000033,9,Orion QualityMethodClass 33,1,1,2026-08-24T00:00:00.000
34,QMC000034,3,Ion QualityMethodClass 34,1,1,2026-08-24T00:00:00.000
35,QMC000035,10,Summit QualityMethodClass 35,1,1,2026-08-24T00:00:00.000
36,QMC000036,10,Quartz QualityMethodClass 36,1,1,2026-08-24T00:00:00.000
37,QMC000037,7,Willow QualityMethodClass 37,1,1,2026-08-24T00:00:00.000
38,QMC000038,9,Riverton QualityMethodClass 38,1,1,2026-08-24T00:00:00.000
39,QMC000039,1,Junction QualityMethodClass 39,1,1,2026-08-24T00:00:00.000
40,QMC000040,5,Beacon QualityMethodClass 40,1,1,2026-08-24T00:00:00.000
41,QMC000041,9,Northstar QualityMethodClass 41,1,1,2026-08-24T00:00:00.000
42,QMC000042,7,Atlas QualityMethodClass 42,1,1,2026-08-24T00:00:00.000
43,QMC000043,3,Atlas QualityMethodClass 43,1,1,2026-08-24T00:00:00.000
44,QMC000044,8,Ion QualityMethodClass 44,1,1,2026-08-24T00:00:00.000
45,QMC000045,7,Delta QualityMethodClass 45,1,1,2026-08-24T00:00:00.000
46,QMC000046,3,Liberty QualityMethodClass 46,1,1,2026-08-24T00:00:00.000
47,QMC000047,3,Summit QualityMethodClass 47,1,1,2026-08-24T00:00:00.000
48,QMC000048,2,Pioneer QualityMethodClass 48,1,1,2026-08-24T00:00:00.000
49,QMC000049,9,Liberty QualityMethodClass 49,1,1,2026-08-24T00:00:00.000
50,QMC000050,2,Forge QualityMethodClass 50,1,1,2026-08-24T00:00:00.000
