RoutingHeaderKey,RoutingNumber,ProductKey,RoutingOperationTypeKey,EngineeringLifecycleStatusKey,RoutingHeaderName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,Unknown,UNKNOWN,0,0.0000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,RH000001,499,306,2,Beacon RoutingHeader 1,RH000001,1,11.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bd15e4f982c45373b741e16a485e6faabd15e4f982c45373b741e16a485e6faa
2,RH000002,161,202,8,Liberty RoutingHeader 2,RH000002,1,12.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,83ac36aaad67560aaeb5f3f8c848778f83ac36aaad67560aaeb5f3f8c848778f
3,RH000003,201,184,8,Atlas RoutingHeader 3,RH000003,1,14.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b2fd109239395f8ba0d02fad28518c88b2fd109239395f8ba0d02fad28518c88
4,RH000004,322,478,10,Junction RoutingHeader 4,RH000004,1,15.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e0a0baca11e0568c8c079b0282140769e0a0baca11e0568c8c079b0282140769
5,RH000005,404,160,3,Ion RoutingHeader 5,RH000005,0,16.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,449e2efc36b650a2aec5d39924668f20449e2efc36b650a2aec5d39924668f20
6,RH000006,222,271,6,Harbor RoutingHeader 6,RH000006,1,18.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5546f3ac36055e2889422e4db303a70b5546f3ac36055e2889422e4db303a70b
7,RH000007,309,129,8,Titan RoutingHeader 7,RH000007,1,19.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a3b19818385358bfaa76a27a58ad7e89a3b19818385358bfaa76a27a58ad7e89
8,RH000008,337,54,3,Evergreen RoutingHeader 8,RH000008,1,20.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4b7c2870a0f757a6b3418fda1299e1fb4b7c2870a0f757a6b3418fda1299e1fb
9,RH000009,220,160,9,Delta RoutingHeader 9,RH000009,1,22.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5d4c1761cef05542917323e4076ab19f5d4c1761cef05542917323e4076ab19f
10,RH000010,345,86,10,Junction RoutingHeader 10,RH000010,0,23.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,45b37a669c5e5616998484c622ba74ec45b37a669c5e5616998484c622ba74ec
11,RH000011,166,208,2,Summit RoutingHeader 11,RH000011,1,25.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f126a4c10d7158b38eb755b3b1e4e7d8f126a4c10d7158b38eb755b3b1e4e7d8
12,RH000012,163,281,10,Evergreen RoutingHeader 12,RH000012,1,26.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5661eda3d4855a3f93e7af07a3ffa0d95661eda3d4855a3f93e7af07a3ffa0d9
13,RH000013,76,135,8,Meridian RoutingHeader 13,RH000013,1,27.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b6f01f7895605029a158d3dd8f5a5508b6f01f7895605029a158d3dd8f5a5508
14,RH000014,323,138,1,Junction RoutingHeader 14,RH000014,1,29.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a15278d0d6205b86be65e98265d14faba15278d0d6205b86be65e98265d14fab
15,RH000015,343,102,5,Forge RoutingHeader 15,RH000015,0,30.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f3ebdaf2ebaa59e6a91ac6266cb2a350f3ebdaf2ebaa59e6a91ac6266cb2a350
16,RH000016,26,147,4,Granite RoutingHeader 16,RH000016,1,31.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5987d35d7e9e59558d5ba22ac31b9f205987d35d7e9e59558d5ba22ac31b9f20
17,RH000017,325,168,8,Willow RoutingHeader 17,RH000017,1,33.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,92678d7956eb5a0ab9fff8bc7e23b30992678d7956eb5a0ab9fff8bc7e23b309
18,RH000018,224,166,9,Cedar RoutingHeader 18,RH000018,1,34.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ef88e67f97c95ee4a64678b3d9495671ef88e67f97c95ee4a64678b3d9495671
19,RH000019,443,119,4,Unity RoutingHeader 19,RH000019,1,36.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,55f70200db075a08aed2e1556819868055f70200db075a08aed2e15568198680
20,RH000020,69,498,8,Pioneer RoutingHeader 20,RH000020,0,37.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,25f77c94c44f5c01b564c2ca70fbf52025f77c94c44f5c01b564c2ca70fbf520
21,RH000021,339,436,4,Evergreen RoutingHeader 21,RH000021,1,38.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,be76c8b519085fff883ed7bb008c6485be76c8b519085fff883ed7bb008c6485
22,RH000022,181,145,7,Zenith RoutingHeader 22,RH000022,1,40.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f80f85d470705b51b9c7f6ab37db87c0f80f85d470705b51b9c7f6ab37db87c0
23,RH000023,456,15,4,Vertex RoutingHeader 23,RH000023,1,41.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1f9998a351485dab96521f5c3bfe03751f9998a351485dab96521f5c3bfe0375
24,RH000024,345,20,5,Ion RoutingHeader 24,RH000024,1,42.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3962db3acd6558c1978666e930084bdb3962db3acd6558c1978666e930084bdb
25,RH000025,40,391,3,Zenith RoutingHeader 25,RH000025,0,44.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2349925eb86f5948b6c66721dab389d32349925eb86f5948b6c66721dab389d3
26,RH000026,452,281,3,Forge RoutingHeader 26,RH000026,1,45.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dfdc2946b5b155d1b8da605a6b64a598dfdc2946b5b155d1b8da605a6b64a598
27,RH000027,307,203,9,Keystone RoutingHeader 27,RH000027,1,46.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3eca3ff7553152d0af5e173a9b6c2c743eca3ff7553152d0af5e173a9b6c2c74
28,RH000028,146,256,5,Pioneer RoutingHeader 28,RH000028,1,48.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,43ceb8bc6dd95543b6285ee50c956ccf43ceb8bc6dd95543b6285ee50c956ccf
29,RH000029,386,27,2,Junction RoutingHeader 29,RH000029,1,49.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0c13f9a8f2b85f9386dbc4180b76aaf80c13f9a8f2b85f9386dbc4180b76aaf8
30,RH000030,12,20,2,Junction RoutingHeader 30,RH000030,0,51.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bed432d1e405535fbb55d04615955af1bed432d1e405535fbb55d04615955af1
31,RH000031,465,222,3,Willow RoutingHeader 31,RH000031,1,52.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a9ce89d099125725b089c950582ff9eba9ce89d099125725b089c950582ff9eb
32,RH000032,29,440,5,Titan RoutingHeader 32,RH000032,1,53.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8f842e059c3d5b5ebd97be2c78de830b8f842e059c3d5b5ebd97be2c78de830b
33,RH000033,51,427,7,Junction RoutingHeader 33,RH000033,1,55.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b87d4ebead4851a8a9c0e73baeb6384fb87d4ebead4851a8a9c0e73baeb6384f
34,RH000034,441,205,7,Beacon RoutingHeader 34,RH000034,1,56.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4dcd2a2b301758849ff49cb804c7e2b64dcd2a2b301758849ff49cb804c7e2b6
35,RH000035,279,183,8,Pioneer RoutingHeader 35,RH000035,0,57.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f6276bcf1bc65693ad64fcb357d70c71f6276bcf1bc65693ad64fcb357d70c71
36,RH000036,30,87,4,Harbor RoutingHeader 36,RH000036,1,59.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,919f9fee218a5ca0b6d10480a7e76b70919f9fee218a5ca0b6d10480a7e76b70
37,RH000037,392,216,1,Harbor RoutingHeader 37,RH000037,1,60.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,140d0ee044275c668f3ad013f98a3734140d0ee044275c668f3ad013f98a3734
38,RH000038,426,466,6,Pioneer RoutingHeader 38,RH000038,1,62.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,47ded0b3d3335d038a1411ff5542c69947ded0b3d3335d038a1411ff5542c699
39,RH000039,156,64,3,Delta RoutingHeader 39,RH000039,1,63.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,64d58d5dade055829b1575de5a62321a64d58d5dade055829b1575de5a62321a
40,RH000040,2,206,8,Ion RoutingHeader 40,RH000040,0,64.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dca9286eca0654759a2ae83ceb545d3ddca9286eca0654759a2ae83ceb545d3d
41,RH000041,92,299,8,Unity RoutingHeader 41,RH000041,1,66.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,70fb217a056d5b8ebe43ff158da38a8070fb217a056d5b8ebe43ff158da38a80
42,RH000042,67,260,10,Cedar RoutingHeader 42,RH000042,1,67.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0af037c655055fe9ac8f8ee789181cd70af037c655055fe9ac8f8ee789181cd7
43,RH000043,390,435,2,Vertex RoutingHeader 43,RH000043,1,68.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ca66d31076b75cc4af595cae88723c75ca66d31076b75cc4af595cae88723c75
44,RH000044,404,23,3,Ion RoutingHeader 44,RH000044,1,70.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1d664f6eb5d75e598df675e722e2a04d1d664f6eb5d75e598df675e722e2a04d
45,RH000045,281,135,2,Unity RoutingHeader 45,RH000045,0,71.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9bb0688da67350ceb3d1bf4ce47e0c869bb0688da67350ceb3d1bf4ce47e0c86
46,RH000046,251,111,10,Delta RoutingHeader 46,RH000046,1,73.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3c9acb9ad6de53dd9b657bb9cfda1c713c9acb9ad6de53dd9b657bb9cfda1c71
