RoutingOperationClassKey,RoutingOperationClassCode,RoutingProcessGroupKey,RoutingOperationClassName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,ROC000001,65,Delta RoutingOperationClass 1,1,1,2026-08-24T00:00:00.000
2,ROC000002,18,Delta RoutingOperationClass 2,1,1,2026-08-24T00:00:00.000
3,ROC000003,45,Forge RoutingOperationClass 3,1,1,2026-08-24T00:00:00.000
4,ROC000004,24,Beacon RoutingOperationClass 4,1,1,2026-08-24T00:00:00.000
5,ROC000005,65,Beacon RoutingOperationClass 5,1,1,2026-08-24T00:00:00.000
6,ROC000006,70,Delta RoutingOperationClass 6,1,1,2026-08-24T00:00:00.000
7,ROC000007,40,Keystone RoutingOperationClass 7,1,1,2026-08-24T00:00:00.000
8,ROC000008,70,Liberty RoutingOperationClass 8,1,1,2026-08-24T00:00:00.000
9,ROC000009,4,Beacon RoutingOperationClass 9,1,1,2026-08-24T00:00:00.000
10,ROC000010,55,Cedar RoutingOperationClass 10,1,1,2026-08-24T00:00:00.000
11,ROC000011,41,Quartz RoutingOperationClass 11,1,1,2026-08-24T00:00:00.000
12,ROC000012,7,Atlas RoutingOperationClass 12,1,1,2026-08-24T00:00:00.000
13,ROC000013,20,Northstar RoutingOperationClass 13,1,1,2026-08-24T00:00:00.000
14,ROC000014,6,Northstar RoutingOperationClass 14,1,1,2026-08-24T00:00:00.000
15,ROC000015,51,Zenith RoutingOperationClass 15,1,1,2026-08-24T00:00:00.000
16,ROC000016,1,Willow RoutingOperationClass 16,1,1,2026-08-24T00:00:00.000
17,ROC000017,33,Beacon RoutingOperationClass 17,1,1,2026-08-24T00:00:00.000
18,ROC000018,16,Summit RoutingOperationClass 18,1,1,2026-08-24T00:00:00.000
19,ROC000019,28,Riverton RoutingOperationClass 19,1,1,2026-08-24T00:00:00.000
20,ROC000020,47,Junction RoutingOperationClass 20,1,1,2026-08-24T00:00:00.000
21,ROC000021,74,Summit RoutingOperationClass 21,1,1,2026-08-24T00:00:00.000
22,ROC000022,13,Beacon RoutingOperationClass 22,1,1,2026-08-24T00:00:00.000
23,ROC000023,61,Meridian RoutingOperationClass 23,1,1,2026-08-24T00:00:00.000
24,ROC000024,5,Northstar RoutingOperationClass 24,1,1,2026-08-24T00:00:00.000
25,ROC000025,58,Pioneer RoutingOperationClass 25,1,1,2026-08-24T00:00:00.000
26,ROC000026,45,Cedar RoutingOperationClass 26,1,1,2026-08-24T00:00:00.000
27,ROC000027,33,Vertex RoutingOperationClass 27,1,1,2026-08-24T00:00:00.000
28,ROC000028,26,Delta RoutingOperationClass 28,1,1,2026-08-24T00:00:00.000
29,ROC000029,7,Liberty RoutingOperationClass 29,1,1,2026-08-24T00:00:00.000
30,ROC000030,57,Zenith RoutingOperationClass 30,1,1,2026-08-24T00:00:00.000
31,ROC000031,66,Beacon RoutingOperationClass 31,1,1,2026-08-24T00:00:00.000
32,ROC000032,65,Keystone RoutingOperationClass 32,1,1,2026-08-24T00:00:00.000
33,ROC000033,74,Riverton RoutingOperationClass 33,1,1,2026-08-24T00:00:00.000
34,ROC000034,52,Orion RoutingOperationClass 34,1,1,2026-08-24T00:00:00.000
35,ROC000035,16,Delta RoutingOperationClass 35,1,1,2026-08-24T00:00:00.000
36,ROC000036,57,Willow RoutingOperationClass 36,1,1,2026-08-24T00:00:00.000
37,ROC000037,9,Evergreen RoutingOperationClass 37,1,1,2026-08-24T00:00:00.000
