RoutingOperationTypeKey,RoutingOperationTypeCode,RoutingOperationClassKey,RoutingOperationTypeName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,ROT000001,105,Harbor RoutingOperationType 1,1,1,2026-08-24T00:00:00.000
2,ROT000002,9,Harbor RoutingOperationType 2,1,1,2026-08-24T00:00:00.000
3,ROT000003,128,Zenith RoutingOperationType 3,1,1,2026-08-24T00:00:00.000
4,ROT000004,229,Delta RoutingOperationType 4,1,1,2026-08-24T00:00:00.000
5,ROT000005,8,Atlas RoutingOperationType 5,1,1,2026-08-24T00:00:00.000
6,ROT000006,88,Riverton RoutingOperationType 6,1,1,2026-08-24T00:00:00.000
7,ROT000007,101,Northstar RoutingOperationType 7,1,1,2026-08-24T00:00:00.000
8,ROT000008,164,Pioneer RoutingOperationType 8,1,1,2026-08-24T00:00:00.000
9,ROT000009,206,Meridian RoutingOperationType 9,1,1,2026-08-24T00:00:00.000
10,ROT000010,135,Cedar RoutingOperationType 10,1,1,2026-08-24T00:00:00.000
11,ROT000011,10,Northstar RoutingOperationType 11,1,1,2026-08-24T00:00:00.000
12,ROT000012,65,Vertex RoutingOperationType 12,1,1,2026-08-24T00:00:00.000
13,ROT000013,131,Vertex RoutingOperationType 13,1,1,2026-08-24T00:00:00.000
14,ROT000014,225,Pioneer RoutingOperationType 14,1,1,2026-08-24T00:00:00.000
15,ROT000015,72,Delta RoutingOperationType 15,1,1,2026-08-24T00:00:00.000
16,ROT000016,92,Forge RoutingOperationType 16,1,1,2026-08-24T00:00:00.000
17,ROT000017,54,Liberty RoutingOperationType 17,1,1,2026-08-24T00:00:00.000
18,ROT000018,82,Summit RoutingOperationType 18,1,1,2026-08-24T00:00:00.000
19,ROT000019,158,Unity RoutingOperationType 19,1,1,2026-08-24T00:00:00.000
20,ROT000020,91,Liberty RoutingOperationType 20,1,1,2026-08-24T00:00:00.000
21,ROT000021,61,Keystone RoutingOperationType 21,1,1,2026-08-24T00:00:00.000
22,ROT000022,102,Vertex RoutingOperationType 22,1,1,2026-08-24T00:00:00.000
23,ROT000023,183,Orion RoutingOperationType 23,1,1,2026-08-24T00:00:00.000
24,ROT000024,238,Evergreen RoutingOperationType 24,1,1,2026-08-24T00:00:00.000
25,ROT000025,177,Junction RoutingOperationType 25,1,1,2026-08-24T00:00:00.000
26,ROT000026,254,Evergreen RoutingOperationType 26,1,1,2026-08-24T00:00:00.000
27,ROT000027,81,Evergreen RoutingOperationType 27,1,1,2026-08-24T00:00:00.000
28,ROT000028,25,Willow RoutingOperationType 28,1,1,2026-08-24T00:00:00.000
29,ROT000029,57,Beacon RoutingOperationType 29,1,1,2026-08-24T00:00:00.000
30,ROT000030,54,Keystone RoutingOperationType 30,1,1,2026-08-24T00:00:00.000
31,ROT000031,70,Cedar RoutingOperationType 31,1,1,2026-08-24T00:00:00.000
32,ROT000032,94,Orion RoutingOperationType 32,1,1,2026-08-24T00:00:00.000
33,ROT000033,186,Cedar RoutingOperationType 33,1,1,2026-08-24T00:00:00.000
34,ROT000034,142,Keystone RoutingOperationType 34,1,1,2026-08-24T00:00:00.000
35,ROT000035,89,Granite RoutingOperationType 35,1,1,2026-08-24T00:00:00.000
36,ROT000036,42,Granite RoutingOperationType 36,1,1,2026-08-24T00:00:00.000
37,ROT000037,155,Zenith RoutingOperationType 37,1,1,2026-08-24T00:00:00.000
38,ROT000038,43,Pioneer RoutingOperationType 38,1,1,2026-08-24T00:00:00.000
39,ROT000039,130,Forge RoutingOperationType 39,1,1,2026-08-24T00:00:00.000
40,ROT000040,188,Atlas RoutingOperationType 40,1,1,2026-08-24T00:00:00.000
41,ROT000041,94,Liberty RoutingOperationType 41,1,1,2026-08-24T00:00:00.000
42,ROT000042,210,Beacon RoutingOperationType 42,1,1,2026-08-24T00:00:00.000
43,ROT000043,160,Meridian RoutingOperationType 43,1,1,2026-08-24T00:00:00.000
44,ROT000044,75,Vertex RoutingOperationType 44,1,1,2026-08-24T00:00:00.000
45,ROT000045,209,Liberty RoutingOperationType 45,1,1,2026-08-24T00:00:00.000
46,ROT000046,33,Delta RoutingOperationType 46,1,1,2026-08-24T00:00:00.000
47,ROT000047,29,Keystone RoutingOperationType 47,1,1,2026-08-24T00:00:00.000
48,ROT000048,227,Meridian RoutingOperationType 48,1,1,2026-08-24T00:00:00.000
49,ROT000049,222,Keystone RoutingOperationType 49,1,1,2026-08-24T00:00:00.000
50,ROT000050,153,Atlas RoutingOperationType 50,1,1,2026-08-24T00:00:00.000
51,ROT000051,229,Quartz RoutingOperationType 51,1,1,2026-08-24T00:00:00.000
52,ROT000052,126,Pioneer RoutingOperationType 52,1,1,2026-08-24T00:00:00.000
53,ROT000053,172,Liberty RoutingOperationType 53,1,1,2026-08-24T00:00:00.000
54,ROT000054,106,Harbor RoutingOperationType 54,1,1,2026-08-24T00:00:00.000
55,ROT000055,13,Liberty RoutingOperationType 55,1,1,2026-08-24T00:00:00.000
56,ROT000056,144,Granite RoutingOperationType 56,1,1,2026-08-24T00:00:00.000
57,ROT000057,146,Summit RoutingOperationType 57,1,1,2026-08-24T00:00:00.000
58,ROT000058,210,Atlas RoutingOperationType 58,1,1,2026-08-24T00:00:00.000
59,ROT000059,46,Delta RoutingOperationType 59,1,1,2026-08-24T00:00:00.000
60,ROT000060,213,Junction RoutingOperationType 60,1,1,2026-08-24T00:00:00.000
61,ROT000061,150,Titan RoutingOperationType 61,1,1,2026-08-24T00:00:00.000
62,ROT000062,128,Forge RoutingOperationType 62,1,1,2026-08-24T00:00:00.000
63,ROT000063,100,Meridian RoutingOperationType 63,1,1,2026-08-24T00:00:00.000
64,ROT000064,214,Harbor RoutingOperationType 64,1,1,2026-08-24T00:00:00.000
65,ROT000065,169,Vertex RoutingOperationType 65,1,1,2026-08-24T00:00:00.000
66,ROT000066,97,Unity RoutingOperationType 66,1,1,2026-08-24T00:00:00.000
67,ROT000067,193,Quartz RoutingOperationType 67,1,1,2026-08-24T00:00:00.000
68,ROT000068,166,Meridian RoutingOperationType 68,1,1,2026-08-24T00:00:00.000
69,ROT000069,215,Harbor RoutingOperationType 69,1,1,2026-08-24T00:00:00.000
70,ROT000070,14,Liberty RoutingOperationType 70,1,1,2026-08-24T00:00:00.000
71,ROT000071,71,Delta RoutingOperationType 71,1,1,2026-08-24T00:00:00.000
72,ROT000072,134,Atlas RoutingOperationType 72,1,1,2026-08-24T00:00:00.000
73,ROT000073,254,Pioneer RoutingOperationType 73,1,1,2026-08-24T00:00:00.000
74,ROT000074,247,Granite RoutingOperationType 74,1,1,2026-08-24T00:00:00.000
75,ROT000075,152,Liberty RoutingOperationType 75,1,1,2026-08-24T00:00:00.000
76,ROT000076,192,Delta RoutingOperationType 76,1,1,2026-08-24T00:00:00.000
77,ROT000077,39,Summit RoutingOperationType 77,1,1,2026-08-24T00:00:00.000
78,ROT000078,24,Evergreen RoutingOperationType 78,1,1,2026-08-24T00:00:00.000
79,ROT000079,153,Forge RoutingOperationType 79,1,1,2026-08-24T00:00:00.000
80,ROT000080,81,Harbor RoutingOperationType 80,1,1,2026-08-24T00:00:00.000
81,ROT000081,94,Quartz RoutingOperationType 81,1,1,2026-08-24T00:00:00.000
82,ROT000082,113,Titan RoutingOperationType 82,1,1,2026-08-24T00:00:00.000
83,ROT000083,234,Quartz RoutingOperationType 83,1,1,2026-08-24T00:00:00.000
84,ROT000084,70,Granite RoutingOperationType 84,1,1,2026-08-24T00:00:00.000
85,ROT000085,6,Pioneer RoutingOperationType 85,1,1,2026-08-24T00:00:00.000
86,ROT000086,176,Pioneer RoutingOperationType 86,1,1,2026-08-24T00:00:00.000
87,ROT000087,227,Liberty RoutingOperationType 87,1,1,2026-08-24T00:00:00.000
88,ROT000088,40,Pioneer RoutingOperationType 88,1,1,2026-08-24T00:00:00.000
89,ROT000089,104,Liberty RoutingOperationType 89,1,1,2026-08-24T00:00:00.000
90,ROT000090,226,Harbor RoutingOperationType 90,1,1,2026-08-24T00:00:00.000
91,ROT000091,207,Atlas RoutingOperationType 91,1,1,2026-08-24T00:00:00.000
92,ROT000092,43,Quartz RoutingOperationType 92,1,1,2026-08-24T00:00:00.000
93,ROT000093,137,Summit RoutingOperationType 93,1,1,2026-08-24T00:00:00.000
94,ROT000094,172,Pioneer RoutingOperationType 94,1,1,2026-08-24T00:00:00.000
95,ROT000095,254,Evergreen RoutingOperationType 95,1,1,2026-08-24T00:00:00.000
96,ROT000096,99,Beacon RoutingOperationType 96,1,1,2026-08-24T00:00:00.000
97,ROT000097,176,Forge RoutingOperationType 97,1,1,2026-08-24T00:00:00.000
98,ROT000098,71,Northstar RoutingOperationType 98,1,1,2026-08-24T00:00:00.000
99,ROT000099,259,Liberty RoutingOperationType 99,1,1,2026-08-24T00:00:00.000
100,ROT000100,234,Meridian RoutingOperationType 100,1,1,2026-08-24T00:00:00.000
101,ROT000101,226,Meridian RoutingOperationType 101,1,1,2026-08-24T00:00:00.000
102,ROT000102,59,Forge RoutingOperationType 102,1,1,2026-08-24T00:00:00.000
103,ROT000103,230,Northstar RoutingOperationType 103,1,1,2026-08-24T00:00:00.000
104,ROT000104,242,Vertex RoutingOperationType 104,1,1,2026-08-24T00:00:00.000
105,ROT000105,212,Zenith RoutingOperationType 105,1,1,2026-08-24T00:00:00.000
106,ROT000106,201,Riverton RoutingOperationType 106,1,1,2026-08-24T00:00:00.000
107,ROT000107,93,Harbor RoutingOperationType 107,1,1,2026-08-24T00:00:00.000
108,ROT000108,117,Cedar RoutingOperationType 108,1,1,2026-08-24T00:00:00.000
109,ROT000109,38,Beacon RoutingOperationType 109,1,1,2026-08-24T00:00:00.000
110,ROT000110,255,Titan RoutingOperationType 110,1,1,2026-08-24T00:00:00.000
111,ROT000111,189,Liberty RoutingOperationType 111,1,1,2026-08-24T00:00:00.000
112,ROT000112,65,Zenith RoutingOperationType 112,1,1,2026-08-24T00:00:00.000
113,ROT000113,6,Orion RoutingOperationType 113,1,1,2026-08-24T00:00:00.000
114,ROT000114,51,Granite RoutingOperationType 114,1,1,2026-08-24T00:00:00.000
115,ROT000115,148,Northstar RoutingOperationType 115,1,1,2026-08-24T00:00:00.000
116,ROT000116,171,Quartz RoutingOperationType 116,1,1,2026-08-24T00:00:00.000
117,ROT000117,253,Ion RoutingOperationType 117,1,1,2026-08-24T00:00:00.000
118,ROT000118,201,Atlas RoutingOperationType 118,1,1,2026-08-24T00:00:00.000
119,ROT000119,137,Beacon RoutingOperationType 119,1,1,2026-08-24T00:00:00.000
120,ROT000120,255,Beacon RoutingOperationType 120,1,1,2026-08-24T00:00:00.000
121,ROT000121,126,Titan RoutingOperationType 121,1,1,2026-08-24T00:00:00.000
122,ROT000122,170,Orion RoutingOperationType 122,1,1,2026-08-24T00:00:00.000
123,ROT000123,251,Vertex RoutingOperationType 123,1,1,2026-08-24T00:00:00.000
124,ROT000124,256,Titan RoutingOperationType 124,1,1,2026-08-24T00:00:00.000
125,ROT000125,61,Riverton RoutingOperationType 125,1,1,2026-08-24T00:00:00.000
126,ROT000126,75,Zenith RoutingOperationType 126,1,1,2026-08-24T00:00:00.000
127,ROT000127,230,Vertex RoutingOperationType 127,1,1,2026-08-24T00:00:00.000
128,ROT000128,255,Quartz RoutingOperationType 128,1,1,2026-08-24T00:00:00.000
129,ROT000129,62,Zenith RoutingOperationType 129,1,1,2026-08-24T00:00:00.000
130,ROT000130,7,Liberty RoutingOperationType 130,1,1,2026-08-24T00:00:00.000
131,ROT000131,57,Granite RoutingOperationType 131,1,1,2026-08-24T00:00:00.000
132,ROT000132,62,Vertex RoutingOperationType 132,1,1,2026-08-24T00:00:00.000
133,ROT000133,203,Riverton RoutingOperationType 133,1,1,2026-08-24T00:00:00.000
134,ROT000134,140,Unity RoutingOperationType 134,1,1,2026-08-24T00:00:00.000
135,ROT000135,136,Beacon RoutingOperationType 135,1,1,2026-08-24T00:00:00.000
136,ROT000136,151,Quartz RoutingOperationType 136,1,1,2026-08-24T00:00:00.000
137,ROT000137,115,Meridian RoutingOperationType 137,1,1,2026-08-24T00:00:00.000
138,ROT000138,155,Titan RoutingOperationType 138,1,1,2026-08-24T00:00:00.000
139,ROT000139,65,Cedar RoutingOperationType 139,1,1,2026-08-24T00:00:00.000
140,ROT000140,166,Willow RoutingOperationType 140,1,1,2026-08-24T00:00:00.000
141,ROT000141,153,Quartz RoutingOperationType 141,1,1,2026-08-24T00:00:00.000
142,ROT000142,128,Forge RoutingOperationType 142,1,1,2026-08-24T00:00:00.000
143,ROT000143,224,Summit RoutingOperationType 143,1,1,2026-08-24T00:00:00.000
144,ROT000144,252,Orion RoutingOperationType 144,1,1,2026-08-24T00:00:00.000
145,ROT000145,49,Willow RoutingOperationType 145,1,1,2026-08-24T00:00:00.000
146,ROT000146,17,Delta RoutingOperationType 146,1,1,2026-08-24T00:00:00.000
147,ROT000147,2,Junction RoutingOperationType 147,1,1,2026-08-24T00:00:00.000
148,ROT000148,226,Forge RoutingOperationType 148,1,1,2026-08-24T00:00:00.000
149,ROT000149,209,Unity RoutingOperationType 149,1,1,2026-08-24T00:00:00.000
150,ROT000150,255,Zenith RoutingOperationType 150,1,1,2026-08-24T00:00:00.000
151,ROT000151,214,Forge RoutingOperationType 151,1,1,2026-08-24T00:00:00.000
152,ROT000152,137,Willow RoutingOperationType 152,1,1,2026-08-24T00:00:00.000
153,ROT000153,3,Liberty RoutingOperationType 153,1,1,2026-08-24T00:00:00.000
154,ROT000154,236,Pioneer RoutingOperationType 154,1,1,2026-08-24T00:00:00.000
155,ROT000155,207,Ion RoutingOperationType 155,1,1,2026-08-24T00:00:00.000
156,ROT000156,82,Forge RoutingOperationType 156,1,1,2026-08-24T00:00:00.000
157,ROT000157,215,Northstar RoutingOperationType 157,1,1,2026-08-24T00:00:00.000
158,ROT000158,65,Liberty RoutingOperationType 158,1,1,2026-08-24T00:00:00.000
159,ROT000159,125,Liberty RoutingOperationType 159,1,1,2026-08-24T00:00:00.000
160,ROT000160,42,Atlas RoutingOperationType 160,1,1,2026-08-24T00:00:00.000
161,ROT000161,63,Quartz RoutingOperationType 161,1,1,2026-08-24T00:00:00.000
162,ROT000162,202,Quartz RoutingOperationType 162,1,1,2026-08-24T00:00:00.000
163,ROT000163,148,Harbor RoutingOperationType 163,1,1,2026-08-24T00:00:00.000
164,ROT000164,9,Summit RoutingOperationType 164,1,1,2026-08-24T00:00:00.000
165,ROT000165,177,Pioneer RoutingOperationType 165,1,1,2026-08-24T00:00:00.000
166,ROT000166,37,Harbor RoutingOperationType 166,1,1,2026-08-24T00:00:00.000
167,ROT000167,178,Atlas RoutingOperationType 167,1,1,2026-08-24T00:00:00.000
168,ROT000168,69,Junction RoutingOperationType 168,1,1,2026-08-24T00:00:00.000
169,ROT000169,240,Titan RoutingOperationType 169,1,1,2026-08-24T00:00:00.000
170,ROT000170,203,Keystone RoutingOperationType 170,1,1,2026-08-24T00:00:00.000
171,ROT000171,165,Beacon RoutingOperationType 171,1,1,2026-08-24T00:00:00.000
172,ROT000172,104,Delta RoutingOperationType 172,1,1,2026-08-24T00:00:00.000
173,ROT000173,67,Meridian RoutingOperationType 173,1,1,2026-08-24T00:00:00.000
174,ROT000174,39,Titan RoutingOperationType 174,1,1,2026-08-24T00:00:00.000
