SafetyAuditChecklistItemKey,SafetyAuditChecklistItemCode,SafetyAuditQuestionSetKey,SafetyAuditChecklistItemName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,SACI000001,250,Vertex SafetyAuditChecklistItem 1,1,1,2026-08-24T00:00:00.000
2,SACI000002,355,Forge SafetyAuditChecklistItem 2,1,1,2026-08-24T00:00:00.000
3,SACI000003,21,Unity SafetyAuditChecklistItem 3,1,1,2026-08-24T00:00:00.000
4,SACI000004,247,Willow SafetyAuditChecklistItem 4,1,1,2026-08-24T00:00:00.000
5,SACI000005,313,Ion SafetyAuditChecklistItem 5,1,1,2026-08-24T00:00:00.000
6,SACI000006,331,Willow SafetyAuditChecklistItem 6,1,1,2026-08-24T00:00:00.000
7,SACI000007,269,Unity SafetyAuditChecklistItem 7,1,1,2026-08-24T00:00:00.000
8,SACI000008,252,Northstar SafetyAuditChecklistItem 8,1,1,2026-08-24T00:00:00.000
9,SACI000009,197,Evergreen SafetyAuditChecklistItem 9,1,1,2026-08-24T00:00:00.000
10,SACI000010,316,Evergreen SafetyAuditChecklistItem 10,1,1,2026-08-24T00:00:00.000
11,SACI000011,270,Cedar SafetyAuditChecklistItem 11,1,1,2026-08-24T00:00:00.000
12,SACI000012,353,Forge SafetyAuditChecklistItem 12,1,1,2026-08-24T00:00:00.000
13,SACI000013,247,Orion SafetyAuditChecklistItem 13,1,1,2026-08-24T00:00:00.000
14,SACI000014,434,Delta SafetyAuditChecklistItem 14,1,1,2026-08-24T00:00:00.000
15,SACI000015,419,Pioneer SafetyAuditChecklistItem 15,1,1,2026-08-24T00:00:00.000
16,SACI000016,452,Meridian SafetyAuditChecklistItem 16,1,1,2026-08-24T00:00:00.000
17,SACI000017,483,Pioneer SafetyAuditChecklistItem 17,1,1,2026-08-24T00:00:00.000
18,SACI000018,422,Summit SafetyAuditChecklistItem 18,1,1,2026-08-24T00:00:00.000
19,SACI000019,343,Granite SafetyAuditChecklistItem 19,1,1,2026-08-24T00:00:00.000
20,SACI000020,6,Willow SafetyAuditChecklistItem 20,1,1,2026-08-24T00:00:00.000
21,SACI000021,1,Keystone SafetyAuditChecklistItem 21,1,1,2026-08-24T00:00:00.000
22,SACI000022,143,Unity SafetyAuditChecklistItem 22,1,1,2026-08-24T00:00:00.000
23,SACI000023,433,Pioneer SafetyAuditChecklistItem 23,1,1,2026-08-24T00:00:00.000
24,SACI000024,336,Northstar SafetyAuditChecklistItem 24,1,1,2026-08-24T00:00:00.000
25,SACI000025,484,Delta SafetyAuditChecklistItem 25,1,1,2026-08-24T00:00:00.000
26,SACI000026,32,Beacon SafetyAuditChecklistItem 26,1,1,2026-08-24T00:00:00.000
27,SACI000027,432,Atlas SafetyAuditChecklistItem 27,1,1,2026-08-24T00:00:00.000
28,SACI000028,439,Northstar SafetyAuditChecklistItem 28,1,1,2026-08-24T00:00:00.000
29,SACI000029,408,Northstar SafetyAuditChecklistItem 29,1,1,2026-08-24T00:00:00.000
30,SACI000030,8,Quartz SafetyAuditChecklistItem 30,1,1,2026-08-24T00:00:00.000
31,SACI000031,468,Unity SafetyAuditChecklistItem 31,1,1,2026-08-24T00:00:00.000
32,SACI000032,109,Granite SafetyAuditChecklistItem 32,1,1,2026-08-24T00:00:00.000
33,SACI000033,413,Vertex SafetyAuditChecklistItem 33,1,1,2026-08-24T00:00:00.000
34,SACI000034,143,Orion SafetyAuditChecklistItem 34,1,1,2026-08-24T00:00:00.000
35,SACI000035,419,Quartz SafetyAuditChecklistItem 35,1,1,2026-08-24T00:00:00.000
36,SACI000036,264,Titan SafetyAuditChecklistItem 36,1,1,2026-08-24T00:00:00.000
37,SACI000037,302,Cedar SafetyAuditChecklistItem 37,1,1,2026-08-24T00:00:00.000
38,SACI000038,331,Willow SafetyAuditChecklistItem 38,1,1,2026-08-24T00:00:00.000
39,SACI000039,436,Unity SafetyAuditChecklistItem 39,1,1,2026-08-24T00:00:00.000
40,SACI000040,391,Orion SafetyAuditChecklistItem 40,1,1,2026-08-24T00:00:00.000
41,SACI000041,500,Orion SafetyAuditChecklistItem 41,1,1,2026-08-24T00:00:00.000
42,SACI000042,440,Orion SafetyAuditChecklistItem 42,1,1,2026-08-24T00:00:00.000
43,SACI000043,254,Willow SafetyAuditChecklistItem 43,1,1,2026-08-24T00:00:00.000
44,SACI000044,314,Evergreen SafetyAuditChecklistItem 44,1,1,2026-08-24T00:00:00.000
45,SACI000045,176,Liberty SafetyAuditChecklistItem 45,1,1,2026-08-24T00:00:00.000
46,SACI000046,166,Junction SafetyAuditChecklistItem 46,1,1,2026-08-24T00:00:00.000
47,SACI000047,80,Unity SafetyAuditChecklistItem 47,1,1,2026-08-24T00:00:00.000
48,SACI000048,139,Vertex SafetyAuditChecklistItem 48,1,1,2026-08-24T00:00:00.000
49,SACI000049,165,Unity SafetyAuditChecklistItem 49,1,1,2026-08-24T00:00:00.000
50,SACI000050,90,Cedar SafetyAuditChecklistItem 50,1,1,2026-08-24T00:00:00.000
51,SACI000051,427,Titan SafetyAuditChecklistItem 51,1,1,2026-08-24T00:00:00.000
