SafetyChemicalCategoryKey,SafetyChemicalCategoryCode,SafetyChemicalFamilyKey,SafetyChemicalCategoryName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,SCC000001,8,Keystone SafetyChemicalCategory 1,1,1,2026-08-24T00:00:00.000
2,SCC000002,19,Harbor SafetyChemicalCategory 2,1,1,2026-08-24T00:00:00.000
3,SCC000003,16,Orion SafetyChemicalCategory 3,1,1,2026-08-24T00:00:00.000
4,SCC000004,4,Beacon SafetyChemicalCategory 4,1,1,2026-08-24T00:00:00.000
5,SCC000005,21,Northstar SafetyChemicalCategory 5,1,1,2026-08-24T00:00:00.000
6,SCC000006,15,Meridian SafetyChemicalCategory 6,1,1,2026-08-24T00:00:00.000
7,SCC000007,6,Keystone SafetyChemicalCategory 7,1,1,2026-08-24T00:00:00.000
8,SCC000008,18,Forge SafetyChemicalCategory 8,1,1,2026-08-24T00:00:00.000
9,SCC000009,9,Harbor SafetyChemicalCategory 9,1,1,2026-08-24T00:00:00.000
10,SCC000010,4,Northstar SafetyChemicalCategory 10,1,1,2026-08-24T00:00:00.000
11,SCC000011,20,Quartz SafetyChemicalCategory 11,1,1,2026-08-24T00:00:00.000
12,SCC000012,17,Delta SafetyChemicalCategory 12,1,1,2026-08-24T00:00:00.000
13,SCC000013,7,Delta SafetyChemicalCategory 13,1,1,2026-08-24T00:00:00.000
14,SCC000014,20,Summit SafetyChemicalCategory 14,1,1,2026-08-24T00:00:00.000
15,SCC000015,15,Meridian SafetyChemicalCategory 15,1,1,2026-08-24T00:00:00.000
16,SCC000016,10,Northstar SafetyChemicalCategory 16,1,1,2026-08-24T00:00:00.000
17,SCC000017,17,Ion SafetyChemicalCategory 17,1,1,2026-08-24T00:00:00.000
18,SCC000018,13,Orion SafetyChemicalCategory 18,1,1,2026-08-24T00:00:00.000
19,SCC000019,8,Delta SafetyChemicalCategory 19,1,1,2026-08-24T00:00:00.000
20,SCC000020,4,Pioneer SafetyChemicalCategory 20,1,1,2026-08-24T00:00:00.000
21,SCC000021,5,Keystone SafetyChemicalCategory 21,1,1,2026-08-24T00:00:00.000
22,SCC000022,22,Zenith SafetyChemicalCategory 22,1,1,2026-08-24T00:00:00.000
23,SCC000023,17,Pioneer SafetyChemicalCategory 23,1,1,2026-08-24T00:00:00.000
24,SCC000024,21,Junction SafetyChemicalCategory 24,1,1,2026-08-24T00:00:00.000
25,SCC000025,21,Forge SafetyChemicalCategory 25,1,1,2026-08-24T00:00:00.000
26,SCC000026,15,Riverton SafetyChemicalCategory 26,1,1,2026-08-24T00:00:00.000
27,SCC000027,15,Orion SafetyChemicalCategory 27,1,1,2026-08-24T00:00:00.000
28,SCC000028,13,Keystone SafetyChemicalCategory 28,1,1,2026-08-24T00:00:00.000
29,SCC000029,9,Vertex SafetyChemicalCategory 29,1,1,2026-08-24T00:00:00.000
30,SCC000030,14,Pioneer SafetyChemicalCategory 30,1,1,2026-08-24T00:00:00.000
31,SCC000031,3,Granite SafetyChemicalCategory 31,1,1,2026-08-24T00:00:00.000
32,SCC000032,4,Forge SafetyChemicalCategory 32,1,1,2026-08-24T00:00:00.000
33,SCC000033,17,Titan SafetyChemicalCategory 33,1,1,2026-08-24T00:00:00.000
34,SCC000034,21,Zenith SafetyChemicalCategory 34,1,1,2026-08-24T00:00:00.000
35,SCC000035,21,Vertex SafetyChemicalCategory 35,1,1,2026-08-24T00:00:00.000
36,SCC000036,13,Unity SafetyChemicalCategory 36,1,1,2026-08-24T00:00:00.000
37,SCC000037,22,Meridian SafetyChemicalCategory 37,1,1,2026-08-24T00:00:00.000
38,SCC000038,5,Harbor SafetyChemicalCategory 38,1,1,2026-08-24T00:00:00.000
39,SCC000039,9,Delta SafetyChemicalCategory 39,1,1,2026-08-24T00:00:00.000
40,SCC000040,24,Forge SafetyChemicalCategory 40,1,1,2026-08-24T00:00:00.000
41,SCC000041,16,Forge SafetyChemicalCategory 41,1,1,2026-08-24T00:00:00.000
42,SCC000042,5,Liberty SafetyChemicalCategory 42,1,1,2026-08-24T00:00:00.000
43,SCC000043,14,Willow SafetyChemicalCategory 43,1,1,2026-08-24T00:00:00.000
44,SCC000044,10,Forge SafetyChemicalCategory 44,1,1,2026-08-24T00:00:00.000
