SafetyChemicalSubstanceKey,SafetyChemicalSubstanceCode,SafetyChemicalCategoryKey,SafetyChemicalSubstanceName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,SCS000001,75,Liberty SafetyChemicalSubstance 1,1,1,2026-08-24T00:00:00.000
2,SCS000002,34,Forge SafetyChemicalSubstance 2,1,1,2026-08-24T00:00:00.000
3,SCS000003,25,Delta SafetyChemicalSubstance 3,1,1,2026-08-24T00:00:00.000
4,SCS000004,110,Zenith SafetyChemicalSubstance 4,1,1,2026-08-24T00:00:00.000
5,SCS000005,153,Summit SafetyChemicalSubstance 5,1,1,2026-08-24T00:00:00.000
6,SCS000006,84,Junction SafetyChemicalSubstance 6,1,1,2026-08-24T00:00:00.000
7,SCS000007,104,Titan SafetyChemicalSubstance 7,1,1,2026-08-24T00:00:00.000
8,SCS000008,125,Atlas SafetyChemicalSubstance 8,1,1,2026-08-24T00:00:00.000
9,SCS000009,35,Harbor SafetyChemicalSubstance 9,1,1,2026-08-24T00:00:00.000
10,SCS000010,25,Riverton SafetyChemicalSubstance 10,1,1,2026-08-24T00:00:00.000
11,SCS000011,103,Vertex SafetyChemicalSubstance 11,1,1,2026-08-24T00:00:00.000
12,SCS000012,75,Atlas SafetyChemicalSubstance 12,1,1,2026-08-24T00:00:00.000
13,SCS000013,40,Junction SafetyChemicalSubstance 13,1,1,2026-08-24T00:00:00.000
14,SCS000014,47,Quartz SafetyChemicalSubstance 14,1,1,2026-08-24T00:00:00.000
15,SCS000015,132,Quartz SafetyChemicalSubstance 15,1,1,2026-08-24T00:00:00.000
16,SCS000016,69,Delta SafetyChemicalSubstance 16,1,1,2026-08-24T00:00:00.000
17,SCS000017,44,Junction SafetyChemicalSubstance 17,1,1,2026-08-24T00:00:00.000
18,SCS000018,117,Willow SafetyChemicalSubstance 18,1,1,2026-08-24T00:00:00.000
19,SCS000019,16,Unity SafetyChemicalSubstance 19,1,1,2026-08-24T00:00:00.000
20,SCS000020,89,Junction SafetyChemicalSubstance 20,1,1,2026-08-24T00:00:00.000
21,SCS000021,144,Unity SafetyChemicalSubstance 21,1,1,2026-08-24T00:00:00.000
22,SCS000022,160,Junction SafetyChemicalSubstance 22,1,1,2026-08-24T00:00:00.000
23,SCS000023,154,Vertex SafetyChemicalSubstance 23,1,1,2026-08-24T00:00:00.000
24,SCS000024,76,Harbor SafetyChemicalSubstance 24,1,1,2026-08-24T00:00:00.000
25,SCS000025,150,Beacon SafetyChemicalSubstance 25,1,1,2026-08-24T00:00:00.000
26,SCS000026,108,Willow SafetyChemicalSubstance 26,1,1,2026-08-24T00:00:00.000
27,SCS000027,153,Keystone SafetyChemicalSubstance 27,1,1,2026-08-24T00:00:00.000
28,SCS000028,21,Evergreen SafetyChemicalSubstance 28,1,1,2026-08-24T00:00:00.000
29,SCS000029,144,Ion SafetyChemicalSubstance 29,1,1,2026-08-24T00:00:00.000
30,SCS000030,50,Meridian SafetyChemicalSubstance 30,1,1,2026-08-24T00:00:00.000
31,SCS000031,101,Unity SafetyChemicalSubstance 31,1,1,2026-08-24T00:00:00.000
32,SCS000032,29,Beacon SafetyChemicalSubstance 32,1,1,2026-08-24T00:00:00.000
33,SCS000033,11,Liberty SafetyChemicalSubstance 33,1,1,2026-08-24T00:00:00.000
34,SCS000034,88,Titan SafetyChemicalSubstance 34,1,1,2026-08-24T00:00:00.000
35,SCS000035,152,Pioneer SafetyChemicalSubstance 35,1,1,2026-08-24T00:00:00.000
36,SCS000036,106,Zenith SafetyChemicalSubstance 36,1,1,2026-08-24T00:00:00.000
37,SCS000037,6,Evergreen SafetyChemicalSubstance 37,1,1,2026-08-24T00:00:00.000
38,SCS000038,176,Keystone SafetyChemicalSubstance 38,1,1,2026-08-24T00:00:00.000
39,SCS000039,87,Keystone SafetyChemicalSubstance 39,1,1,2026-08-24T00:00:00.000
40,SCS000040,20,Orion SafetyChemicalSubstance 40,1,1,2026-08-24T00:00:00.000
41,SCS000041,133,Junction SafetyChemicalSubstance 41,1,1,2026-08-24T00:00:00.000
42,SCS000042,147,Evergreen SafetyChemicalSubstance 42,1,1,2026-08-24T00:00:00.000
43,SCS000043,26,Keystone SafetyChemicalSubstance 43,1,1,2026-08-24T00:00:00.000
44,SCS000044,101,Pioneer SafetyChemicalSubstance 44,1,1,2026-08-24T00:00:00.000
45,SCS000045,122,Vertex SafetyChemicalSubstance 45,1,1,2026-08-24T00:00:00.000
46,SCS000046,50,Northstar SafetyChemicalSubstance 46,1,1,2026-08-24T00:00:00.000
47,SCS000047,110,Orion SafetyChemicalSubstance 47,1,1,2026-08-24T00:00:00.000
48,SCS000048,77,Cedar SafetyChemicalSubstance 48,1,1,2026-08-24T00:00:00.000
49,SCS000049,161,Vertex SafetyChemicalSubstance 49,1,1,2026-08-24T00:00:00.000
50,SCS000050,171,Beacon SafetyChemicalSubstance 50,1,1,2026-08-24T00:00:00.000
51,SCS000051,78,Delta SafetyChemicalSubstance 51,1,1,2026-08-24T00:00:00.000
52,SCS000052,47,Summit SafetyChemicalSubstance 52,1,1,2026-08-24T00:00:00.000
53,SCS000053,44,Willow SafetyChemicalSubstance 53,1,1,2026-08-24T00:00:00.000
54,SCS000054,10,Vertex SafetyChemicalSubstance 54,1,1,2026-08-24T00:00:00.000
55,SCS000055,96,Summit SafetyChemicalSubstance 55,1,1,2026-08-24T00:00:00.000
56,SCS000056,154,Ion SafetyChemicalSubstance 56,1,1,2026-08-24T00:00:00.000
57,SCS000057,82,Zenith SafetyChemicalSubstance 57,1,1,2026-08-24T00:00:00.000
58,SCS000058,73,Keystone SafetyChemicalSubstance 58,1,1,2026-08-24T00:00:00.000
59,SCS000059,120,Delta SafetyChemicalSubstance 59,1,1,2026-08-24T00:00:00.000
60,SCS000060,178,Orion SafetyChemicalSubstance 60,1,1,2026-08-24T00:00:00.000
61,SCS000061,58,Summit SafetyChemicalSubstance 61,1,1,2026-08-24T00:00:00.000
62,SCS000062,41,Forge SafetyChemicalSubstance 62,1,1,2026-08-24T00:00:00.000
63,SCS000063,178,Granite SafetyChemicalSubstance 63,1,1,2026-08-24T00:00:00.000
64,SCS000064,173,Unity SafetyChemicalSubstance 64,1,1,2026-08-24T00:00:00.000
65,SCS000065,96,Harbor SafetyChemicalSubstance 65,1,1,2026-08-24T00:00:00.000
66,SCS000066,96,Northstar SafetyChemicalSubstance 66,1,1,2026-08-24T00:00:00.000
67,SCS000067,103,Keystone SafetyChemicalSubstance 67,1,1,2026-08-24T00:00:00.000
68,SCS000068,126,Titan SafetyChemicalSubstance 68,1,1,2026-08-24T00:00:00.000
69,SCS000069,115,Granite SafetyChemicalSubstance 69,1,1,2026-08-24T00:00:00.000
70,SCS000070,118,Keystone SafetyChemicalSubstance 70,1,1,2026-08-24T00:00:00.000
71,SCS000071,29,Summit SafetyChemicalSubstance 71,1,1,2026-08-24T00:00:00.000
72,SCS000072,148,Zenith SafetyChemicalSubstance 72,1,1,2026-08-24T00:00:00.000
73,SCS000073,106,Orion SafetyChemicalSubstance 73,1,1,2026-08-24T00:00:00.000
74,SCS000074,90,Orion SafetyChemicalSubstance 74,1,1,2026-08-24T00:00:00.000
75,SCS000075,21,Cedar SafetyChemicalSubstance 75,1,1,2026-08-24T00:00:00.000
76,SCS000076,26,Titan SafetyChemicalSubstance 76,1,1,2026-08-24T00:00:00.000
77,SCS000077,64,Keystone SafetyChemicalSubstance 77,1,1,2026-08-24T00:00:00.000
78,SCS000078,38,Keystone SafetyChemicalSubstance 78,1,1,2026-08-24T00:00:00.000
79,SCS000079,96,Liberty SafetyChemicalSubstance 79,1,1,2026-08-24T00:00:00.000
80,SCS000080,146,Quartz SafetyChemicalSubstance 80,1,1,2026-08-24T00:00:00.000
81,SCS000081,176,Unity SafetyChemicalSubstance 81,1,1,2026-08-24T00:00:00.000
82,SCS000082,85,Vertex SafetyChemicalSubstance 82,1,1,2026-08-24T00:00:00.000
83,SCS000083,100,Granite SafetyChemicalSubstance 83,1,1,2026-08-24T00:00:00.000
84,SCS000084,160,Harbor SafetyChemicalSubstance 84,1,1,2026-08-24T00:00:00.000
85,SCS000085,20,Unity SafetyChemicalSubstance 85,1,1,2026-08-24T00:00:00.000
86,SCS000086,106,Granite SafetyChemicalSubstance 86,1,1,2026-08-24T00:00:00.000
87,SCS000087,29,Cedar SafetyChemicalSubstance 87,1,1,2026-08-24T00:00:00.000
88,SCS000088,135,Zenith SafetyChemicalSubstance 88,1,1,2026-08-24T00:00:00.000
89,SCS000089,121,Summit SafetyChemicalSubstance 89,1,1,2026-08-24T00:00:00.000
90,SCS000090,155,Cedar SafetyChemicalSubstance 90,1,1,2026-08-24T00:00:00.000
91,SCS000091,177,Willow SafetyChemicalSubstance 91,1,1,2026-08-24T00:00:00.000
