SafetyComplianceTopicKey,SafetyComplianceTopicCode,SafetyRegulationProgramKey,SafetyComplianceTopicName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,SCT000001,26,Unity SafetyComplianceTopic 1,1,1,2026-08-24T00:00:00.000
2,SCT000002,50,Evergreen SafetyComplianceTopic 2,1,1,2026-08-24T00:00:00.000
3,SCT000003,39,Unity SafetyComplianceTopic 3,1,1,2026-08-24T00:00:00.000
4,SCT000004,37,Unity SafetyComplianceTopic 4,1,1,2026-08-24T00:00:00.000
5,SCT000005,10,Evergreen SafetyComplianceTopic 5,1,1,2026-08-24T00:00:00.000
6,SCT000006,53,Evergreen SafetyComplianceTopic 6,1,1,2026-08-24T00:00:00.000
7,SCT000007,16,Quartz SafetyComplianceTopic 7,1,1,2026-08-24T00:00:00.000
8,SCT000008,31,Northstar SafetyComplianceTopic 8,1,1,2026-08-24T00:00:00.000
9,SCT000009,50,Forge SafetyComplianceTopic 9,1,1,2026-08-24T00:00:00.000
10,SCT000010,49,Zenith SafetyComplianceTopic 10,1,1,2026-08-24T00:00:00.000
11,SCT000011,23,Harbor SafetyComplianceTopic 11,1,1,2026-08-24T00:00:00.000
12,SCT000012,31,Harbor SafetyComplianceTopic 12,1,1,2026-08-24T00:00:00.000
13,SCT000013,1,Northstar SafetyComplianceTopic 13,1,1,2026-08-24T00:00:00.000
14,SCT000014,14,Unity SafetyComplianceTopic 14,1,1,2026-08-24T00:00:00.000
15,SCT000015,43,Willow SafetyComplianceTopic 15,1,1,2026-08-24T00:00:00.000
16,SCT000016,2,Beacon SafetyComplianceTopic 16,1,1,2026-08-24T00:00:00.000
17,SCT000017,1,Meridian SafetyComplianceTopic 17,1,1,2026-08-24T00:00:00.000
18,SCT000018,7,Quartz SafetyComplianceTopic 18,1,1,2026-08-24T00:00:00.000
19,SCT000019,47,Ion SafetyComplianceTopic 19,1,1,2026-08-24T00:00:00.000
20,SCT000020,25,Titan SafetyComplianceTopic 20,1,1,2026-08-24T00:00:00.000
21,SCT000021,9,Cedar SafetyComplianceTopic 21,1,1,2026-08-24T00:00:00.000
22,SCT000022,61,Pioneer SafetyComplianceTopic 22,1,1,2026-08-24T00:00:00.000
