SafetyCorrectiveActionTypeKey,CorrectiveActionTypeCode,PriorityKey,CorrectiveActionTypeName,DefaultDueDays,RequiresVerification,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,0,0,-1,0,1900-01-01T00:00:00.000
1,SCAT000001,4,Orion SafetyCorrectiveActionType 1,2,1,1,1,2026-08-24T00:00:00.000
2,SCAT000002,1,Ion SafetyCorrectiveActionType 2,3,0,1,1,2026-08-24T00:00:00.000
3,SCAT000003,3,Northstar SafetyCorrectiveActionType 3,4,1,1,1,2026-08-24T00:00:00.000
4,SCAT000004,5,Meridian SafetyCorrectiveActionType 4,5,0,1,1,2026-08-24T00:00:00.000
5,SCAT000005,3,Meridian SafetyCorrectiveActionType 5,6,1,1,1,2026-08-24T00:00:00.000
6,SCAT000006,4,Forge SafetyCorrectiveActionType 6,7,0,1,1,2026-08-24T00:00:00.000
7,SCAT000007,4,Meridian SafetyCorrectiveActionType 7,8,1,1,1,2026-08-24T00:00:00.000
8,SCAT000008,3,Atlas SafetyCorrectiveActionType 8,9,0,1,1,2026-08-24T00:00:00.000
9,SCAT000009,3,Unity SafetyCorrectiveActionType 9,10,1,1,1,2026-08-24T00:00:00.000
10,SCAT000010,3,Cedar SafetyCorrectiveActionType 10,11,0,1,1,2026-08-24T00:00:00.000
11,SCAT000011,4,Forge SafetyCorrectiveActionType 11,12,1,1,1,2026-08-24T00:00:00.000
12,SCAT000012,2,Forge SafetyCorrectiveActionType 12,13,0,1,1,2026-08-24T00:00:00.000
13,SCAT000013,3,Summit SafetyCorrectiveActionType 13,14,1,1,1,2026-08-24T00:00:00.000
14,SCAT000014,5,Junction SafetyCorrectiveActionType 14,15,0,1,1,2026-08-24T00:00:00.000
15,SCAT000015,2,Delta SafetyCorrectiveActionType 15,16,1,1,1,2026-08-24T00:00:00.000
16,SCAT000016,3,Ion SafetyCorrectiveActionType 16,17,0,1,1,2026-08-24T00:00:00.000
17,SCAT000017,3,Meridian SafetyCorrectiveActionType 17,18,1,1,1,2026-08-24T00:00:00.000
18,SCAT000018,5,Northstar SafetyCorrectiveActionType 18,19,0,1,1,2026-08-24T00:00:00.000
19,SCAT000019,3,Forge SafetyCorrectiveActionType 19,20,1,1,1,2026-08-24T00:00:00.000
20,SCAT000020,1,Pioneer SafetyCorrectiveActionType 20,21,0,1,1,2026-08-24T00:00:00.000
21,SCAT000021,2,Ion SafetyCorrectiveActionType 21,22,1,1,1,2026-08-24T00:00:00.000
22,SCAT000022,4,Cedar SafetyCorrectiveActionType 22,23,0,1,1,2026-08-24T00:00:00.000
23,SCAT000023,2,Summit SafetyCorrectiveActionType 23,24,1,1,1,2026-08-24T00:00:00.000
24,SCAT000024,1,Riverton SafetyCorrectiveActionType 24,25,0,1,1,2026-08-24T00:00:00.000
25,SCAT000025,5,Northstar SafetyCorrectiveActionType 25,26,1,1,1,2026-08-24T00:00:00.000
26,SCAT000026,2,Junction SafetyCorrectiveActionType 26,27,0,1,1,2026-08-24T00:00:00.000
27,SCAT000027,5,Forge SafetyCorrectiveActionType 27,28,1,1,1,2026-08-24T00:00:00.000
28,SCAT000028,2,Riverton SafetyCorrectiveActionType 28,1,0,1,1,2026-08-24T00:00:00.000
29,SCAT000029,5,Orion SafetyCorrectiveActionType 29,2,1,1,1,2026-08-24T00:00:00.000
30,SCAT000030,5,Evergreen SafetyCorrectiveActionType 30,3,0,1,1,2026-08-24T00:00:00.000
31,SCAT000031,2,Keystone SafetyCorrectiveActionType 31,4,1,1,1,2026-08-24T00:00:00.000
32,SCAT000032,1,Riverton SafetyCorrectiveActionType 32,5,0,1,1,2026-08-24T00:00:00.000
33,SCAT000033,2,Titan SafetyCorrectiveActionType 33,6,1,1,1,2026-08-24T00:00:00.000
34,SCAT000034,4,Quartz SafetyCorrectiveActionType 34,7,0,1,1,2026-08-24T00:00:00.000
35,SCAT000035,2,Keystone SafetyCorrectiveActionType 35,8,1,1,1,2026-08-24T00:00:00.000
36,SCAT000036,4,Evergreen SafetyCorrectiveActionType 36,9,0,1,1,2026-08-24T00:00:00.000
37,SCAT000037,1,Atlas SafetyCorrectiveActionType 37,10,1,1,1,2026-08-24T00:00:00.000
38,SCAT000038,2,Beacon SafetyCorrectiveActionType 38,11,0,1,1,2026-08-24T00:00:00.000
39,SCAT000039,4,Quartz SafetyCorrectiveActionType 39,12,1,1,1,2026-08-24T00:00:00.000
40,SCAT000040,5,Quartz SafetyCorrectiveActionType 40,13,0,1,1,2026-08-24T00:00:00.000
41,SCAT000041,1,Unity SafetyCorrectiveActionType 41,14,1,1,1,2026-08-24T00:00:00.000
42,SCAT000042,3,Titan SafetyCorrectiveActionType 42,15,0,1,1,2026-08-24T00:00:00.000
43,SCAT000043,2,Atlas SafetyCorrectiveActionType 43,16,1,1,1,2026-08-24T00:00:00.000
44,SCAT000044,2,Ion SafetyCorrectiveActionType 44,17,0,1,1,2026-08-24T00:00:00.000
45,SCAT000045,2,Beacon SafetyCorrectiveActionType 45,18,1,1,1,2026-08-24T00:00:00.000
46,SCAT000046,1,Quartz SafetyCorrectiveActionType 46,19,0,1,1,2026-08-24T00:00:00.000
47,SCAT000047,1,Willow SafetyCorrectiveActionType 47,20,1,1,1,2026-08-24T00:00:00.000
48,SCAT000048,1,Titan SafetyCorrectiveActionType 48,21,0,1,1,2026-08-24T00:00:00.000
49,SCAT000049,3,Atlas SafetyCorrectiveActionType 49,22,1,1,1,2026-08-24T00:00:00.000
50,SCAT000050,3,Pioneer SafetyCorrectiveActionType 50,23,0,1,1,2026-08-24T00:00:00.000
51,SCAT000051,3,Summit SafetyCorrectiveActionType 51,24,1,1,1,2026-08-24T00:00:00.000
52,SCAT000052,4,Unity SafetyCorrectiveActionType 52,25,0,1,1,2026-08-24T00:00:00.000
53,SCAT000053,5,Granite SafetyCorrectiveActionType 53,26,1,1,1,2026-08-24T00:00:00.000
54,SCAT000054,1,Granite SafetyCorrectiveActionType 54,27,0,1,1,2026-08-24T00:00:00.000
55,SCAT000055,2,Quartz SafetyCorrectiveActionType 55,28,1,1,1,2026-08-24T00:00:00.000
56,SCAT000056,4,Forge SafetyCorrectiveActionType 56,1,0,1,1,2026-08-24T00:00:00.000
57,SCAT000057,3,Forge SafetyCorrectiveActionType 57,2,1,1,1,2026-08-24T00:00:00.000
58,SCAT000058,4,Unity SafetyCorrectiveActionType 58,3,0,1,1,2026-08-24T00:00:00.000
59,SCAT000059,4,Vertex SafetyCorrectiveActionType 59,4,1,1,1,2026-08-24T00:00:00.000
60,SCAT000060,3,Ion SafetyCorrectiveActionType 60,5,0,1,1,2026-08-24T00:00:00.000
61,SCAT000061,5,Meridian SafetyCorrectiveActionType 61,6,1,1,1,2026-08-24T00:00:00.000
62,SCAT000062,4,Orion SafetyCorrectiveActionType 62,7,0,1,1,2026-08-24T00:00:00.000
63,SCAT000063,5,Ion SafetyCorrectiveActionType 63,8,1,1,1,2026-08-24T00:00:00.000
64,SCAT000064,1,Cedar SafetyCorrectiveActionType 64,9,0,1,1,2026-08-24T00:00:00.000
65,SCAT000065,3,Harbor SafetyCorrectiveActionType 65,10,1,1,1,2026-08-24T00:00:00.000
66,SCAT000066,3,Summit SafetyCorrectiveActionType 66,11,0,1,1,2026-08-24T00:00:00.000
67,SCAT000067,5,Atlas SafetyCorrectiveActionType 67,12,1,1,1,2026-08-24T00:00:00.000
68,SCAT000068,5,Titan SafetyCorrectiveActionType 68,13,0,1,1,2026-08-24T00:00:00.000
69,SCAT000069,5,Junction SafetyCorrectiveActionType 69,14,1,1,1,2026-08-24T00:00:00.000
70,SCAT000070,4,Granite SafetyCorrectiveActionType 70,15,0,1,1,2026-08-24T00:00:00.000
71,SCAT000071,4,Summit SafetyCorrectiveActionType 71,16,1,1,1,2026-08-24T00:00:00.000
72,SCAT000072,3,Summit SafetyCorrectiveActionType 72,17,0,1,1,2026-08-24T00:00:00.000
73,SCAT000073,3,Cedar SafetyCorrectiveActionType 73,18,1,1,1,2026-08-24T00:00:00.000
74,SCAT000074,3,Zenith SafetyCorrectiveActionType 74,19,0,1,1,2026-08-24T00:00:00.000
75,SCAT000075,5,Quartz SafetyCorrectiveActionType 75,20,1,1,1,2026-08-24T00:00:00.000
76,SCAT000076,4,Ion SafetyCorrectiveActionType 76,21,0,1,1,2026-08-24T00:00:00.000
