SafetyHazardTypeKey,SafetyHazardTypeCode,SafetyHazardCategoryKey,SafetyHazardTypeName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,SHT000001,61,Zenith SafetyHazardType 1,1,1,2026-08-24T00:00:00.000
2,SHT000002,5,Granite SafetyHazardType 2,1,1,2026-08-24T00:00:00.000
3,SHT000003,48,Zenith SafetyHazardType 3,1,1,2026-08-24T00:00:00.000
4,SHT000004,44,Junction SafetyHazardType 4,1,1,2026-08-24T00:00:00.000
5,SHT000005,2,Riverton SafetyHazardType 5,1,1,2026-08-24T00:00:00.000
6,SHT000006,32,Willow SafetyHazardType 6,1,1,2026-08-24T00:00:00.000
7,SHT000007,50,Vertex SafetyHazardType 7,1,1,2026-08-24T00:00:00.000
8,SHT000008,43,Orion SafetyHazardType 8,1,1,2026-08-24T00:00:00.000
9,SHT000009,55,Zenith SafetyHazardType 9,1,1,2026-08-24T00:00:00.000
10,SHT000010,22,Delta SafetyHazardType 10,1,1,2026-08-24T00:00:00.000
11,SHT000011,12,Meridian SafetyHazardType 11,1,1,2026-08-24T00:00:00.000
12,SHT000012,13,Keystone SafetyHazardType 12,1,1,2026-08-24T00:00:00.000
13,SHT000013,1,Junction SafetyHazardType 13,1,1,2026-08-24T00:00:00.000
14,SHT000014,13,Quartz SafetyHazardType 14,1,1,2026-08-24T00:00:00.000
15,SHT000015,38,Quartz SafetyHazardType 15,1,1,2026-08-24T00:00:00.000
16,SHT000016,1,Keystone SafetyHazardType 16,1,1,2026-08-24T00:00:00.000
17,SHT000017,11,Quartz SafetyHazardType 17,1,1,2026-08-24T00:00:00.000
18,SHT000018,72,Willow SafetyHazardType 18,1,1,2026-08-24T00:00:00.000
19,SHT000019,49,Quartz SafetyHazardType 19,1,1,2026-08-24T00:00:00.000
20,SHT000020,43,Forge SafetyHazardType 20,1,1,2026-08-24T00:00:00.000
21,SHT000021,51,Junction SafetyHazardType 21,1,1,2026-08-24T00:00:00.000
22,SHT000022,63,Keystone SafetyHazardType 22,1,1,2026-08-24T00:00:00.000
