SafetyIncidentTypeKey,SafetyIncidentTypeCode,SafetyHazardTypeKey,HazardClassKey,SafetyIncidentTypeName,IsNearMissEligible,IsRecordableEligible,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,-1,Unknown,0,0,-1,0,1900-01-01T00:00:00.000
1,SIT000001,94,12,Keystone SafetyIncidentType 1,1,1,1,1,2026-08-24T00:00:00.000
2,SIT000002,231,9,Titan SafetyIncidentType 2,1,1,1,1,2026-08-24T00:00:00.000
3,SIT000003,166,12,Junction SafetyIncidentType 3,1,1,1,1,2026-08-24T00:00:00.000
4,SIT000004,195,8,Orion SafetyIncidentType 4,1,1,1,1,2026-08-24T00:00:00.000
5,SIT000005,310,11,Meridian SafetyIncidentType 5,0,0,1,1,2026-08-24T00:00:00.000
6,SIT000006,189,1,Atlas SafetyIncidentType 6,1,1,1,1,2026-08-24T00:00:00.000
7,SIT000007,314,6,Vertex SafetyIncidentType 7,1,1,1,1,2026-08-24T00:00:00.000
8,SIT000008,420,9,Riverton SafetyIncidentType 8,1,1,1,1,2026-08-24T00:00:00.000
9,SIT000009,347,12,Beacon SafetyIncidentType 9,1,1,1,1,2026-08-24T00:00:00.000
10,SIT000010,128,17,Ion SafetyIncidentType 10,0,0,1,1,2026-08-24T00:00:00.000
11,SIT000011,238,14,Harbor SafetyIncidentType 11,1,1,1,1,2026-08-24T00:00:00.000
12,SIT000012,209,4,Vertex SafetyIncidentType 12,1,1,1,1,2026-08-24T00:00:00.000
13,SIT000013,283,2,Orion SafetyIncidentType 13,1,1,1,1,2026-08-24T00:00:00.000
14,SIT000014,345,11,Delta SafetyIncidentType 14,1,1,1,1,2026-08-24T00:00:00.000
15,SIT000015,122,12,Junction SafetyIncidentType 15,0,0,1,1,2026-08-24T00:00:00.000
16,SIT000016,155,6,Junction SafetyIncidentType 16,1,1,1,1,2026-08-24T00:00:00.000
17,SIT000017,98,12,Zenith SafetyIncidentType 17,1,1,1,1,2026-08-24T00:00:00.000
18,SIT000018,223,16,Quartz SafetyIncidentType 18,1,1,1,1,2026-08-24T00:00:00.000
19,SIT000019,346,8,Quartz SafetyIncidentType 19,1,1,1,1,2026-08-24T00:00:00.000
20,SIT000020,138,13,Summit SafetyIncidentType 20,0,0,1,1,2026-08-24T00:00:00.000
21,SIT000021,102,2,Liberty SafetyIncidentType 21,1,1,1,1,2026-08-24T00:00:00.000
22,SIT000022,210,15,Junction SafetyIncidentType 22,1,1,1,1,2026-08-24T00:00:00.000
23,SIT000023,389,14,Ion SafetyIncidentType 23,1,1,1,1,2026-08-24T00:00:00.000
24,SIT000024,165,6,Junction SafetyIncidentType 24,1,1,1,1,2026-08-24T00:00:00.000
25,SIT000025,310,14,Willow SafetyIncidentType 25,0,0,1,1,2026-08-24T00:00:00.000
26,SIT000026,287,3,Quartz SafetyIncidentType 26,1,1,1,1,2026-08-24T00:00:00.000
27,SIT000027,131,8,Junction SafetyIncidentType 27,1,1,1,1,2026-08-24T00:00:00.000
28,SIT000028,93,12,Harbor SafetyIncidentType 28,1,1,1,1,2026-08-24T00:00:00.000
29,SIT000029,375,16,Pioneer SafetyIncidentType 29,1,1,1,1,2026-08-24T00:00:00.000
30,SIT000030,203,13,Keystone SafetyIncidentType 30,0,0,1,1,2026-08-24T00:00:00.000
31,SIT000031,379,10,Ion SafetyIncidentType 31,1,1,1,1,2026-08-24T00:00:00.000
32,SIT000032,325,11,Ion SafetyIncidentType 32,1,1,1,1,2026-08-24T00:00:00.000
33,SIT000033,61,10,Cedar SafetyIncidentType 33,1,1,1,1,2026-08-24T00:00:00.000
34,SIT000034,4,1,Forge SafetyIncidentType 34,1,1,1,1,2026-08-24T00:00:00.000
35,SIT000035,287,5,Forge SafetyIncidentType 35,0,0,1,1,2026-08-24T00:00:00.000
36,SIT000036,144,17,Forge SafetyIncidentType 36,1,1,1,1,2026-08-24T00:00:00.000
37,SIT000037,382,6,Granite SafetyIncidentType 37,1,1,1,1,2026-08-24T00:00:00.000
38,SIT000038,278,3,Atlas SafetyIncidentType 38,1,1,1,1,2026-08-24T00:00:00.000
39,SIT000039,65,11,Granite SafetyIncidentType 39,1,1,1,1,2026-08-24T00:00:00.000
40,SIT000040,389,9,Summit SafetyIncidentType 40,0,0,1,1,2026-08-24T00:00:00.000
41,SIT000041,226,3,Titan SafetyIncidentType 41,1,1,1,1,2026-08-24T00:00:00.000
42,SIT000042,368,15,Harbor SafetyIncidentType 42,1,1,1,1,2026-08-24T00:00:00.000
43,SIT000043,187,5,Ion SafetyIncidentType 43,1,1,1,1,2026-08-24T00:00:00.000
44,SIT000044,392,10,Keystone SafetyIncidentType 44,1,1,1,1,2026-08-24T00:00:00.000
45,SIT000045,158,17,Titan SafetyIncidentType 45,0,0,1,1,2026-08-24T00:00:00.000
46,SIT000046,12,5,Meridian SafetyIncidentType 46,1,1,1,1,2026-08-24T00:00:00.000
47,SIT000047,51,7,Granite SafetyIncidentType 47,1,1,1,1,2026-08-24T00:00:00.000
48,SIT000048,368,1,Zenith SafetyIncidentType 48,1,1,1,1,2026-08-24T00:00:00.000
49,SIT000049,341,11,Willow SafetyIncidentType 49,1,1,1,1,2026-08-24T00:00:00.000
50,SIT000050,55,13,Keystone SafetyIncidentType 50,0,0,1,1,2026-08-24T00:00:00.000
51,SIT000051,300,15,Keystone SafetyIncidentType 51,1,1,1,1,2026-08-24T00:00:00.000
52,SIT000052,267,10,Forge SafetyIncidentType 52,1,1,1,1,2026-08-24T00:00:00.000
53,SIT000053,345,13,Evergreen SafetyIncidentType 53,1,1,1,1,2026-08-24T00:00:00.000
54,SIT000054,268,15,Cedar SafetyIncidentType 54,1,1,1,1,2026-08-24T00:00:00.000
55,SIT000055,225,8,Orion SafetyIncidentType 55,0,0,1,1,2026-08-24T00:00:00.000
56,SIT000056,179,8,Titan SafetyIncidentType 56,1,1,1,1,2026-08-24T00:00:00.000
57,SIT000057,283,11,Orion SafetyIncidentType 57,1,1,1,1,2026-08-24T00:00:00.000
58,SIT000058,88,10,Willow SafetyIncidentType 58,1,1,1,1,2026-08-24T00:00:00.000
59,SIT000059,198,1,Forge SafetyIncidentType 59,1,1,1,1,2026-08-24T00:00:00.000
60,SIT000060,389,13,Liberty SafetyIncidentType 60,0,0,1,1,2026-08-24T00:00:00.000
61,SIT000061,375,8,Beacon SafetyIncidentType 61,1,1,1,1,2026-08-24T00:00:00.000
62,SIT000062,92,17,Delta SafetyIncidentType 62,1,1,1,1,2026-08-24T00:00:00.000
63,SIT000063,370,17,Atlas SafetyIncidentType 63,1,1,1,1,2026-08-24T00:00:00.000
64,SIT000064,382,15,Orion SafetyIncidentType 64,1,1,1,1,2026-08-24T00:00:00.000
65,SIT000065,60,15,Granite SafetyIncidentType 65,0,0,1,1,2026-08-24T00:00:00.000
66,SIT000066,80,4,Willow SafetyIncidentType 66,1,1,1,1,2026-08-24T00:00:00.000
67,SIT000067,123,9,Granite SafetyIncidentType 67,1,1,1,1,2026-08-24T00:00:00.000
68,SIT000068,331,10,Junction SafetyIncidentType 68,1,1,1,1,2026-08-24T00:00:00.000
69,SIT000069,360,10,Harbor SafetyIncidentType 69,1,1,1,1,2026-08-24T00:00:00.000
70,SIT000070,342,12,Northstar SafetyIncidentType 70,0,0,1,1,2026-08-24T00:00:00.000
71,SIT000071,63,14,Keystone SafetyIncidentType 71,1,1,1,1,2026-08-24T00:00:00.000
72,SIT000072,25,18,Delta SafetyIncidentType 72,1,1,1,1,2026-08-24T00:00:00.000
73,SIT000073,328,1,Titan SafetyIncidentType 73,1,1,1,1,2026-08-24T00:00:00.000
74,SIT000074,242,6,Forge SafetyIncidentType 74,1,1,1,1,2026-08-24T00:00:00.000
75,SIT000075,277,8,Willow SafetyIncidentType 75,0,0,1,1,2026-08-24T00:00:00.000
76,SIT000076,133,4,Zenith SafetyIncidentType 76,1,1,1,1,2026-08-24T00:00:00.000
77,SIT000077,64,6,Cedar SafetyIncidentType 77,1,1,1,1,2026-08-24T00:00:00.000
78,SIT000078,99,18,Riverton SafetyIncidentType 78,1,1,1,1,2026-08-24T00:00:00.000
79,SIT000079,141,1,Liberty SafetyIncidentType 79,1,1,1,1,2026-08-24T00:00:00.000
80,SIT000080,410,1,Northstar SafetyIncidentType 80,0,0,1,1,2026-08-24T00:00:00.000
81,SIT000081,226,15,Orion SafetyIncidentType 81,1,1,1,1,2026-08-24T00:00:00.000
82,SIT000082,327,8,Cedar SafetyIncidentType 82,1,1,1,1,2026-08-24T00:00:00.000
83,SIT000083,35,17,Meridian SafetyIncidentType 83,1,1,1,1,2026-08-24T00:00:00.000
84,SIT000084,357,18,Atlas SafetyIncidentType 84,1,1,1,1,2026-08-24T00:00:00.000
85,SIT000085,399,4,Meridian SafetyIncidentType 85,0,0,1,1,2026-08-24T00:00:00.000
86,SIT000086,387,13,Vertex SafetyIncidentType 86,1,1,1,1,2026-08-24T00:00:00.000
87,SIT000087,356,15,Riverton SafetyIncidentType 87,1,1,1,1,2026-08-24T00:00:00.000
88,SIT000088,5,5,Liberty SafetyIncidentType 88,1,1,1,1,2026-08-24T00:00:00.000
89,SIT000089,260,5,Zenith SafetyIncidentType 89,1,1,1,1,2026-08-24T00:00:00.000
90,SIT000090,164,4,Evergreen SafetyIncidentType 90,0,0,1,1,2026-08-24T00:00:00.000
91,SIT000091,291,18,Atlas SafetyIncidentType 91,1,1,1,1,2026-08-24T00:00:00.000
92,SIT000092,38,10,Vertex SafetyIncidentType 92,1,1,1,1,2026-08-24T00:00:00.000
93,SIT000093,26,7,Unity SafetyIncidentType 93,1,1,1,1,2026-08-24T00:00:00.000
94,SIT000094,4,14,Willow SafetyIncidentType 94,1,1,1,1,2026-08-24T00:00:00.000
95,SIT000095,395,12,Meridian SafetyIncidentType 95,0,0,1,1,2026-08-24T00:00:00.000
96,SIT000096,132,17,Riverton SafetyIncidentType 96,1,1,1,1,2026-08-24T00:00:00.000
97,SIT000097,133,12,Titan SafetyIncidentType 97,1,1,1,1,2026-08-24T00:00:00.000
98,SIT000098,152,6,Evergreen SafetyIncidentType 98,1,1,1,1,2026-08-24T00:00:00.000
99,SIT000099,30,8,Junction SafetyIncidentType 99,1,1,1,1,2026-08-24T00:00:00.000
100,SIT000100,135,10,Beacon SafetyIncidentType 100,0,0,1,1,2026-08-24T00:00:00.000
101,SIT000101,95,14,Liberty SafetyIncidentType 101,1,1,1,1,2026-08-24T00:00:00.000
102,SIT000102,330,15,Orion SafetyIncidentType 102,1,1,1,1,2026-08-24T00:00:00.000
103,SIT000103,84,1,Keystone SafetyIncidentType 103,1,1,1,1,2026-08-24T00:00:00.000
104,SIT000104,125,6,Delta SafetyIncidentType 104,1,1,1,1,2026-08-24T00:00:00.000
105,SIT000105,216,9,Junction SafetyIncidentType 105,0,0,1,1,2026-08-24T00:00:00.000
106,SIT000106,416,12,Atlas SafetyIncidentType 106,1,1,1,1,2026-08-24T00:00:00.000
107,SIT000107,128,5,Pioneer SafetyIncidentType 107,1,1,1,1,2026-08-24T00:00:00.000
108,SIT000108,314,3,Atlas SafetyIncidentType 108,1,1,1,1,2026-08-24T00:00:00.000
109,SIT000109,346,14,Atlas SafetyIncidentType 109,1,1,1,1,2026-08-24T00:00:00.000
110,SIT000110,12,7,Zenith SafetyIncidentType 110,0,0,1,1,2026-08-24T00:00:00.000
111,SIT000111,172,12,Forge SafetyIncidentType 111,1,1,1,1,2026-08-24T00:00:00.000
112,SIT000112,252,17,Vertex SafetyIncidentType 112,1,1,1,1,2026-08-24T00:00:00.000
113,SIT000113,182,12,Summit SafetyIncidentType 113,1,1,1,1,2026-08-24T00:00:00.000
114,SIT000114,375,12,Vertex SafetyIncidentType 114,1,1,1,1,2026-08-24T00:00:00.000
115,SIT000115,338,15,Keystone SafetyIncidentType 115,0,0,1,1,2026-08-24T00:00:00.000
116,SIT000116,71,12,Atlas SafetyIncidentType 116,1,1,1,1,2026-08-24T00:00:00.000
117,SIT000117,44,8,Liberty SafetyIncidentType 117,1,1,1,1,2026-08-24T00:00:00.000
118,SIT000118,282,11,Northstar SafetyIncidentType 118,1,1,1,1,2026-08-24T00:00:00.000
