SalesChannelFamilyKey,SalesChannelFamilyCode,SalesRouteToMarketKey,SalesChannelFamilyName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,SCF000001,5,Pioneer SalesChannelFamily 1,1,1,2026-08-24T00:00:00.000
2,SCF000002,7,Junction SalesChannelFamily 2,1,1,2026-08-24T00:00:00.000
3,SCF000003,2,Liberty SalesChannelFamily 3,1,1,2026-08-24T00:00:00.000
4,SCF000004,3,Beacon SalesChannelFamily 4,1,1,2026-08-24T00:00:00.000
5,SCF000005,6,Vertex SalesChannelFamily 5,1,1,2026-08-24T00:00:00.000
6,SCF000006,8,Titan SalesChannelFamily 6,1,1,2026-08-24T00:00:00.000
7,SCF000007,3,Titan SalesChannelFamily 7,1,1,2026-08-24T00:00:00.000
8,SCF000008,3,Harbor SalesChannelFamily 8,1,1,2026-08-24T00:00:00.000
9,SCF000009,6,Delta SalesChannelFamily 9,1,1,2026-08-24T00:00:00.000
10,SCF000010,3,Titan SalesChannelFamily 10,1,1,2026-08-24T00:00:00.000
11,SCF000011,7,Ion SalesChannelFamily 11,1,1,2026-08-24T00:00:00.000
12,SCF000012,2,Unity SalesChannelFamily 12,1,1,2026-08-24T00:00:00.000
13,SCF000013,4,Atlas SalesChannelFamily 13,1,1,2026-08-24T00:00:00.000
14,SCF000014,1,Vertex SalesChannelFamily 14,1,1,2026-08-24T00:00:00.000
15,SCF000015,4,Beacon SalesChannelFamily 15,1,1,2026-08-24T00:00:00.000
16,SCF000016,2,Atlas SalesChannelFamily 16,1,1,2026-08-24T00:00:00.000
17,SCF000017,3,Willow SalesChannelFamily 17,1,1,2026-08-24T00:00:00.000
18,SCF000018,7,Evergreen SalesChannelFamily 18,1,1,2026-08-24T00:00:00.000
19,SCF000019,1,Unity SalesChannelFamily 19,1,1,2026-08-24T00:00:00.000
20,SCF000020,4,Titan SalesChannelFamily 20,1,1,2026-08-24T00:00:00.000
21,SCF000021,6,Summit SalesChannelFamily 21,1,1,2026-08-24T00:00:00.000
22,SCF000022,2,Vertex SalesChannelFamily 22,1,1,2026-08-24T00:00:00.000
23,SCF000023,8,Cedar SalesChannelFamily 23,1,1,2026-08-24T00:00:00.000
24,SCF000024,2,Willow SalesChannelFamily 24,1,1,2026-08-24T00:00:00.000
25,SCF000025,4,Granite SalesChannelFamily 25,1,1,2026-08-24T00:00:00.000
26,SCF000026,7,Willow SalesChannelFamily 26,1,1,2026-08-24T00:00:00.000
27,SCF000027,3,Evergreen SalesChannelFamily 27,1,1,2026-08-24T00:00:00.000
28,SCF000028,1,Titan SalesChannelFamily 28,1,1,2026-08-24T00:00:00.000
29,SCF000029,8,Vertex SalesChannelFamily 29,1,1,2026-08-24T00:00:00.000
30,SCF000030,2,Riverton SalesChannelFamily 30,1,1,2026-08-24T00:00:00.000
31,SCF000031,1,Meridian SalesChannelFamily 31,1,1,2026-08-24T00:00:00.000
32,SCF000032,1,Quartz SalesChannelFamily 32,1,1,2026-08-24T00:00:00.000
