SalesCustomerCreditProfileKey,CreditProfileCode,CustomerKey,BusinessUnitKey,SalesCreditStatusKey,CurrencyKey,CreditLimitAmount,ReviewCycleDays,RiskScore,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,0.0000,0,0,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,SCCP000001,159,67,8,5,11.3700,2,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7d5929fc8ee05d7990c02fbb012545407d5929fc8ee05d7990c02fbb01254540
2,SCCP000002,411,445,4,5,12.7400,3,2,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,10bb37b9b7f954489a42795c5789faf710bb37b9b7f954489a42795c5789faf7
3,SCCP000003,14,46,1,4,14.1100,4,3,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0f45378401fb568e8b667ef5c3d207b30f45378401fb568e8b667ef5c3d207b3
4,SCCP000004,228,309,6,5,15.4800,5,4,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2db3ddd28f665146ab4278c86c8a6b842db3ddd28f665146ab4278c86c8a6b84
5,SCCP000005,234,222,4,1,16.8500,6,5,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5027b718052b549d9eecbd2ea9cdc8265027b718052b549d9eecbd2ea9cdc826
6,SCCP000006,400,435,8,4,18.2200,7,6,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6b1b6759f90b5467b97883dd9fda18d06b1b6759f90b5467b97883dd9fda18d0
7,SCCP000007,436,398,3,5,19.5900,8,7,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,40e5348051e75f02aa9cdf29ab2eb28f40e5348051e75f02aa9cdf29ab2eb28f
8,SCCP000008,109,109,3,1,20.9600,9,8,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9a4e12bc60ef57038985373f9d60a48c9a4e12bc60ef57038985373f9d60a48c
9,SCCP000009,351,25,4,1,22.3300,10,9,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e60c4dc39b405e0ba40dc5d8a16da4c5e60c4dc39b405e0ba40dc5d8a16da4c5
10,SCCP000010,108,362,3,3,23.7000,11,10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c9735e6fb80655a3a524c891e0d464aec9735e6fb80655a3a524c891e0d464ae
11,SCCP000011,330,170,4,5,25.0700,12,11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bc0bf6ca84c257dd82a9c467406786abbc0bf6ca84c257dd82a9c467406786ab
12,SCCP000012,339,109,5,3,26.4400,13,12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,877768fc6e115a6cbfdf5caa9e4dd45f877768fc6e115a6cbfdf5caa9e4dd45f
13,SCCP000013,154,48,5,2,27.8100,14,13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bfaaa8a8716d5274a4ecdceac9baa572bfaaa8a8716d5274a4ecdceac9baa572
14,SCCP000014,286,169,8,3,29.1800,15,14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9ce1640faebc5131a277f7eef27d057c9ce1640faebc5131a277f7eef27d057c
15,SCCP000015,248,258,6,2,30.5500,16,15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4795cb8cde125583adaaebab7cfd5d234795cb8cde125583adaaebab7cfd5d23
16,SCCP000016,180,292,2,2,31.9200,17,16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,34a4b41cf6ec5fb48c8a1ff73278cb1834a4b41cf6ec5fb48c8a1ff73278cb18
17,SCCP000017,49,-1,5,4,33.2900,18,17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fa634a37d23d58088be0d3153515dd31fa634a37d23d58088be0d3153515dd31
18,SCCP000018,340,371,8,1,34.6600,19,18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,84b32613064658e681e6110e35b5348e84b32613064658e681e6110e35b5348e
19,SCCP000019,255,251,1,2,36.0300,20,19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0d6e512e0b1f5a7c8ae05762e2bbf4b70d6e512e0b1f5a7c8ae05762e2bbf4b7
20,SCCP000020,210,467,8,3,37.4000,21,20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e531bebb49375a4db407d7ea3643fbc1e531bebb49375a4db407d7ea3643fbc1
21,SCCP000021,127,277,5,3,38.7700,22,21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c2659fd6f06b5f53bf168d3971f06c7ec2659fd6f06b5f53bf168d3971f06c7e
22,SCCP000022,94,106,7,1,40.1400,23,22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,25a052c5cf88505e8d631132f2eb1cb625a052c5cf88505e8d631132f2eb1cb6
23,SCCP000023,498,2,6,1,41.5100,24,23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,58324706701057a2ade23149604b2a9f58324706701057a2ade23149604b2a9f
24,SCCP000024,197,78,2,5,42.8800,25,24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d0793044761352ffb9e9c01869376ec0d0793044761352ffb9e9c01869376ec0
25,SCCP000025,393,172,8,4,44.2500,26,25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,38ac248a55f851bc89f34fa3e03e84ff38ac248a55f851bc89f34fa3e03e84ff
26,SCCP000026,317,435,6,2,45.6200,27,26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7d31afe8816a56e883991eaf418a3e707d31afe8816a56e883991eaf418a3e70
