SalesCustomerGroupKey,SalesCustomerGroupCode,SalesCustomerGroupName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,Unknown,-1,0,1900-01-01T00:00:00.000
1,SCG000001,Titan SalesCustomerGroup 1,1,1,2026-08-24T00:00:00.000
2,SCG000002,Titan SalesCustomerGroup 2,1,1,2026-08-24T00:00:00.000
3,SCG000003,Pioneer SalesCustomerGroup 3,1,1,2026-08-24T00:00:00.000
4,SCG000004,Riverton SalesCustomerGroup 4,1,1,2026-08-24T00:00:00.000
5,SCG000005,Cedar SalesCustomerGroup 5,1,1,2026-08-24T00:00:00.000
6,SCG000006,Titan SalesCustomerGroup 6,1,1,2026-08-24T00:00:00.000
7,SCG000007,Quartz SalesCustomerGroup 7,1,1,2026-08-24T00:00:00.000
8,SCG000008,Zenith SalesCustomerGroup 8,1,1,2026-08-24T00:00:00.000
9,SCG000009,Vertex SalesCustomerGroup 9,1,1,2026-08-24T00:00:00.000
10,SCG000010,Junction SalesCustomerGroup 10,1,1,2026-08-24T00:00:00.000
11,SCG000011,Forge SalesCustomerGroup 11,1,1,2026-08-24T00:00:00.000
12,SCG000012,Granite SalesCustomerGroup 12,1,1,2026-08-24T00:00:00.000
13,SCG000013,Orion SalesCustomerGroup 13,1,1,2026-08-24T00:00:00.000
14,SCG000014,Cedar SalesCustomerGroup 14,1,1,2026-08-24T00:00:00.000
15,SCG000015,Forge SalesCustomerGroup 15,1,1,2026-08-24T00:00:00.000
16,SCG000016,Zenith SalesCustomerGroup 16,1,1,2026-08-24T00:00:00.000
17,SCG000017,Beacon SalesCustomerGroup 17,1,1,2026-08-24T00:00:00.000
18,SCG000018,Delta SalesCustomerGroup 18,1,1,2026-08-24T00:00:00.000
19,SCG000019,Summit SalesCustomerGroup 19,1,1,2026-08-24T00:00:00.000
20,SCG000020,Pioneer SalesCustomerGroup 20,1,1,2026-08-24T00:00:00.000
21,SCG000021,Vertex SalesCustomerGroup 21,1,1,2026-08-24T00:00:00.000
22,SCG000022,Zenith SalesCustomerGroup 22,1,1,2026-08-24T00:00:00.000
23,SCG000023,Meridian SalesCustomerGroup 23,1,1,2026-08-24T00:00:00.000
24,SCG000024,Summit SalesCustomerGroup 24,1,1,2026-08-24T00:00:00.000
25,SCG000025,Northstar SalesCustomerGroup 25,1,1,2026-08-24T00:00:00.000
26,SCG000026,Titan SalesCustomerGroup 26,1,1,2026-08-24T00:00:00.000
27,SCG000027,Meridian SalesCustomerGroup 27,1,1,2026-08-24T00:00:00.000
28,SCG000028,Zenith SalesCustomerGroup 28,1,1,2026-08-24T00:00:00.000
29,SCG000029,Titan SalesCustomerGroup 29,1,1,2026-08-24T00:00:00.000
30,SCG000030,Liberty SalesCustomerGroup 30,1,1,2026-08-24T00:00:00.000
31,SCG000031,Titan SalesCustomerGroup 31,1,1,2026-08-24T00:00:00.000
32,SCG000032,Atlas SalesCustomerGroup 32,1,1,2026-08-24T00:00:00.000
33,SCG000033,Northstar SalesCustomerGroup 33,1,1,2026-08-24T00:00:00.000
34,SCG000034,Vertex SalesCustomerGroup 34,1,1,2026-08-24T00:00:00.000
35,SCG000035,Northstar SalesCustomerGroup 35,1,1,2026-08-24T00:00:00.000
36,SCG000036,Northstar SalesCustomerGroup 36,1,1,2026-08-24T00:00:00.000
37,SCG000037,Evergreen SalesCustomerGroup 37,1,1,2026-08-24T00:00:00.000
38,SCG000038,Summit SalesCustomerGroup 38,1,1,2026-08-24T00:00:00.000
39,SCG000039,Meridian SalesCustomerGroup 39,1,1,2026-08-24T00:00:00.000
40,SCG000040,Orion SalesCustomerGroup 40,1,1,2026-08-24T00:00:00.000
41,SCG000041,Summit SalesCustomerGroup 41,1,1,2026-08-24T00:00:00.000
42,SCG000042,Quartz SalesCustomerGroup 42,1,1,2026-08-24T00:00:00.000
43,SCG000043,Titan SalesCustomerGroup 43,1,1,2026-08-24T00:00:00.000
44,SCG000044,Cedar SalesCustomerGroup 44,1,1,2026-08-24T00:00:00.000
45,SCG000045,Forge SalesCustomerGroup 45,1,1,2026-08-24T00:00:00.000
46,SCG000046,Forge SalesCustomerGroup 46,1,1,2026-08-24T00:00:00.000
47,SCG000047,Ion SalesCustomerGroup 47,1,1,2026-08-24T00:00:00.000
48,SCG000048,Ion SalesCustomerGroup 48,1,1,2026-08-24T00:00:00.000
49,SCG000049,Evergreen SalesCustomerGroup 49,1,1,2026-08-24T00:00:00.000
50,SCG000050,Meridian SalesCustomerGroup 50,1,1,2026-08-24T00:00:00.000
51,SCG000051,Meridian SalesCustomerGroup 51,1,1,2026-08-24T00:00:00.000
52,SCG000052,Northstar SalesCustomerGroup 52,1,1,2026-08-24T00:00:00.000
53,SCG000053,Evergreen SalesCustomerGroup 53,1,1,2026-08-24T00:00:00.000
54,SCG000054,Unity SalesCustomerGroup 54,1,1,2026-08-24T00:00:00.000
55,SCG000055,Cedar SalesCustomerGroup 55,1,1,2026-08-24T00:00:00.000
56,SCG000056,Delta SalesCustomerGroup 56,1,1,2026-08-24T00:00:00.000
57,SCG000057,Atlas SalesCustomerGroup 57,1,1,2026-08-24T00:00:00.000
58,SCG000058,Zenith SalesCustomerGroup 58,1,1,2026-08-24T00:00:00.000
59,SCG000059,Summit SalesCustomerGroup 59,1,1,2026-08-24T00:00:00.000
60,SCG000060,Zenith SalesCustomerGroup 60,1,1,2026-08-24T00:00:00.000
61,SCG000061,Delta SalesCustomerGroup 61,1,1,2026-08-24T00:00:00.000
62,SCG000062,Quartz SalesCustomerGroup 62,1,1,2026-08-24T00:00:00.000
63,SCG000063,Pioneer SalesCustomerGroup 63,1,1,2026-08-24T00:00:00.000
64,SCG000064,Beacon SalesCustomerGroup 64,1,1,2026-08-24T00:00:00.000
65,SCG000065,Liberty SalesCustomerGroup 65,1,1,2026-08-24T00:00:00.000
66,SCG000066,Willow SalesCustomerGroup 66,1,1,2026-08-24T00:00:00.000
67,SCG000067,Keystone SalesCustomerGroup 67,1,1,2026-08-24T00:00:00.000
68,SCG000068,Unity SalesCustomerGroup 68,1,1,2026-08-24T00:00:00.000
69,SCG000069,Willow SalesCustomerGroup 69,1,1,2026-08-24T00:00:00.000
70,SCG000070,Northstar SalesCustomerGroup 70,1,1,2026-08-24T00:00:00.000
71,SCG000071,Delta SalesCustomerGroup 71,1,1,2026-08-24T00:00:00.000
