SalesDistrictKey,SalesDistrictCode,SalesRegionKey,SalesDistrictName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,SD000001,12,Granite SalesDistrict 1,1,1,2026-08-24T00:00:00.000
2,SD000002,3,Unity SalesDistrict 2,1,1,2026-08-24T00:00:00.000
3,SD000003,8,Beacon SalesDistrict 3,1,1,2026-08-24T00:00:00.000
4,SD000004,5,Riverton SalesDistrict 4,1,1,2026-08-24T00:00:00.000
5,SD000005,10,Zenith SalesDistrict 5,1,1,2026-08-24T00:00:00.000
6,SD000006,7,Quartz SalesDistrict 6,1,1,2026-08-24T00:00:00.000
7,SD000007,11,Titan SalesDistrict 7,1,1,2026-08-24T00:00:00.000
8,SD000008,11,Vertex SalesDistrict 8,1,1,2026-08-24T00:00:00.000
9,SD000009,7,Zenith SalesDistrict 9,1,1,2026-08-24T00:00:00.000
10,SD000010,12,Junction SalesDistrict 10,1,1,2026-08-24T00:00:00.000
11,SD000011,7,Meridian SalesDistrict 11,1,1,2026-08-24T00:00:00.000
12,SD000012,2,Titan SalesDistrict 12,1,1,2026-08-24T00:00:00.000
13,SD000013,4,Riverton SalesDistrict 13,1,1,2026-08-24T00:00:00.000
14,SD000014,11,Cedar SalesDistrict 14,1,1,2026-08-24T00:00:00.000
15,SD000015,10,Summit SalesDistrict 15,1,1,2026-08-24T00:00:00.000
16,SD000016,3,Cedar SalesDistrict 16,1,1,2026-08-24T00:00:00.000
17,SD000017,8,Ion SalesDistrict 17,1,1,2026-08-24T00:00:00.000
18,SD000018,8,Delta SalesDistrict 18,1,1,2026-08-24T00:00:00.000
19,SD000019,8,Zenith SalesDistrict 19,1,1,2026-08-24T00:00:00.000
20,SD000020,5,Delta SalesDistrict 20,1,1,2026-08-24T00:00:00.000
21,SD000021,2,Titan SalesDistrict 21,1,1,2026-08-24T00:00:00.000
22,SD000022,3,Evergreen SalesDistrict 22,1,1,2026-08-24T00:00:00.000
23,SD000023,8,Quartz SalesDistrict 23,1,1,2026-08-24T00:00:00.000
24,SD000024,11,Beacon SalesDistrict 24,1,1,2026-08-24T00:00:00.000
25,SD000025,2,Riverton SalesDistrict 25,1,1,2026-08-24T00:00:00.000
26,SD000026,2,Zenith SalesDistrict 26,1,1,2026-08-24T00:00:00.000
27,SD000027,2,Harbor SalesDistrict 27,1,1,2026-08-24T00:00:00.000
28,SD000028,3,Delta SalesDistrict 28,1,1,2026-08-24T00:00:00.000
29,SD000029,5,Vertex SalesDistrict 29,1,1,2026-08-24T00:00:00.000
30,SD000030,2,Orion SalesDistrict 30,1,1,2026-08-24T00:00:00.000
31,SD000031,4,Keystone SalesDistrict 31,1,1,2026-08-24T00:00:00.000
32,SD000032,5,Cedar SalesDistrict 32,1,1,2026-08-24T00:00:00.000
33,SD000033,9,Northstar SalesDistrict 33,1,1,2026-08-24T00:00:00.000
34,SD000034,5,Harbor SalesDistrict 34,1,1,2026-08-24T00:00:00.000
35,SD000035,12,Delta SalesDistrict 35,1,1,2026-08-24T00:00:00.000
