SalesFulfillmentPromiseKey,FulfillmentPromiseCode,SalesOrderLineKey,FulfillmentPlantKey,ProductKey,SalesAllocationStatusKey,PromiseSequenceNumber,PromisedShipDate,PromisedDeliveryDate,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,0,1900-01-01,1900-01-01,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,SFP000001,197,132,110,4,1,2020-01-02,2020-01-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8bcf1452ad5a5b8cb7bed1be53616ad68bcf1452ad5a5b8cb7bed1be53616ad6
2,SFP000002,233,322,85,9,2,2020-01-03,2020-01-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b50474afdb8e57cc8fb89d5b59066bd7b50474afdb8e57cc8fb89d5b59066bd7
3,SFP000003,369,324,300,7,3,2020-01-04,2020-01-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8a0d431494f552c7a3fddf59b83e28fb8a0d431494f552c7a3fddf59b83e28fb
4,SFP000004,326,301,498,3,4,2020-01-05,2020-01-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,772a2f377cde5785912757d2677ffa9d772a2f377cde5785912757d2677ffa9d
5,SFP000005,333,109,169,2,5,2020-01-06,2020-01-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,844394b5836458d592802bfb4c08b4fa844394b5836458d592802bfb4c08b4fa
6,SFP000006,240,246,241,4,6,2020-01-07,2020-01-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ebd1add24daa5d728b95ab37384ec9d2ebd1add24daa5d728b95ab37384ec9d2
7,SFP000007,192,174,24,9,7,2020-01-08,2020-01-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c05f93f3e4495a2a9b9370284e382946c05f93f3e4495a2a9b9370284e382946
8,SFP000008,405,202,115,10,8,2020-01-09,2020-01-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a2fd91f2b27853e8ac0ff3049c1fb651a2fd91f2b27853e8ac0ff3049c1fb651
9,SFP000009,277,185,17,5,9,2020-01-10,2020-01-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2cf2342d96205670bd4c4b7420f19cd82cf2342d96205670bd4c4b7420f19cd8
10,SFP000010,319,275,416,1,10,2020-01-11,2020-01-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1be5b9f7ee7b52ea81c4329273a7da231be5b9f7ee7b52ea81c4329273a7da23
11,SFP000011,157,260,336,1,11,2020-01-12,2020-01-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cf03be0498ed503197c6b1ad767a300acf03be0498ed503197c6b1ad767a300a
12,SFP000012,212,219,112,10,12,2020-01-13,2020-01-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,28675c1abf34512c8414fdf11ac0c9fe28675c1abf34512c8414fdf11ac0c9fe
13,SFP000013,312,216,28,3,13,2020-01-14,2020-01-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,95ae2366df2c540799a861a88f98d74195ae2366df2c540799a861a88f98d741
14,SFP000014,27,255,432,3,14,2020-01-15,2020-01-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fe6f3c57567f5e61ba095a5fe1c604f7fe6f3c57567f5e61ba095a5fe1c604f7
15,SFP000015,368,136,376,8,15,2020-01-16,2020-01-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,29b373f7b3d45d2d86ef3a3ece42439a29b373f7b3d45d2d86ef3a3ece42439a
16,SFP000016,69,243,232,10,16,2020-01-17,2020-01-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e0bd3e7e96f05843a12dc2db651ef990e0bd3e7e96f05843a12dc2db651ef990
17,SFP000017,79,91,427,2,17,2020-01-18,2020-01-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,641cecb9b9d15680b206ffe982b93ee0641cecb9b9d15680b206ffe982b93ee0
18,SFP000018,234,128,338,8,18,2020-01-19,2020-01-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3f741be5d0595555ada20581c66b96da3f741be5d0595555ada20581c66b96da
19,SFP000019,196,186,233,2,19,2020-01-20,2020-01-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ab31b9ddd03d546bacc99098950de63cab31b9ddd03d546bacc99098950de63c
20,SFP000020,159,305,154,9,20,2020-01-21,2020-01-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c6b2302bfc545b2db0a03c6c76be3526c6b2302bfc545b2db0a03c6c76be3526
21,SFP000021,236,206,329,8,21,2020-01-22,2020-01-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,506be261b0ff5d09b552b36ee8847787506be261b0ff5d09b552b36ee8847787
22,SFP000022,117,205,470,1,22,2020-01-23,2020-01-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6dab31a695eb573099c62761313c41e86dab31a695eb573099c62761313c41e8
23,SFP000023,36,294,407,10,23,2020-01-24,2020-01-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,00b5b7a745fa5ce2b1a8495f1f1c97e600b5b7a745fa5ce2b1a8495f1f1c97e6
24,SFP000024,499,265,93,3,24,2020-01-25,2020-01-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ab33674e2e21509387a74f8d6d087599ab33674e2e21509387a74f8d6d087599
25,SFP000025,118,218,241,6,25,2020-01-26,2020-01-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5463c3d060655c5db8db6631385656445463c3d060655c5db8db663138565644
26,SFP000026,251,333,246,7,26,2020-01-27,2020-01-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,add07c9554e359ddade5664416732aaaadd07c9554e359ddade5664416732aaa
27,SFP000027,89,43,288,9,27,2020-01-28,2020-01-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0aa28b886fbb57eb823abcad97a7c4c80aa28b886fbb57eb823abcad97a7c4c8
28,SFP000028,370,18,344,6,28,2020-01-29,2020-01-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ebf03f037ad15cbf875bad7bceab78ecebf03f037ad15cbf875bad7bceab78ec
29,SFP000029,91,134,400,9,29,2020-01-30,2020-01-30,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3c02a0cba5d55667bc3e803e209b00133c02a0cba5d55667bc3e803e209b0013
30,SFP000030,94,289,339,8,30,2020-01-31,2020-01-31,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3ec42007ed165c12af046d51311ddce73ec42007ed165c12af046d51311ddce7
31,SFP000031,159,183,251,3,31,2020-02-01,2020-02-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3869b2bf521a5a7faf79982911a6c6923869b2bf521a5a7faf79982911a6c692
32,SFP000032,110,18,405,2,32,2020-02-02,2020-02-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c652f977dd6b522886ad888b0771d0c0c652f977dd6b522886ad888b0771d0c0
33,SFP000033,213,244,376,1,33,2020-02-03,2020-02-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,55676cac7fd0562aa217819cd24b377655676cac7fd0562aa217819cd24b3776
34,SFP000034,474,172,345,9,34,2020-02-04,2020-02-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,63884f85f2065aebb27eb3454face8eb63884f85f2065aebb27eb3454face8eb
35,SFP000035,212,7,286,10,35,2020-02-05,2020-02-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e01e988101b75c0984665ccd64613095e01e988101b75c0984665ccd64613095
36,SFP000036,420,213,433,10,36,2020-02-06,2020-02-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a4abf00ecb9c53398faf9a968e705d91a4abf00ecb9c53398faf9a968e705d91
37,SFP000037,268,118,476,3,37,2020-02-07,2020-02-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8f682030741b5770ae2e1636fbe408a48f682030741b5770ae2e1636fbe408a4
38,SFP000038,247,301,315,3,38,2020-02-08,2020-02-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3da7d51e43e75c2db81e7a8b84cb68923da7d51e43e75c2db81e7a8b84cb6892
39,SFP000039,212,318,489,5,39,2020-02-09,2020-02-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3d59ccd13a775a89819137adf3d364e73d59ccd13a775a89819137adf3d364e7
40,SFP000040,332,119,320,9,40,2020-02-10,2020-02-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e061790b960d590e871ea626885b3243e061790b960d590e871ea626885b3243
41,SFP000041,489,155,134,10,41,2020-02-11,2020-02-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6358d594f3805b229d0a663fc9b6580f6358d594f3805b229d0a663fc9b6580f
42,SFP000042,124,284,169,2,42,2020-02-12,2020-02-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,094e4aefa638548baca6596388266335094e4aefa638548baca6596388266335
43,SFP000043,327,241,301,7,43,2020-02-13,2020-02-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3b8da63c2c0e535580bf240ddf4d66333b8da63c2c0e535580bf240ddf4d6633
44,SFP000044,223,176,432,2,44,2020-02-14,2020-02-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2a1bfc17ad365195bd1a60647740eb9a2a1bfc17ad365195bd1a60647740eb9a
45,SFP000045,281,15,283,5,45,2020-02-15,2020-02-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,51d6f4cc9dea51d3aa32fa275a48f80f51d6f4cc9dea51d3aa32fa275a48f80f
46,SFP000046,58,286,395,1,46,2020-02-16,2020-02-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,be2ba238da945fcdba6a21b50d8ce3ccbe2ba238da945fcdba6a21b50d8ce3cc
47,SFP000047,256,8,64,5,47,2020-02-17,2020-02-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a5783e1a77a7544eb2162f005b6ac073a5783e1a77a7544eb2162f005b6ac073
48,SFP000048,157,235,90,1,48,2020-02-18,2020-02-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cf37bd3c51a35631b89112c3e68329e9cf37bd3c51a35631b89112c3e68329e9
49,SFP000049,121,66,62,6,49,2020-02-19,2020-02-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b044c75e8d12516d8a18aa26e98b9020b044c75e8d12516d8a18aa26e98b9020
50,SFP000050,343,257,330,4,50,2020-02-20,2020-02-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,caa5abd638135870bf53f20c4d488503caa5abd638135870bf53f20c4d488503
51,SFP000051,166,218,279,9,51,2020-02-21,2020-02-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8c045c791e9354fdb9c2accdc0d91d8f8c045c791e9354fdb9c2accdc0d91d8f
52,SFP000052,444,1,39,6,52,2020-02-22,2020-02-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,56296beb348e57c3a4bb7b34577f65c056296beb348e57c3a4bb7b34577f65c0
53,SFP000053,80,128,155,5,53,2020-02-23,2020-02-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,51926d45623e58d385d1ab448bee827551926d45623e58d385d1ab448bee8275
54,SFP000054,4,227,330,3,54,2020-02-24,2020-02-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7efc8fb7443351b28ce9c564da13a53d7efc8fb7443351b28ce9c564da13a53d
55,SFP000055,153,213,260,5,55,2020-02-25,2020-02-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,87000c2839ef5ef4b62aa8d34d99ee2487000c2839ef5ef4b62aa8d34d99ee24
56,SFP000056,178,114,282,4,56,2020-02-26,2020-02-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,df5df13c67405299a20ffdb310a447d1df5df13c67405299a20ffdb310a447d1
57,SFP000057,117,38,406,3,57,2020-02-27,2020-02-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fc277327269056f784c35bc392c71bf5fc277327269056f784c35bc392c71bf5
58,SFP000058,398,26,75,5,58,2020-02-28,2020-02-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,abe302e7ef4d5c1f90b84230cff55233abe302e7ef4d5c1f90b84230cff55233
59,SFP000059,123,202,235,8,59,2020-02-29,2020-02-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0f500ad7963d5072b3f3d4e7313a67d30f500ad7963d5072b3f3d4e7313a67d3
60,SFP000060,277,117,244,6,60,2020-03-01,2020-03-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dcd4982fe2cb5f6aa8b51b08f1818ae7dcd4982fe2cb5f6aa8b51b08f1818ae7
61,SFP000061,25,237,282,4,61,2020-03-02,2020-03-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bd8d57ed91b75f63968d6e0baf35ead1bd8d57ed91b75f63968d6e0baf35ead1
62,SFP000062,12,169,94,6,62,2020-03-03,2020-03-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,413e873cdd36521d814dbadde9bffdcf413e873cdd36521d814dbadde9bffdcf
63,SFP000063,280,349,443,4,63,2020-03-04,2020-03-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9334b49d102f5a1fb49230a52fe236ea9334b49d102f5a1fb49230a52fe236ea
64,SFP000064,70,281,303,7,64,2020-03-05,2020-03-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,da992c75a1ee59fb8842facea2086bdada992c75a1ee59fb8842facea2086bda
