SalesOrderHeaderKey,SalesOrderNumber,CustomerKey,SellingPlantKey,SalesChannelSegmentKey,SalesTerritoryPodKey,SalesOrderLifecycleStatusKey,SalesCreditStatusKey,CurrencyKey,SalesOrderName,CustomerPurchaseOrderNumber,RequestedShipDate,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,-1,-1,Unknown,UNKNOWN,1900-01-01,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,SOH000001,413,98,165,155,1,8,2,Ion SalesOrderHeader 1,SOH000001,2020-01-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5aab7d8cf53f51eea9c55e4bd0eafa6c5aab7d8cf53f51eea9c55e4bd0eafa6c
2,SOH000002,410,130,365,120,10,3,3,Orion SalesOrderHeader 2,SOH000002,2020-01-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,63b43292ed8156c794303f40b8a13a1963b43292ed8156c794303f40b8a13a19
3,SOH000003,467,4,483,329,14,8,3,Liberty SalesOrderHeader 3,SOH000003,2020-01-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f1979d3219eb577f8f2957786e9999d9f1979d3219eb577f8f2957786e9999d9
4,SOH000004,163,124,404,102,12,1,4,Pioneer SalesOrderHeader 4,SOH000004,2020-01-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ec157e2ce0c95128a1e8fcf78b352bbaec157e2ce0c95128a1e8fcf78b352bba
5,SOH000005,176,161,288,392,10,1,3,Orion SalesOrderHeader 5,SOH000005,2020-01-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d1e2f71bf7455d9099d7330bcae0f496d1e2f71bf7455d9099d7330bcae0f496
6,SOH000006,3,316,67,492,7,7,4,Atlas SalesOrderHeader 6,SOH000006,2020-01-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7bf21b9d5e4d56e592f00265098238487bf21b9d5e4d56e592f0026509823848
7,SOH000007,89,145,406,475,11,8,4,Willow SalesOrderHeader 7,SOH000007,2020-01-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4e2915fc30155393b4b487ef6649ba544e2915fc30155393b4b487ef6649ba54
8,SOH000008,268,241,139,209,9,3,1,Summit SalesOrderHeader 8,SOH000008,2020-01-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6876e3d51e375ddea173b5bd0d0da3396876e3d51e375ddea173b5bd0d0da339
9,SOH000009,381,74,93,346,12,3,4,Summit SalesOrderHeader 9,SOH000009,2020-01-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e2734e867ab5541ca2a96b3f1ce38322e2734e867ab5541ca2a96b3f1ce38322
10,SOH000010,461,33,50,378,7,5,5,Junction SalesOrderHeader 10,SOH000010,2020-01-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b124d350d74c5d728399a1f282d24451b124d350d74c5d728399a1f282d24451
