SalesPromotionCampaignKey,SalesPromotionCampaignCode,SalesPromotionProgramKey,SalesPromotionCampaignName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,SPC000001,63,Delta SalesPromotionCampaign 1,1,1,2026-08-24T00:00:00.000
2,SPC000002,59,Orion SalesPromotionCampaign 2,1,1,2026-08-24T00:00:00.000
3,SPC000003,25,Willow SalesPromotionCampaign 3,1,1,2026-08-24T00:00:00.000
4,SPC000004,19,Pioneer SalesPromotionCampaign 4,1,1,2026-08-24T00:00:00.000
5,SPC000005,32,Willow SalesPromotionCampaign 5,1,1,2026-08-24T00:00:00.000
6,SPC000006,16,Ion SalesPromotionCampaign 6,1,1,2026-08-24T00:00:00.000
7,SPC000007,30,Orion SalesPromotionCampaign 7,1,1,2026-08-24T00:00:00.000
8,SPC000008,26,Keystone SalesPromotionCampaign 8,1,1,2026-08-24T00:00:00.000
9,SPC000009,9,Cedar SalesPromotionCampaign 9,1,1,2026-08-24T00:00:00.000
10,SPC000010,19,Ion SalesPromotionCampaign 10,1,1,2026-08-24T00:00:00.000
11,SPC000011,75,Northstar SalesPromotionCampaign 11,1,1,2026-08-24T00:00:00.000
12,SPC000012,73,Orion SalesPromotionCampaign 12,1,1,2026-08-24T00:00:00.000
13,SPC000013,33,Delta SalesPromotionCampaign 13,1,1,2026-08-24T00:00:00.000
14,SPC000014,63,Harbor SalesPromotionCampaign 14,1,1,2026-08-24T00:00:00.000
15,SPC000015,7,Titan SalesPromotionCampaign 15,1,1,2026-08-24T00:00:00.000
16,SPC000016,58,Atlas SalesPromotionCampaign 16,1,1,2026-08-24T00:00:00.000
17,SPC000017,25,Forge SalesPromotionCampaign 17,1,1,2026-08-24T00:00:00.000
18,SPC000018,41,Delta SalesPromotionCampaign 18,1,1,2026-08-24T00:00:00.000
19,SPC000019,47,Forge SalesPromotionCampaign 19,1,1,2026-08-24T00:00:00.000
20,SPC000020,57,Junction SalesPromotionCampaign 20,1,1,2026-08-24T00:00:00.000
21,SPC000021,51,Ion SalesPromotionCampaign 21,1,1,2026-08-24T00:00:00.000
22,SPC000022,33,Ion SalesPromotionCampaign 22,1,1,2026-08-24T00:00:00.000
23,SPC000023,78,Pioneer SalesPromotionCampaign 23,1,1,2026-08-24T00:00:00.000
24,SPC000024,22,Pioneer SalesPromotionCampaign 24,1,1,2026-08-24T00:00:00.000
25,SPC000025,73,Granite SalesPromotionCampaign 25,1,1,2026-08-24T00:00:00.000
26,SPC000026,4,Junction SalesPromotionCampaign 26,1,1,2026-08-24T00:00:00.000
27,SPC000027,57,Unity SalesPromotionCampaign 27,1,1,2026-08-24T00:00:00.000
28,SPC000028,74,Unity SalesPromotionCampaign 28,1,1,2026-08-24T00:00:00.000
29,SPC000029,30,Keystone SalesPromotionCampaign 29,1,1,2026-08-24T00:00:00.000
30,SPC000030,16,Keystone SalesPromotionCampaign 30,1,1,2026-08-24T00:00:00.000
31,SPC000031,49,Northstar SalesPromotionCampaign 31,1,1,2026-08-24T00:00:00.000
32,SPC000032,43,Keystone SalesPromotionCampaign 32,1,1,2026-08-24T00:00:00.000
33,SPC000033,5,Quartz SalesPromotionCampaign 33,1,1,2026-08-24T00:00:00.000
34,SPC000034,26,Harbor SalesPromotionCampaign 34,1,1,2026-08-24T00:00:00.000
35,SPC000035,16,Granite SalesPromotionCampaign 35,1,1,2026-08-24T00:00:00.000
36,SPC000036,80,Delta SalesPromotionCampaign 36,1,1,2026-08-24T00:00:00.000
37,SPC000037,45,Liberty SalesPromotionCampaign 37,1,1,2026-08-24T00:00:00.000
38,SPC000038,40,Pioneer SalesPromotionCampaign 38,1,1,2026-08-24T00:00:00.000
39,SPC000039,22,Cedar SalesPromotionCampaign 39,1,1,2026-08-24T00:00:00.000
40,SPC000040,24,Unity SalesPromotionCampaign 40,1,1,2026-08-24T00:00:00.000
41,SPC000041,28,Atlas SalesPromotionCampaign 41,1,1,2026-08-24T00:00:00.000
42,SPC000042,36,Vertex SalesPromotionCampaign 42,1,1,2026-08-24T00:00:00.000
43,SPC000043,67,Keystone SalesPromotionCampaign 43,1,1,2026-08-24T00:00:00.000
44,SPC000044,10,Summit SalesPromotionCampaign 44,1,1,2026-08-24T00:00:00.000
45,SPC000045,28,Vertex SalesPromotionCampaign 45,1,1,2026-08-24T00:00:00.000
46,SPC000046,32,Orion SalesPromotionCampaign 46,1,1,2026-08-24T00:00:00.000
47,SPC000047,39,Riverton SalesPromotionCampaign 47,1,1,2026-08-24T00:00:00.000
48,SPC000048,71,Evergreen SalesPromotionCampaign 48,1,1,2026-08-24T00:00:00.000
49,SPC000049,25,Orion SalesPromotionCampaign 49,1,1,2026-08-24T00:00:00.000
50,SPC000050,49,Granite SalesPromotionCampaign 50,1,1,2026-08-24T00:00:00.000
51,SPC000051,12,Keystone SalesPromotionCampaign 51,1,1,2026-08-24T00:00:00.000
52,SPC000052,65,Titan SalesPromotionCampaign 52,1,1,2026-08-24T00:00:00.000
53,SPC000053,3,Beacon SalesPromotionCampaign 53,1,1,2026-08-24T00:00:00.000
54,SPC000054,6,Orion SalesPromotionCampaign 54,1,1,2026-08-24T00:00:00.000
55,SPC000055,15,Pioneer SalesPromotionCampaign 55,1,1,2026-08-24T00:00:00.000
56,SPC000056,25,Ion SalesPromotionCampaign 56,1,1,2026-08-24T00:00:00.000
57,SPC000057,12,Delta SalesPromotionCampaign 57,1,1,2026-08-24T00:00:00.000
58,SPC000058,48,Northstar SalesPromotionCampaign 58,1,1,2026-08-24T00:00:00.000
59,SPC000059,79,Atlas SalesPromotionCampaign 59,1,1,2026-08-24T00:00:00.000
60,SPC000060,23,Titan SalesPromotionCampaign 60,1,1,2026-08-24T00:00:00.000
61,SPC000061,79,Atlas SalesPromotionCampaign 61,1,1,2026-08-24T00:00:00.000
62,SPC000062,79,Granite SalesPromotionCampaign 62,1,1,2026-08-24T00:00:00.000
63,SPC000063,14,Harbor SalesPromotionCampaign 63,1,1,2026-08-24T00:00:00.000
64,SPC000064,7,Unity SalesPromotionCampaign 64,1,1,2026-08-24T00:00:00.000
65,SPC000065,76,Zenith SalesPromotionCampaign 65,1,1,2026-08-24T00:00:00.000
66,SPC000066,4,Liberty SalesPromotionCampaign 66,1,1,2026-08-24T00:00:00.000
67,SPC000067,53,Ion SalesPromotionCampaign 67,1,1,2026-08-24T00:00:00.000
68,SPC000068,16,Forge SalesPromotionCampaign 68,1,1,2026-08-24T00:00:00.000
