SalesPromotionOfferKey,SalesPromotionOfferCode,SalesPromotionCampaignKey,SalesPromotionOfferName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,SPO000001,348,Vertex SalesPromotionOffer 1,1,1,2026-08-24T00:00:00.000
2,SPO000002,485,Ion SalesPromotionOffer 2,1,1,2026-08-24T00:00:00.000
3,SPO000003,337,Ion SalesPromotionOffer 3,1,1,2026-08-24T00:00:00.000
4,SPO000004,107,Beacon SalesPromotionOffer 4,1,1,2026-08-24T00:00:00.000
5,SPO000005,41,Meridian SalesPromotionOffer 5,1,1,2026-08-24T00:00:00.000
6,SPO000006,108,Ion SalesPromotionOffer 6,1,1,2026-08-24T00:00:00.000
7,SPO000007,110,Keystone SalesPromotionOffer 7,1,1,2026-08-24T00:00:00.000
8,SPO000008,171,Forge SalesPromotionOffer 8,1,1,2026-08-24T00:00:00.000
9,SPO000009,49,Delta SalesPromotionOffer 9,1,1,2026-08-24T00:00:00.000
10,SPO000010,191,Vertex SalesPromotionOffer 10,1,1,2026-08-24T00:00:00.000
11,SPO000011,3,Harbor SalesPromotionOffer 11,1,1,2026-08-24T00:00:00.000
12,SPO000012,176,Unity SalesPromotionOffer 12,1,1,2026-08-24T00:00:00.000
13,SPO000013,392,Harbor SalesPromotionOffer 13,1,1,2026-08-24T00:00:00.000
14,SPO000014,257,Beacon SalesPromotionOffer 14,1,1,2026-08-24T00:00:00.000
15,SPO000015,9,Forge SalesPromotionOffer 15,1,1,2026-08-24T00:00:00.000
16,SPO000016,152,Granite SalesPromotionOffer 16,1,1,2026-08-24T00:00:00.000
17,SPO000017,19,Granite SalesPromotionOffer 17,1,1,2026-08-24T00:00:00.000
18,SPO000018,276,Delta SalesPromotionOffer 18,1,1,2026-08-24T00:00:00.000
19,SPO000019,473,Vertex SalesPromotionOffer 19,1,1,2026-08-24T00:00:00.000
20,SPO000020,10,Northstar SalesPromotionOffer 20,1,1,2026-08-24T00:00:00.000
21,SPO000021,86,Harbor SalesPromotionOffer 21,1,1,2026-08-24T00:00:00.000
22,SPO000022,149,Meridian SalesPromotionOffer 22,1,1,2026-08-24T00:00:00.000
23,SPO000023,201,Cedar SalesPromotionOffer 23,1,1,2026-08-24T00:00:00.000
24,SPO000024,295,Evergreen SalesPromotionOffer 24,1,1,2026-08-24T00:00:00.000
25,SPO000025,343,Cedar SalesPromotionOffer 25,1,1,2026-08-24T00:00:00.000
26,SPO000026,169,Zenith SalesPromotionOffer 26,1,1,2026-08-24T00:00:00.000
27,SPO000027,61,Vertex SalesPromotionOffer 27,1,1,2026-08-24T00:00:00.000
28,SPO000028,464,Riverton SalesPromotionOffer 28,1,1,2026-08-24T00:00:00.000
29,SPO000029,64,Quartz SalesPromotionOffer 29,1,1,2026-08-24T00:00:00.000
30,SPO000030,429,Granite SalesPromotionOffer 30,1,1,2026-08-24T00:00:00.000
31,SPO000031,292,Evergreen SalesPromotionOffer 31,1,1,2026-08-24T00:00:00.000
32,SPO000032,361,Northstar SalesPromotionOffer 32,1,1,2026-08-24T00:00:00.000
33,SPO000033,247,Junction SalesPromotionOffer 33,1,1,2026-08-24T00:00:00.000
34,SPO000034,10,Summit SalesPromotionOffer 34,1,1,2026-08-24T00:00:00.000
35,SPO000035,278,Harbor SalesPromotionOffer 35,1,1,2026-08-24T00:00:00.000
36,SPO000036,161,Unity SalesPromotionOffer 36,1,1,2026-08-24T00:00:00.000
37,SPO000037,329,Beacon SalesPromotionOffer 37,1,1,2026-08-24T00:00:00.000
38,SPO000038,329,Riverton SalesPromotionOffer 38,1,1,2026-08-24T00:00:00.000
39,SPO000039,398,Orion SalesPromotionOffer 39,1,1,2026-08-24T00:00:00.000
40,SPO000040,190,Beacon SalesPromotionOffer 40,1,1,2026-08-24T00:00:00.000
41,SPO000041,73,Keystone SalesPromotionOffer 41,1,1,2026-08-24T00:00:00.000
42,SPO000042,339,Ion SalesPromotionOffer 42,1,1,2026-08-24T00:00:00.000
43,SPO000043,175,Riverton SalesPromotionOffer 43,1,1,2026-08-24T00:00:00.000
44,SPO000044,94,Liberty SalesPromotionOffer 44,1,1,2026-08-24T00:00:00.000
45,SPO000045,412,Harbor SalesPromotionOffer 45,1,1,2026-08-24T00:00:00.000
46,SPO000046,469,Atlas SalesPromotionOffer 46,1,1,2026-08-24T00:00:00.000
47,SPO000047,232,Titan SalesPromotionOffer 47,1,1,2026-08-24T00:00:00.000
48,SPO000048,313,Granite SalesPromotionOffer 48,1,1,2026-08-24T00:00:00.000
49,SPO000049,199,Keystone SalesPromotionOffer 49,1,1,2026-08-24T00:00:00.000
50,SPO000050,258,Evergreen SalesPromotionOffer 50,1,1,2026-08-24T00:00:00.000
