SalesRegionKey,SalesRegionCode,SalesRegionName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,Unknown,-1,0,1900-01-01T00:00:00.000
1,SR000001,Meridian SalesRegion 1,1,1,2026-08-24T00:00:00.000
2,SR000002,Quartz SalesRegion 2,1,1,2026-08-24T00:00:00.000
3,SR000003,Cedar SalesRegion 3,1,1,2026-08-24T00:00:00.000
4,SR000004,Junction SalesRegion 4,1,1,2026-08-24T00:00:00.000
5,SR000005,Evergreen SalesRegion 5,1,1,2026-08-24T00:00:00.000
6,SR000006,Cedar SalesRegion 6,1,1,2026-08-24T00:00:00.000
7,SR000007,Keystone SalesRegion 7,1,1,2026-08-24T00:00:00.000
8,SR000008,Keystone SalesRegion 8,1,1,2026-08-24T00:00:00.000
9,SR000009,Keystone SalesRegion 9,1,1,2026-08-24T00:00:00.000
10,SR000010,Zenith SalesRegion 10,1,1,2026-08-24T00:00:00.000
11,SR000011,Liberty SalesRegion 11,1,1,2026-08-24T00:00:00.000
12,SR000012,Meridian SalesRegion 12,1,1,2026-08-24T00:00:00.000
