SalesTerritoryPodKey,SalesTerritoryPodCode,SalesTerritoryKey,SalesTerritoryPodName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,STP000001,121,Liberty SalesTerritoryPod 1,1,1,2026-08-24T00:00:00.000
2,STP000002,51,Junction SalesTerritoryPod 2,1,1,2026-08-24T00:00:00.000
3,STP000003,369,Forge SalesTerritoryPod 3,1,1,2026-08-24T00:00:00.000
4,STP000004,367,Evergreen SalesTerritoryPod 4,1,1,2026-08-24T00:00:00.000
5,STP000005,341,Liberty SalesTerritoryPod 5,1,1,2026-08-24T00:00:00.000
6,STP000006,27,Granite SalesTerritoryPod 6,1,1,2026-08-24T00:00:00.000
7,STP000007,244,Delta SalesTerritoryPod 7,1,1,2026-08-24T00:00:00.000
8,STP000008,257,Evergreen SalesTerritoryPod 8,1,1,2026-08-24T00:00:00.000
9,STP000009,110,Junction SalesTerritoryPod 9,1,1,2026-08-24T00:00:00.000
10,STP000010,367,Atlas SalesTerritoryPod 10,1,1,2026-08-24T00:00:00.000
11,STP000011,6,Riverton SalesTerritoryPod 11,1,1,2026-08-24T00:00:00.000
12,STP000012,340,Keystone SalesTerritoryPod 12,1,1,2026-08-24T00:00:00.000
13,STP000013,475,Harbor SalesTerritoryPod 13,1,1,2026-08-24T00:00:00.000
14,STP000014,129,Cedar SalesTerritoryPod 14,1,1,2026-08-24T00:00:00.000
15,STP000015,118,Titan SalesTerritoryPod 15,1,1,2026-08-24T00:00:00.000
16,STP000016,157,Zenith SalesTerritoryPod 16,1,1,2026-08-24T00:00:00.000
17,STP000017,334,Pioneer SalesTerritoryPod 17,1,1,2026-08-24T00:00:00.000
18,STP000018,293,Orion SalesTerritoryPod 18,1,1,2026-08-24T00:00:00.000
19,STP000019,156,Pioneer SalesTerritoryPod 19,1,1,2026-08-24T00:00:00.000
20,STP000020,155,Cedar SalesTerritoryPod 20,1,1,2026-08-24T00:00:00.000
21,STP000021,299,Unity SalesTerritoryPod 21,1,1,2026-08-24T00:00:00.000
22,STP000022,109,Liberty SalesTerritoryPod 22,1,1,2026-08-24T00:00:00.000
23,STP000023,220,Quartz SalesTerritoryPod 23,1,1,2026-08-24T00:00:00.000
24,STP000024,81,Evergreen SalesTerritoryPod 24,1,1,2026-08-24T00:00:00.000
25,STP000025,17,Pioneer SalesTerritoryPod 25,1,1,2026-08-24T00:00:00.000
26,STP000026,115,Beacon SalesTerritoryPod 26,1,1,2026-08-24T00:00:00.000
27,STP000027,472,Keystone SalesTerritoryPod 27,1,1,2026-08-24T00:00:00.000
28,STP000028,49,Meridian SalesTerritoryPod 28,1,1,2026-08-24T00:00:00.000
29,STP000029,478,Northstar SalesTerritoryPod 29,1,1,2026-08-24T00:00:00.000
30,STP000030,68,Unity SalesTerritoryPod 30,1,1,2026-08-24T00:00:00.000
31,STP000031,192,Granite SalesTerritoryPod 31,1,1,2026-08-24T00:00:00.000
32,STP000032,135,Evergreen SalesTerritoryPod 32,1,1,2026-08-24T00:00:00.000
33,STP000033,309,Zenith SalesTerritoryPod 33,1,1,2026-08-24T00:00:00.000
34,STP000034,226,Orion SalesTerritoryPod 34,1,1,2026-08-24T00:00:00.000
35,STP000035,105,Summit SalesTerritoryPod 35,1,1,2026-08-24T00:00:00.000
36,STP000036,230,Titan SalesTerritoryPod 36,1,1,2026-08-24T00:00:00.000
37,STP000037,241,Delta SalesTerritoryPod 37,1,1,2026-08-24T00:00:00.000
38,STP000038,151,Meridian SalesTerritoryPod 38,1,1,2026-08-24T00:00:00.000
39,STP000039,109,Beacon SalesTerritoryPod 39,1,1,2026-08-24T00:00:00.000
40,STP000040,81,Riverton SalesTerritoryPod 40,1,1,2026-08-24T00:00:00.000
41,STP000041,372,Harbor SalesTerritoryPod 41,1,1,2026-08-24T00:00:00.000
42,STP000042,342,Orion SalesTerritoryPod 42,1,1,2026-08-24T00:00:00.000
43,STP000043,414,Riverton SalesTerritoryPod 43,1,1,2026-08-24T00:00:00.000
44,STP000044,34,Junction SalesTerritoryPod 44,1,1,2026-08-24T00:00:00.000
45,STP000045,443,Cedar SalesTerritoryPod 45,1,1,2026-08-24T00:00:00.000
46,STP000046,226,Cedar SalesTerritoryPod 46,1,1,2026-08-24T00:00:00.000
47,STP000047,57,Liberty SalesTerritoryPod 47,1,1,2026-08-24T00:00:00.000
48,STP000048,76,Zenith SalesTerritoryPod 48,1,1,2026-08-24T00:00:00.000
49,STP000049,178,Meridian SalesTerritoryPod 49,1,1,2026-08-24T00:00:00.000
50,STP000050,348,Atlas SalesTerritoryPod 50,1,1,2026-08-24T00:00:00.000
51,STP000051,448,Atlas SalesTerritoryPod 51,1,1,2026-08-24T00:00:00.000
52,STP000052,484,Willow SalesTerritoryPod 52,1,1,2026-08-24T00:00:00.000
53,STP000053,419,Titan SalesTerritoryPod 53,1,1,2026-08-24T00:00:00.000
54,STP000054,283,Harbor SalesTerritoryPod 54,1,1,2026-08-24T00:00:00.000
55,STP000055,380,Keystone SalesTerritoryPod 55,1,1,2026-08-24T00:00:00.000
