ServiceCampaignKey,ServiceCampaignCode,ServiceCampaignProgramKey,ServiceCampaignName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,SC000001,101,Pioneer ServiceCampaign 1,1,1,2026-08-24T00:00:00.000
2,SC000002,64,Granite ServiceCampaign 2,1,1,2026-08-24T00:00:00.000
3,SC000003,73,Riverton ServiceCampaign 3,1,1,2026-08-24T00:00:00.000
4,SC000004,96,Riverton ServiceCampaign 4,1,1,2026-08-24T00:00:00.000
5,SC000005,59,Cedar ServiceCampaign 5,1,1,2026-08-24T00:00:00.000
6,SC000006,73,Vertex ServiceCampaign 6,1,1,2026-08-24T00:00:00.000
7,SC000007,23,Quartz ServiceCampaign 7,1,1,2026-08-24T00:00:00.000
8,SC000008,111,Willow ServiceCampaign 8,1,1,2026-08-24T00:00:00.000
9,SC000009,65,Riverton ServiceCampaign 9,1,1,2026-08-24T00:00:00.000
10,SC000010,58,Harbor ServiceCampaign 10,1,1,2026-08-24T00:00:00.000
11,SC000011,68,Ion ServiceCampaign 11,1,1,2026-08-24T00:00:00.000
12,SC000012,16,Beacon ServiceCampaign 12,1,1,2026-08-24T00:00:00.000
13,SC000013,109,Liberty ServiceCampaign 13,1,1,2026-08-24T00:00:00.000
14,SC000014,39,Delta ServiceCampaign 14,1,1,2026-08-24T00:00:00.000
15,SC000015,23,Harbor ServiceCampaign 15,1,1,2026-08-24T00:00:00.000
16,SC000016,23,Harbor ServiceCampaign 16,1,1,2026-08-24T00:00:00.000
17,SC000017,1,Harbor ServiceCampaign 17,1,1,2026-08-24T00:00:00.000
18,SC000018,66,Forge ServiceCampaign 18,1,1,2026-08-24T00:00:00.000
19,SC000019,76,Quartz ServiceCampaign 19,1,1,2026-08-24T00:00:00.000
20,SC000020,75,Vertex ServiceCampaign 20,1,1,2026-08-24T00:00:00.000
21,SC000021,57,Granite ServiceCampaign 21,1,1,2026-08-24T00:00:00.000
22,SC000022,44,Vertex ServiceCampaign 22,1,1,2026-08-24T00:00:00.000
23,SC000023,45,Forge ServiceCampaign 23,1,1,2026-08-24T00:00:00.000
24,SC000024,106,Evergreen ServiceCampaign 24,1,1,2026-08-24T00:00:00.000
25,SC000025,5,Unity ServiceCampaign 25,1,1,2026-08-24T00:00:00.000
26,SC000026,61,Orion ServiceCampaign 26,1,1,2026-08-24T00:00:00.000
27,SC000027,12,Quartz ServiceCampaign 27,1,1,2026-08-24T00:00:00.000
28,SC000028,70,Ion ServiceCampaign 28,1,1,2026-08-24T00:00:00.000
29,SC000029,84,Unity ServiceCampaign 29,1,1,2026-08-24T00:00:00.000
30,SC000030,2,Junction ServiceCampaign 30,1,1,2026-08-24T00:00:00.000
31,SC000031,8,Orion ServiceCampaign 31,1,1,2026-08-24T00:00:00.000
32,SC000032,53,Keystone ServiceCampaign 32,1,1,2026-08-24T00:00:00.000
33,SC000033,15,Atlas ServiceCampaign 33,1,1,2026-08-24T00:00:00.000
34,SC000034,2,Willow ServiceCampaign 34,1,1,2026-08-24T00:00:00.000
