ServiceCampaignProgramKey,ServiceCampaignProgramCode,ServiceCampaignPortfolioKey,ServiceCampaignProgramName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,SCP000001,12,Forge ServiceCampaignProgram 1,1,1,2026-08-24T00:00:00.000
2,SCP000002,10,Willow ServiceCampaignProgram 2,1,1,2026-08-24T00:00:00.000
3,SCP000003,14,Granite ServiceCampaignProgram 3,1,1,2026-08-24T00:00:00.000
4,SCP000004,4,Junction ServiceCampaignProgram 4,1,1,2026-08-24T00:00:00.000
5,SCP000005,1,Summit ServiceCampaignProgram 5,1,1,2026-08-24T00:00:00.000
6,SCP000006,8,Evergreen ServiceCampaignProgram 6,1,1,2026-08-24T00:00:00.000
7,SCP000007,9,Evergreen ServiceCampaignProgram 7,1,1,2026-08-24T00:00:00.000
8,SCP000008,6,Vertex ServiceCampaignProgram 8,1,1,2026-08-24T00:00:00.000
9,SCP000009,9,Unity ServiceCampaignProgram 9,1,1,2026-08-24T00:00:00.000
10,SCP000010,10,Orion ServiceCampaignProgram 10,1,1,2026-08-24T00:00:00.000
11,SCP000011,2,Riverton ServiceCampaignProgram 11,1,1,2026-08-24T00:00:00.000
12,SCP000012,11,Keystone ServiceCampaignProgram 12,1,1,2026-08-24T00:00:00.000
13,SCP000013,9,Harbor ServiceCampaignProgram 13,1,1,2026-08-24T00:00:00.000
14,SCP000014,3,Keystone ServiceCampaignProgram 14,1,1,2026-08-24T00:00:00.000
15,SCP000015,11,Beacon ServiceCampaignProgram 15,1,1,2026-08-24T00:00:00.000
16,SCP000016,6,Titan ServiceCampaignProgram 16,1,1,2026-08-24T00:00:00.000
17,SCP000017,5,Northstar ServiceCampaignProgram 17,1,1,2026-08-24T00:00:00.000
18,SCP000018,11,Forge ServiceCampaignProgram 18,1,1,2026-08-24T00:00:00.000
19,SCP000019,12,Beacon ServiceCampaignProgram 19,1,1,2026-08-24T00:00:00.000
20,SCP000020,7,Willow ServiceCampaignProgram 20,1,1,2026-08-24T00:00:00.000
21,SCP000021,14,Ion ServiceCampaignProgram 21,1,1,2026-08-24T00:00:00.000
22,SCP000022,7,Forge ServiceCampaignProgram 22,1,1,2026-08-24T00:00:00.000
23,SCP000023,8,Zenith ServiceCampaignProgram 23,1,1,2026-08-24T00:00:00.000
24,SCP000024,1,Willow ServiceCampaignProgram 24,1,1,2026-08-24T00:00:00.000
25,SCP000025,2,Unity ServiceCampaignProgram 25,1,1,2026-08-24T00:00:00.000
26,SCP000026,10,Northstar ServiceCampaignProgram 26,1,1,2026-08-24T00:00:00.000
27,SCP000027,10,Willow ServiceCampaignProgram 27,1,1,2026-08-24T00:00:00.000
28,SCP000028,3,Titan ServiceCampaignProgram 28,1,1,2026-08-24T00:00:00.000
29,SCP000029,4,Ion ServiceCampaignProgram 29,1,1,2026-08-24T00:00:00.000
30,SCP000030,10,Delta ServiceCampaignProgram 30,1,1,2026-08-24T00:00:00.000
31,SCP000031,8,Cedar ServiceCampaignProgram 31,1,1,2026-08-24T00:00:00.000
32,SCP000032,9,Keystone ServiceCampaignProgram 32,1,1,2026-08-24T00:00:00.000
33,SCP000033,2,Beacon ServiceCampaignProgram 33,1,1,2026-08-24T00:00:00.000
34,SCP000034,7,Summit ServiceCampaignProgram 34,1,1,2026-08-24T00:00:00.000
35,SCP000035,7,Liberty ServiceCampaignProgram 35,1,1,2026-08-24T00:00:00.000
36,SCP000036,7,Delta ServiceCampaignProgram 36,1,1,2026-08-24T00:00:00.000
37,SCP000037,7,Orion ServiceCampaignProgram 37,1,1,2026-08-24T00:00:00.000
38,SCP000038,9,Riverton ServiceCampaignProgram 38,1,1,2026-08-24T00:00:00.000
39,SCP000039,13,Unity ServiceCampaignProgram 39,1,1,2026-08-24T00:00:00.000
40,SCP000040,3,Atlas ServiceCampaignProgram 40,1,1,2026-08-24T00:00:00.000
41,SCP000041,3,Summit ServiceCampaignProgram 41,1,1,2026-08-24T00:00:00.000
42,SCP000042,3,Unity ServiceCampaignProgram 42,1,1,2026-08-24T00:00:00.000
43,SCP000043,6,Cedar ServiceCampaignProgram 43,1,1,2026-08-24T00:00:00.000
44,SCP000044,2,Riverton ServiceCampaignProgram 44,1,1,2026-08-24T00:00:00.000
45,SCP000045,5,Atlas ServiceCampaignProgram 45,1,1,2026-08-24T00:00:00.000
46,SCP000046,10,Riverton ServiceCampaignProgram 46,1,1,2026-08-24T00:00:00.000
47,SCP000047,6,Quartz ServiceCampaignProgram 47,1,1,2026-08-24T00:00:00.000
48,SCP000048,7,Delta ServiceCampaignProgram 48,1,1,2026-08-24T00:00:00.000
49,SCP000049,13,Meridian ServiceCampaignProgram 49,1,1,2026-08-24T00:00:00.000
50,SCP000050,13,Evergreen ServiceCampaignProgram 50,1,1,2026-08-24T00:00:00.000
51,SCP000051,13,Riverton ServiceCampaignProgram 51,1,1,2026-08-24T00:00:00.000
52,SCP000052,12,Beacon ServiceCampaignProgram 52,1,1,2026-08-24T00:00:00.000
53,SCP000053,9,Pioneer ServiceCampaignProgram 53,1,1,2026-08-24T00:00:00.000
54,SCP000054,2,Unity ServiceCampaignProgram 54,1,1,2026-08-24T00:00:00.000
