ServiceContractKey,ServiceContractNumber,CustomerKey,WarrantyTermKey,ServiceTerritoryKey,ServiceContractStatusKey,CurrencyKey,ServiceContractName,ContractValueAmount,ResponseTimeHours,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,Unknown,0.0000,0.00,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,SC000001,23,1,28,5,4,Atlas ServiceContract 1,11.3700,2.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,88fec78869fe517fae86bef38b4f7bc088fec78869fe517fae86bef38b4f7bc0
2,SC000002,417,205,338,4,1,Titan ServiceContract 2,12.7400,3.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d85173af3cd05edd9934c0fe476fb60fd85173af3cd05edd9934c0fe476fb60f
3,SC000003,58,30,251,7,3,Forge ServiceContract 3,14.1100,4.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c94dda2babf65b56b7a99d1ba20fd179c94dda2babf65b56b7a99d1ba20fd179
4,SC000004,217,344,114,3,4,Ion ServiceContract 4,15.4800,5.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a6874047b222511f9620265479b7ca63a6874047b222511f9620265479b7ca63
5,SC000005,226,487,115,5,5,Keystone ServiceContract 5,16.8500,6.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e15f75eaf17453f8b068194f5ed9c202e15f75eaf17453f8b068194f5ed9c202
6,SC000006,203,388,498,4,4,Northstar ServiceContract 6,18.2200,7.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fac65483e5eb5b77b07507f2cd304b37fac65483e5eb5b77b07507f2cd304b37
7,SC000007,313,371,158,2,5,Meridian ServiceContract 7,19.5900,8.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cb519f543b495597b2b502601542ff1ecb519f543b495597b2b502601542ff1e
8,SC000008,486,474,376,7,2,Forge ServiceContract 8,20.9600,9.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1676ccb250d155ee807bc754af8787991676ccb250d155ee807bc754af878799
9,SC000009,389,330,94,1,1,Riverton ServiceContract 9,22.3300,10.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bfa79e1713325f78bab08b23a1d0da16bfa79e1713325f78bab08b23a1d0da16
