ServiceGeoDistrictKey,ServiceGeoDistrictCode,ServiceGeoRegionKey,ServiceGeoDistrictName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,SGD000001,14,Unity ServiceGeoDistrict 1,1,1,2026-08-24T00:00:00.000
2,SGD000002,14,Evergreen ServiceGeoDistrict 2,1,1,2026-08-24T00:00:00.000
3,SGD000003,4,Meridian ServiceGeoDistrict 3,1,1,2026-08-24T00:00:00.000
4,SGD000004,15,Summit ServiceGeoDistrict 4,1,1,2026-08-24T00:00:00.000
5,SGD000005,17,Pioneer ServiceGeoDistrict 5,1,1,2026-08-24T00:00:00.000
6,SGD000006,10,Keystone ServiceGeoDistrict 6,1,1,2026-08-24T00:00:00.000
7,SGD000007,15,Evergreen ServiceGeoDistrict 7,1,1,2026-08-24T00:00:00.000
8,SGD000008,17,Vertex ServiceGeoDistrict 8,1,1,2026-08-24T00:00:00.000
9,SGD000009,17,Summit ServiceGeoDistrict 9,1,1,2026-08-24T00:00:00.000
10,SGD000010,4,Keystone ServiceGeoDistrict 10,1,1,2026-08-24T00:00:00.000
11,SGD000011,15,Atlas ServiceGeoDistrict 11,1,1,2026-08-24T00:00:00.000
12,SGD000012,2,Forge ServiceGeoDistrict 12,1,1,2026-08-24T00:00:00.000
13,SGD000013,13,Evergreen ServiceGeoDistrict 13,1,1,2026-08-24T00:00:00.000
14,SGD000014,9,Riverton ServiceGeoDistrict 14,1,1,2026-08-24T00:00:00.000
15,SGD000015,8,Willow ServiceGeoDistrict 15,1,1,2026-08-24T00:00:00.000
16,SGD000016,12,Ion ServiceGeoDistrict 16,1,1,2026-08-24T00:00:00.000
17,SGD000017,2,Forge ServiceGeoDistrict 17,1,1,2026-08-24T00:00:00.000
18,SGD000018,14,Riverton ServiceGeoDistrict 18,1,1,2026-08-24T00:00:00.000
19,SGD000019,15,Junction ServiceGeoDistrict 19,1,1,2026-08-24T00:00:00.000
20,SGD000020,5,Pioneer ServiceGeoDistrict 20,1,1,2026-08-24T00:00:00.000
21,SGD000021,14,Delta ServiceGeoDistrict 21,1,1,2026-08-24T00:00:00.000
22,SGD000022,2,Delta ServiceGeoDistrict 22,1,1,2026-08-24T00:00:00.000
23,SGD000023,10,Willow ServiceGeoDistrict 23,1,1,2026-08-24T00:00:00.000
24,SGD000024,3,Summit ServiceGeoDistrict 24,1,1,2026-08-24T00:00:00.000
25,SGD000025,16,Forge ServiceGeoDistrict 25,1,1,2026-08-24T00:00:00.000
26,SGD000026,5,Granite ServiceGeoDistrict 26,1,1,2026-08-24T00:00:00.000
27,SGD000027,11,Keystone ServiceGeoDistrict 27,1,1,2026-08-24T00:00:00.000
28,SGD000028,4,Evergreen ServiceGeoDistrict 28,1,1,2026-08-24T00:00:00.000
29,SGD000029,1,Cedar ServiceGeoDistrict 29,1,1,2026-08-24T00:00:00.000
30,SGD000030,5,Junction ServiceGeoDistrict 30,1,1,2026-08-24T00:00:00.000
31,SGD000031,9,Delta ServiceGeoDistrict 31,1,1,2026-08-24T00:00:00.000
32,SGD000032,4,Cedar ServiceGeoDistrict 32,1,1,2026-08-24T00:00:00.000
