ServiceGeoRegionKey,ServiceGeoRegionCode,ServiceGeoRegionName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,Unknown,-1,0,1900-01-01T00:00:00.000
1,SGR000001,Titan ServiceGeoRegion 1,1,1,2026-08-24T00:00:00.000
2,SGR000002,Granite ServiceGeoRegion 2,1,1,2026-08-24T00:00:00.000
3,SGR000003,Meridian ServiceGeoRegion 3,1,1,2026-08-24T00:00:00.000
4,SGR000004,Harbor ServiceGeoRegion 4,1,1,2026-08-24T00:00:00.000
5,SGR000005,Pioneer ServiceGeoRegion 5,1,1,2026-08-24T00:00:00.000
6,SGR000006,Atlas ServiceGeoRegion 6,1,1,2026-08-24T00:00:00.000
7,SGR000007,Harbor ServiceGeoRegion 7,1,1,2026-08-24T00:00:00.000
8,SGR000008,Willow ServiceGeoRegion 8,1,1,2026-08-24T00:00:00.000
9,SGR000009,Titan ServiceGeoRegion 9,1,1,2026-08-24T00:00:00.000
10,SGR000010,Cedar ServiceGeoRegion 10,1,1,2026-08-24T00:00:00.000
11,SGR000011,Granite ServiceGeoRegion 11,1,1,2026-08-24T00:00:00.000
12,SGR000012,Meridian ServiceGeoRegion 12,1,1,2026-08-24T00:00:00.000
13,SGR000013,Liberty ServiceGeoRegion 13,1,1,2026-08-24T00:00:00.000
14,SGR000014,Unity ServiceGeoRegion 14,1,1,2026-08-24T00:00:00.000
15,SGR000015,Willow ServiceGeoRegion 15,1,1,2026-08-24T00:00:00.000
16,SGR000016,Unity ServiceGeoRegion 16,1,1,2026-08-24T00:00:00.000
17,SGR000017,Quartz ServiceGeoRegion 17,1,1,2026-08-24T00:00:00.000
18,SGR000018,Quartz ServiceGeoRegion 18,1,1,2026-08-24T00:00:00.000
