ServiceRecallActivityKey,ServiceRecallActivityCode,ServiceCampaignKey,ServiceRecallActivityName,IsSafetyRelated,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,0,-1,0,1900-01-01T00:00:00.000
1,SRA000001,210,Riverton ServiceRecallActivity 1,1,1,1,2026-08-24T00:00:00.000
2,SRA000002,1,Delta ServiceRecallActivity 2,1,1,1,2026-08-24T00:00:00.000
3,SRA000003,135,Titan ServiceRecallActivity 3,1,1,1,2026-08-24T00:00:00.000
4,SRA000004,350,Forge ServiceRecallActivity 4,1,1,1,2026-08-24T00:00:00.000
5,SRA000005,2,Ion ServiceRecallActivity 5,0,1,1,2026-08-24T00:00:00.000
6,SRA000006,357,Keystone ServiceRecallActivity 6,1,1,1,2026-08-24T00:00:00.000
7,SRA000007,411,Willow ServiceRecallActivity 7,1,1,1,2026-08-24T00:00:00.000
8,SRA000008,139,Liberty ServiceRecallActivity 8,1,1,1,2026-08-24T00:00:00.000
9,SRA000009,392,Liberty ServiceRecallActivity 9,1,1,1,2026-08-24T00:00:00.000
10,SRA000010,401,Zenith ServiceRecallActivity 10,0,1,1,2026-08-24T00:00:00.000
11,SRA000011,160,Granite ServiceRecallActivity 11,1,1,1,2026-08-24T00:00:00.000
12,SRA000012,256,Pioneer ServiceRecallActivity 12,1,1,1,2026-08-24T00:00:00.000
13,SRA000013,316,Northstar ServiceRecallActivity 13,1,1,1,2026-08-24T00:00:00.000
14,SRA000014,391,Willow ServiceRecallActivity 14,1,1,1,2026-08-24T00:00:00.000
15,SRA000015,439,Liberty ServiceRecallActivity 15,0,1,1,2026-08-24T00:00:00.000
16,SRA000016,34,Orion ServiceRecallActivity 16,1,1,1,2026-08-24T00:00:00.000
17,SRA000017,101,Junction ServiceRecallActivity 17,1,1,1,2026-08-24T00:00:00.000
18,SRA000018,109,Northstar ServiceRecallActivity 18,1,1,1,2026-08-24T00:00:00.000
19,SRA000019,32,Northstar ServiceRecallActivity 19,1,1,1,2026-08-24T00:00:00.000
20,SRA000020,357,Forge ServiceRecallActivity 20,0,1,1,2026-08-24T00:00:00.000
21,SRA000021,463,Vertex ServiceRecallActivity 21,1,1,1,2026-08-24T00:00:00.000
22,SRA000022,315,Harbor ServiceRecallActivity 22,1,1,1,2026-08-24T00:00:00.000
23,SRA000023,263,Delta ServiceRecallActivity 23,1,1,1,2026-08-24T00:00:00.000
24,SRA000024,85,Harbor ServiceRecallActivity 24,1,1,1,2026-08-24T00:00:00.000
25,SRA000025,368,Beacon ServiceRecallActivity 25,0,1,1,2026-08-24T00:00:00.000
