ServiceRepairCodeKey,ServiceRepairCodeCode,ServiceRepairActionKey,ServiceRepairCodeName,StandardRepairMinutes,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,0.00,-1,0,1900-01-01T00:00:00.000
1,SRC000001,72,SRC000001,6.00,1,1,2026-08-24T00:00:00.000
2,SRC000002,293,SRC000002,7.00,1,1,2026-08-24T00:00:00.000
3,SRC000003,311,SRC000003,8.00,1,1,2026-08-24T00:00:00.000
4,SRC000004,388,SRC000004,9.00,1,1,2026-08-24T00:00:00.000
5,SRC000005,35,SRC000005,10.00,1,1,2026-08-24T00:00:00.000
6,SRC000006,343,SRC000006,11.00,1,1,2026-08-24T00:00:00.000
7,SRC000007,304,SRC000007,12.00,1,1,2026-08-24T00:00:00.000
8,SRC000008,111,SRC000008,13.00,1,1,2026-08-24T00:00:00.000
9,SRC000009,465,SRC000009,14.00,1,1,2026-08-24T00:00:00.000
10,SRC000010,241,SRC000010,15.00,1,1,2026-08-24T00:00:00.000
11,SRC000011,360,SRC000011,16.00,1,1,2026-08-24T00:00:00.000
12,SRC000012,498,SRC000012,17.00,1,1,2026-08-24T00:00:00.000
13,SRC000013,443,SRC000013,18.00,1,1,2026-08-24T00:00:00.000
14,SRC000014,453,SRC000014,19.00,1,1,2026-08-24T00:00:00.000
15,SRC000015,235,SRC000015,20.00,1,1,2026-08-24T00:00:00.000
16,SRC000016,469,SRC000016,21.00,1,1,2026-08-24T00:00:00.000
17,SRC000017,359,SRC000017,22.00,1,1,2026-08-24T00:00:00.000
18,SRC000018,166,SRC000018,23.00,1,1,2026-08-24T00:00:00.000
19,SRC000019,35,SRC000019,24.00,1,1,2026-08-24T00:00:00.000
20,SRC000020,165,SRC000020,25.00,1,1,2026-08-24T00:00:00.000
21,SRC000021,344,SRC000021,26.00,1,1,2026-08-24T00:00:00.000
22,SRC000022,91,SRC000022,27.00,1,1,2026-08-24T00:00:00.000
23,SRC000023,397,SRC000023,28.00,1,1,2026-08-24T00:00:00.000
24,SRC000024,180,SRC000024,29.00,1,1,2026-08-24T00:00:00.000
25,SRC000025,388,SRC000025,30.00,1,1,2026-08-24T00:00:00.000
26,SRC000026,261,SRC000026,31.00,1,1,2026-08-24T00:00:00.000
27,SRC000027,189,SRC000027,32.00,1,1,2026-08-24T00:00:00.000
28,SRC000028,37,SRC000028,33.00,1,1,2026-08-24T00:00:00.000
29,SRC000029,283,SRC000029,34.00,1,1,2026-08-24T00:00:00.000
30,SRC000030,165,SRC000030,35.00,1,1,2026-08-24T00:00:00.000
31,SRC000031,124,SRC000031,36.00,1,1,2026-08-24T00:00:00.000
32,SRC000032,126,SRC000032,37.00,1,1,2026-08-24T00:00:00.000
33,SRC000033,366,SRC000033,38.00,1,1,2026-08-24T00:00:00.000
