ServiceTechnicianProfileKey,TechnicianProfileNumber,EmployeeKey,ServiceTerritoryKey,TechnicianDisplayName,DispatchRadiusKm,RemoteSupportEligible,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,Unknown,0.00,0,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,STP000001,309,411,Keystone ServiceTechnicianProfile 1,2.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,749b00e811285f848c1c04235c3a2515749b00e811285f848c1c04235c3a2515
2,STP000002,330,490,Harbor ServiceTechnicianProfile 2,3.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b1e2ff1f51fe5fe8942b8dd7afc4e477b1e2ff1f51fe5fe8942b8dd7afc4e477
3,STP000003,381,177,Atlas ServiceTechnicianProfile 3,4.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,23560d22fa995a679e85700c0122bfb223560d22fa995a679e85700c0122bfb2
4,STP000004,135,113,Vertex ServiceTechnicianProfile 4,5.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,11ac75b5017d5fdc9b6bcad0174a374811ac75b5017d5fdc9b6bcad0174a3748
5,STP000005,200,330,Junction ServiceTechnicianProfile 5,6.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dbc2e584a54f5bb98a3cd55dc3025c9fdbc2e584a54f5bb98a3cd55dc3025c9f
6,STP000006,327,333,Liberty ServiceTechnicianProfile 6,7.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,73519a5e17755f0fa643bb3eef17c55b73519a5e17755f0fa643bb3eef17c55b
7,STP000007,256,265,Vertex ServiceTechnicianProfile 7,8.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c35a72009fa1570d84f8adfc0802f13ac35a72009fa1570d84f8adfc0802f13a
8,STP000008,247,40,Evergreen ServiceTechnicianProfile 8,9.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c56717aa451b553f8ea6356933781c15c56717aa451b553f8ea6356933781c15
9,STP000009,466,341,Evergreen ServiceTechnicianProfile 9,10.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3c3f173094685a7da7f4cca2cd2072523c3f173094685a7da7f4cca2cd207252
