ServiceTerritoryKey,ServiceTerritoryCode,ServiceGeoBranchKey,ServiceTerritoryName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,ST000001,290,Titan ServiceTerritory 1,1,1,2026-08-24T00:00:00.000
2,ST000002,264,Beacon ServiceTerritory 2,1,1,2026-08-24T00:00:00.000
3,ST000003,139,Summit ServiceTerritory 3,1,1,2026-08-24T00:00:00.000
4,ST000004,460,Titan ServiceTerritory 4,1,1,2026-08-24T00:00:00.000
5,ST000005,215,Vertex ServiceTerritory 5,1,1,2026-08-24T00:00:00.000
6,ST000006,444,Riverton ServiceTerritory 6,1,1,2026-08-24T00:00:00.000
7,ST000007,478,Cedar ServiceTerritory 7,1,1,2026-08-24T00:00:00.000
8,ST000008,272,Ion ServiceTerritory 8,1,1,2026-08-24T00:00:00.000
9,ST000009,21,Pioneer ServiceTerritory 9,1,1,2026-08-24T00:00:00.000
10,ST000010,500,Harbor ServiceTerritory 10,1,1,2026-08-24T00:00:00.000
11,ST000011,472,Ion ServiceTerritory 11,1,1,2026-08-24T00:00:00.000
12,ST000012,352,Riverton ServiceTerritory 12,1,1,2026-08-24T00:00:00.000
13,ST000013,351,Vertex ServiceTerritory 13,1,1,2026-08-24T00:00:00.000
14,ST000014,378,Cedar ServiceTerritory 14,1,1,2026-08-24T00:00:00.000
15,ST000015,345,Ion ServiceTerritory 15,1,1,2026-08-24T00:00:00.000
16,ST000016,313,Granite ServiceTerritory 16,1,1,2026-08-24T00:00:00.000
17,ST000017,134,Orion ServiceTerritory 17,1,1,2026-08-24T00:00:00.000
18,ST000018,237,Meridian ServiceTerritory 18,1,1,2026-08-24T00:00:00.000
19,ST000019,241,Atlas ServiceTerritory 19,1,1,2026-08-24T00:00:00.000
20,ST000020,471,Meridian ServiceTerritory 20,1,1,2026-08-24T00:00:00.000
21,ST000021,49,Riverton ServiceTerritory 21,1,1,2026-08-24T00:00:00.000
22,ST000022,374,Summit ServiceTerritory 22,1,1,2026-08-24T00:00:00.000
23,ST000023,108,Meridian ServiceTerritory 23,1,1,2026-08-24T00:00:00.000
24,ST000024,386,Keystone ServiceTerritory 24,1,1,2026-08-24T00:00:00.000
25,ST000025,447,Granite ServiceTerritory 25,1,1,2026-08-24T00:00:00.000
26,ST000026,67,Pioneer ServiceTerritory 26,1,1,2026-08-24T00:00:00.000
27,ST000027,1,Liberty ServiceTerritory 27,1,1,2026-08-24T00:00:00.000
28,ST000028,397,Forge ServiceTerritory 28,1,1,2026-08-24T00:00:00.000
29,ST000029,142,Delta ServiceTerritory 29,1,1,2026-08-24T00:00:00.000
30,ST000030,160,Ion ServiceTerritory 30,1,1,2026-08-24T00:00:00.000
31,ST000031,325,Keystone ServiceTerritory 31,1,1,2026-08-24T00:00:00.000
32,ST000032,174,Ion ServiceTerritory 32,1,1,2026-08-24T00:00:00.000
33,ST000033,291,Zenith ServiceTerritory 33,1,1,2026-08-24T00:00:00.000
34,ST000034,223,Delta ServiceTerritory 34,1,1,2026-08-24T00:00:00.000
35,ST000035,32,Forge ServiceTerritory 35,1,1,2026-08-24T00:00:00.000
36,ST000036,254,Junction ServiceTerritory 36,1,1,2026-08-24T00:00:00.000
37,ST000037,148,Evergreen ServiceTerritory 37,1,1,2026-08-24T00:00:00.000
38,ST000038,309,Vertex ServiceTerritory 38,1,1,2026-08-24T00:00:00.000
39,ST000039,478,Zenith ServiceTerritory 39,1,1,2026-08-24T00:00:00.000
40,ST000040,46,Ion ServiceTerritory 40,1,1,2026-08-24T00:00:00.000
41,ST000041,387,Granite ServiceTerritory 41,1,1,2026-08-24T00:00:00.000
42,ST000042,53,Junction ServiceTerritory 42,1,1,2026-08-24T00:00:00.000
43,ST000043,308,Zenith ServiceTerritory 43,1,1,2026-08-24T00:00:00.000
44,ST000044,103,Atlas ServiceTerritory 44,1,1,2026-08-24T00:00:00.000
45,ST000045,335,Meridian ServiceTerritory 45,1,1,2026-08-24T00:00:00.000
46,ST000046,491,Summit ServiceTerritory 46,1,1,2026-08-24T00:00:00.000
47,ST000047,175,Cedar ServiceTerritory 47,1,1,2026-08-24T00:00:00.000
48,ST000048,63,Vertex ServiceTerritory 48,1,1,2026-08-24T00:00:00.000
49,ST000049,226,Delta ServiceTerritory 49,1,1,2026-08-24T00:00:00.000
50,ST000050,139,Meridian ServiceTerritory 50,1,1,2026-08-24T00:00:00.000
51,ST000051,357,Liberty ServiceTerritory 51,1,1,2026-08-24T00:00:00.000
52,ST000052,149,Riverton ServiceTerritory 52,1,1,2026-08-24T00:00:00.000
53,ST000053,305,Riverton ServiceTerritory 53,1,1,2026-08-24T00:00:00.000
54,ST000054,403,Cedar ServiceTerritory 54,1,1,2026-08-24T00:00:00.000
55,ST000055,96,Willow ServiceTerritory 55,1,1,2026-08-24T00:00:00.000
56,ST000056,115,Ion ServiceTerritory 56,1,1,2026-08-24T00:00:00.000
57,ST000057,129,Vertex ServiceTerritory 57,1,1,2026-08-24T00:00:00.000
58,ST000058,313,Zenith ServiceTerritory 58,1,1,2026-08-24T00:00:00.000
59,ST000059,34,Zenith ServiceTerritory 59,1,1,2026-08-24T00:00:00.000
60,ST000060,100,Summit ServiceTerritory 60,1,1,2026-08-24T00:00:00.000
61,ST000061,98,Atlas ServiceTerritory 61,1,1,2026-08-24T00:00:00.000
62,ST000062,413,Willow ServiceTerritory 62,1,1,2026-08-24T00:00:00.000
63,ST000063,463,Cedar ServiceTerritory 63,1,1,2026-08-24T00:00:00.000
64,ST000064,341,Harbor ServiceTerritory 64,1,1,2026-08-24T00:00:00.000
65,ST000065,145,Quartz ServiceTerritory 65,1,1,2026-08-24T00:00:00.000
66,ST000066,340,Evergreen ServiceTerritory 66,1,1,2026-08-24T00:00:00.000
67,ST000067,182,Liberty ServiceTerritory 67,1,1,2026-08-24T00:00:00.000
68,ST000068,246,Junction ServiceTerritory 68,1,1,2026-08-24T00:00:00.000
69,ST000069,16,Beacon ServiceTerritory 69,1,1,2026-08-24T00:00:00.000
70,ST000070,224,Delta ServiceTerritory 70,1,1,2026-08-24T00:00:00.000
71,ST000071,284,Beacon ServiceTerritory 71,1,1,2026-08-24T00:00:00.000
72,ST000072,477,Vertex ServiceTerritory 72,1,1,2026-08-24T00:00:00.000
73,ST000073,493,Unity ServiceTerritory 73,1,1,2026-08-24T00:00:00.000
74,ST000074,104,Atlas ServiceTerritory 74,1,1,2026-08-24T00:00:00.000
75,ST000075,464,Ion ServiceTerritory 75,1,1,2026-08-24T00:00:00.000
76,ST000076,440,Zenith ServiceTerritory 76,1,1,2026-08-24T00:00:00.000
77,ST000077,392,Liberty ServiceTerritory 77,1,1,2026-08-24T00:00:00.000
78,ST000078,205,Delta ServiceTerritory 78,1,1,2026-08-24T00:00:00.000
79,ST000079,194,Riverton ServiceTerritory 79,1,1,2026-08-24T00:00:00.000
80,ST000080,120,Summit ServiceTerritory 80,1,1,2026-08-24T00:00:00.000
81,ST000081,369,Titan ServiceTerritory 81,1,1,2026-08-24T00:00:00.000
82,ST000082,127,Forge ServiceTerritory 82,1,1,2026-08-24T00:00:00.000
