SiteKey,SiteCode,PlantKey,RecordStatusKey,HazardClassKey,SiteName,SiteDescription,BuildingCode,FloorCode,AreaCode,TemperatureControlledFlag,HazmatApprovedFlag,DefaultWarehouseFlag,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,-1,-1,Unknown,N/A,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,-1,0,1900-01-01T00:00:00.000
1,S000001,48,3,18,Vertex Site 1,Site starter record 1,S000001,S000001,S000001,1,1,1,1,1,2026-08-24T00:00:00.000
2,S000002,51,2,11,Atlas Site 2,Site starter record 2,S000002,S000002,S000002,1,1,1,1,1,2026-08-24T00:00:00.000
3,S000003,130,4,4,Beacon Site 3,Site starter record 3,S000003,S000003,S000003,1,1,1,1,1,2026-08-24T00:00:00.000
4,S000004,326,1,7,Liberty Site 4,Site starter record 4,S000004,S000004,S000004,1,1,1,1,1,2026-08-24T00:00:00.000
5,S000005,136,4,9,Delta Site 5,Site starter record 5,S000005,S000005,S000005,0,0,0,1,1,2026-08-24T00:00:00.000
6,S000006,38,1,13,Zenith Site 6,Site starter record 6,S000006,S000006,S000006,1,1,1,1,1,2026-08-24T00:00:00.000
7,S000007,204,1,8,Vertex Site 7,Site starter record 7,S000007,S000007,S000007,1,1,1,1,1,2026-08-24T00:00:00.000
8,S000008,311,4,10,Northstar Site 8,Site starter record 8,S000008,S000008,S000008,1,1,1,1,1,2026-08-24T00:00:00.000
9,S000009,146,4,6,Atlas Site 9,Site starter record 9,S000009,S000009,S000009,1,1,1,1,1,2026-08-24T00:00:00.000
10,S000010,90,2,4,Harbor Site 10,Site starter record 10,S000010,S000010,S000010,0,0,0,1,1,2026-08-24T00:00:00.000
11,S000011,129,4,2,Junction Site 11,Site starter record 11,S000011,S000011,S000011,1,1,1,1,1,2026-08-24T00:00:00.000
12,S000012,70,1,3,Zenith Site 12,Site starter record 12,S000012,S000012,S000012,1,1,1,1,1,2026-08-24T00:00:00.000
13,S000013,38,3,4,Forge Site 13,Site starter record 13,S000013,S000013,S000013,1,1,1,1,1,2026-08-24T00:00:00.000
14,S000014,53,2,10,Northstar Site 14,Site starter record 14,S000014,S000014,S000014,1,1,1,1,1,2026-08-24T00:00:00.000
15,S000015,17,1,3,Keystone Site 15,Site starter record 15,S000015,S000015,S000015,0,0,0,1,1,2026-08-24T00:00:00.000
16,S000016,323,2,15,Liberty Site 16,Site starter record 16,S000016,S000016,S000016,1,1,1,1,1,2026-08-24T00:00:00.000
17,S000017,326,4,12,Summit Site 17,Site starter record 17,S000017,S000017,S000017,1,1,1,1,1,2026-08-24T00:00:00.000
18,S000018,262,2,2,Forge Site 18,Site starter record 18,S000018,S000018,S000018,1,1,1,1,1,2026-08-24T00:00:00.000
19,S000019,94,1,18,Meridian Site 19,Site starter record 19,S000019,S000019,S000019,1,1,1,1,1,2026-08-24T00:00:00.000
20,S000020,201,1,5,Ion Site 20,Site starter record 20,S000020,S000020,S000020,0,0,0,1,1,2026-08-24T00:00:00.000
21,S000021,32,1,13,Beacon Site 21,Site starter record 21,S000021,S000021,S000021,1,1,1,1,1,2026-08-24T00:00:00.000
22,S000022,96,4,6,Northstar Site 22,Site starter record 22,S000022,S000022,S000022,1,1,1,1,1,2026-08-24T00:00:00.000
23,S000023,239,2,9,Atlas Site 23,Site starter record 23,S000023,S000023,S000023,1,1,1,1,1,2026-08-24T00:00:00.000
24,S000024,21,4,10,Junction Site 24,Site starter record 24,S000024,S000024,S000024,1,1,1,1,1,2026-08-24T00:00:00.000
25,S000025,182,2,9,Summit Site 25,Site starter record 25,S000025,S000025,S000025,0,0,0,1,1,2026-08-24T00:00:00.000
26,S000026,142,1,18,Unity Site 26,Site starter record 26,S000026,S000026,S000026,1,1,1,1,1,2026-08-24T00:00:00.000
27,S000027,333,4,13,Granite Site 27,Site starter record 27,S000027,S000027,S000027,1,1,1,1,1,2026-08-24T00:00:00.000
28,S000028,71,4,12,Harbor Site 28,Site starter record 28,S000028,S000028,S000028,1,1,1,1,1,2026-08-24T00:00:00.000
29,S000029,150,2,3,Willow Site 29,Site starter record 29,S000029,S000029,S000029,1,1,1,1,1,2026-08-24T00:00:00.000
