SupplierKey,SupplierNumber,GeoPostalCodeKey,SupplierTierKey,SupplierCategoryKey,SupplierRiskClassKey,CurrencyKey,IncotermCodeKey,PaymentTermKey,SupplierQualificationStatusKey,RecordStatusKey,SupplierName,SupplierLegalName,AccountOpenedDate,TaxRegistrationNumber,DefaultCurrencyCode,DefaultIncotermCode,DefaultPaymentTermCode,MinorityOwnedFlag,QualityCertifiedFlag,OnTimeTargetPercent,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,-1,-1,-1,-1,Unknown,Unknown,1900-01-01,UNKNOWN,UNK,UNKNOWN,UNKNOWN,0,0,0.0000,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,S000001,450,20,223,5,3,16,2,10,1,Summit Supplier 1,Delta Supplier 1,2021-01-01,S000001,EUR,S000001,S000001,1,1,0.0001,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a45361695fe45ca6bf29cb67beec00f5a45361695fe45ca6bf29cb67beec00f5
2,S000002,297,4,177,5,2,9,10,4,1,Delta Supplier 2,Willow Supplier 2,2021-01-02,S000002,GBP,S000002,S000002,1,1,0.0002,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,18569cfac165509ea4130b5ce2752b0918569cfac165509ea4130b5ce2752b09
3,S000003,96,10,42,2,4,9,2,9,2,Vertex Supplier 3,Willow Supplier 3,2021-01-03,S000003,CAD,S000003,S000003,1,1,0.0003,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d22a1b6e21ac5a409fbb3bcd77946f7ed22a1b6e21ac5a409fbb3bcd77946f7e
4,S000004,125,1,258,8,1,11,16,1,3,Junction Supplier 4,Beacon Supplier 4,2021-01-04,S000004,MXN,S000004,S000004,1,1,0.0004,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e6eb1bf67caf5bf1a9179590b7fa49c7e6eb1bf67caf5bf1a9179590b7fa49c7
5,S000005,156,10,222,12,4,4,6,9,3,Zenith Supplier 5,Granite Supplier 5,2021-01-05,S000005,JPY,S000005,S000005,0,0,0.0005,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,84dd9d6d8b6b5fc4a387311ecdff1d1a84dd9d6d8b6b5fc4a387311ecdff1d1a
6,S000006,369,7,112,6,5,16,15,7,2,Willow Supplier 6,Summit Supplier 6,2021-01-06,S000006,USD,S000006,S000006,1,1,0.0006,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,39866d8090a85311bb8d1601fd7a893139866d8090a85311bb8d1601fd7a8931
7,S000007,452,17,275,7,4,2,18,9,4,Ion Supplier 7,Riverton Supplier 7,2021-01-07,S000007,EUR,S000007,S000007,1,1,0.0007,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,93c496487b5c5091867890c41be0f1b793c496487b5c5091867890c41be0f1b7
8,S000008,120,17,208,1,4,13,4,8,1,Junction Supplier 8,Beacon Supplier 8,2021-01-08,S000008,GBP,S000008,S000008,1,1,0.0008,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2062513581e05826b051d89905429aed2062513581e05826b051d89905429aed
9,S000009,138,20,70,10,1,8,6,6,4,Vertex Supplier 9,Liberty Supplier 9,2021-01-09,S000009,CAD,S000009,S000009,1,1,0.0009,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,810bf872214258a382a36479e415787b810bf872214258a382a36479e415787b
10,S000010,181,15,92,4,4,16,2,5,4,Zenith Supplier 10,Evergreen Supplier 10,2021-01-10,S000010,MXN,S000010,S000010,0,0,0.0010,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,23b6605a8c8057a3900accf99d2881d023b6605a8c8057a3900accf99d2881d0
11,S000011,262,2,264,9,2,1,16,10,3,Cedar Supplier 11,Beacon Supplier 11,2021-01-11,S000011,JPY,S000011,S000011,1,1,0.0011,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,51654fd9c7f856209602d699c91df1ca51654fd9c7f856209602d699c91df1ca
12,S000012,104,3,183,4,1,10,5,7,2,Titan Supplier 12,Junction Supplier 12,2021-01-12,S000012,USD,S000012,S000012,1,1,0.0012,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,450984bc720f53b5adb3e2d99c493b63450984bc720f53b5adb3e2d99c493b63
13,S000013,491,8,204,7,5,13,9,5,3,Pioneer Supplier 13,Zenith Supplier 13,2021-01-13,S000013,EUR,S000013,S000013,1,1,0.0013,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2e02498995f15f81827ed91a0540a4472e02498995f15f81827ed91a0540a447
14,S000014,323,4,199,3,1,15,3,1,1,Beacon Supplier 14,Quartz Supplier 14,2021-01-14,S000014,GBP,S000014,S000014,1,1,0.0014,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d67416e37e255022940a51272e583453d67416e37e255022940a51272e583453
15,S000015,92,1,53,4,5,6,18,7,1,Granite Supplier 15,Ion Supplier 15,2021-01-15,S000015,CAD,S000015,S000015,0,0,0.0015,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f276f66dddbe52b4bcb206ad675a1ad6f276f66dddbe52b4bcb206ad675a1ad6
16,S000016,255,18,224,5,5,11,5,3,1,Orion Supplier 16,Orion Supplier 16,2021-01-16,S000016,MXN,S000016,S000016,1,1,0.0016,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e86207f9544651e4b47a20fbd590b4ece86207f9544651e4b47a20fbd590b4ec
17,S000017,290,3,193,6,5,9,5,2,4,Zenith Supplier 17,Riverton Supplier 17,2021-01-17,S000017,JPY,S000017,S000017,1,1,0.0017,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f53d78dc8ace5a7da207e610bbc6a4ebf53d78dc8ace5a7da207e610bbc6a4eb
18,S000018,56,19,5,5,4,1,1,5,3,Keystone Supplier 18,Willow Supplier 18,2021-01-18,S000018,USD,S000018,S000018,1,1,0.0018,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7d67ee0edf19520d97ae3f8a1999e1b17d67ee0edf19520d97ae3f8a1999e1b1
19,S000019,95,10,231,10,3,5,2,5,2,Vertex Supplier 19,Ion Supplier 19,2021-01-19,S000019,EUR,S000019,S000019,1,1,0.0019,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2d72d239e27f57fcbfd249b5f5af8de92d72d239e27f57fcbfd249b5f5af8de9
20,S000020,428,17,18,9,2,2,6,5,1,Riverton Supplier 20,Evergreen Supplier 20,2021-01-20,S000020,GBP,S000020,S000020,0,0,0.0020,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,673ee248f440500b9e1985141ea9a08a673ee248f440500b9e1985141ea9a08a
21,S000021,5,15,68,4,5,15,6,4,4,Titan Supplier 21,Atlas Supplier 21,2021-01-21,S000021,CAD,S000021,S000021,1,1,0.0021,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,309ace1b300850749835187fc6887630309ace1b300850749835187fc6887630
22,S000022,445,4,58,4,2,15,6,9,4,Keystone Supplier 22,Quartz Supplier 22,2021-01-22,S000022,MXN,S000022,S000022,1,1,0.0022,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2fd845b1d0f5530c8af49baf0a893a012fd845b1d0f5530c8af49baf0a893a01
23,S000023,259,1,80,10,1,7,6,3,4,Quartz Supplier 23,Granite Supplier 23,2021-01-23,S000023,JPY,S000023,S000023,1,1,0.0023,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,12b13a32068455e38a481b479e0bbd1312b13a32068455e38a481b479e0bbd13
24,S000024,279,16,74,8,5,11,2,2,3,Delta Supplier 24,Harbor Supplier 24,2021-01-24,S000024,USD,S000024,S000024,1,1,0.0024,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a619b7dfaeca5667bf5a2d38f90b58f7a619b7dfaeca5667bf5a2d38f90b58f7
25,S000025,262,2,38,9,5,13,2,4,4,Granite Supplier 25,Zenith Supplier 25,2021-01-25,S000025,EUR,S000025,S000025,0,0,0.0025,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4c7d4c6b6ea75e0d9470d600d56674504c7d4c6b6ea75e0d9470d600d5667450
26,S000026,390,2,109,1,2,11,7,7,4,Beacon Supplier 26,Vertex Supplier 26,2021-01-26,S000026,GBP,S000026,S000026,1,1,0.0026,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ec0bb838a18c5799b2bd681961831ad0ec0bb838a18c5799b2bd681961831ad0
27,S000027,399,2,262,6,1,2,18,9,3,Forge Supplier 27,Delta Supplier 27,2021-01-27,S000027,CAD,S000027,S000027,1,1,0.0027,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,67c7c3fe446b5c32ad0c568f5da8070867c7c3fe446b5c32ad0c568f5da80708
28,S000028,330,3,55,3,2,7,3,8,1,Quartz Supplier 28,Willow Supplier 28,2021-01-28,S000028,MXN,S000028,S000028,1,1,0.0028,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2f597207281f55578f3d190143ad9b132f597207281f55578f3d190143ad9b13
29,S000029,21,12,155,5,1,16,13,5,2,Willow Supplier 29,Summit Supplier 29,2021-01-29,S000029,JPY,S000029,S000029,1,1,0.0029,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d97a71e49ed8560a901d621ab5c15476d97a71e49ed8560a901d621ab5c15476
30,S000030,268,18,100,9,2,12,15,2,3,Beacon Supplier 30,Cedar Supplier 30,2021-01-30,S000030,USD,S000030,S000030,0,0,0.0030,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0e7c7907f86f5cea9ad2f595b29ee7240e7c7907f86f5cea9ad2f595b29ee724
31,S000031,163,5,27,6,3,14,3,2,4,Riverton Supplier 31,Atlas Supplier 31,2021-01-31,S000031,EUR,S000031,S000031,1,1,0.0031,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c3f8516557a458578accdd09db423e17c3f8516557a458578accdd09db423e17
32,S000032,30,8,93,9,1,9,4,8,1,Cedar Supplier 32,Pioneer Supplier 32,2021-02-01,S000032,GBP,S000032,S000032,1,1,0.0032,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6574d9bdd0b256ffa96022dc5619bf4a6574d9bdd0b256ffa96022dc5619bf4a
33,S000033,176,5,128,8,3,10,18,7,4,Keystone Supplier 33,Atlas Supplier 33,2021-02-02,S000033,CAD,S000033,S000033,1,1,0.0033,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e989cec3568153dfbedd8ccfbb64b0bce989cec3568153dfbedd8ccfbb64b0bc
34,S000034,137,2,151,12,2,2,8,4,4,Harbor Supplier 34,Titan Supplier 34,2021-02-03,S000034,MXN,S000034,S000034,1,1,0.0034,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2ccb4f4103945d719544ca1f46c5d3732ccb4f4103945d719544ca1f46c5d373
35,S000035,419,10,51,5,1,3,17,4,4,Quartz Supplier 35,Atlas Supplier 35,2021-02-04,S000035,JPY,S000035,S000035,0,0,0.0035,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e93dbb59652353198823f708200da873e93dbb59652353198823f708200da873
36,S000036,87,20,73,8,4,9,1,6,4,Riverton Supplier 36,Liberty Supplier 36,2021-02-05,S000036,USD,S000036,S000036,1,1,0.0036,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1c34ad6428875772ad598febf36f79f41c34ad6428875772ad598febf36f79f4
37,S000037,107,12,87,1,2,4,14,3,3,Delta Supplier 37,Willow Supplier 37,2021-02-06,S000037,EUR,S000037,S000037,1,1,0.0037,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7c7a9274e24058ffbdfe90936cadb56f7c7a9274e24058ffbdfe90936cadb56f
38,S000038,104,6,19,1,4,13,12,9,1,Quartz Supplier 38,Beacon Supplier 38,2021-02-07,S000038,GBP,S000038,S000038,1,1,0.0038,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d460d2fe176a5e51be4c01dddffdefc1d460d2fe176a5e51be4c01dddffdefc1
39,S000039,258,15,212,10,1,3,13,4,3,Zenith Supplier 39,Delta Supplier 39,2021-02-08,S000039,CAD,S000039,S000039,1,1,0.0039,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,32d227384b2d5c8fb1eb6cc2deedb73832d227384b2d5c8fb1eb6cc2deedb738
40,S000040,151,20,206,8,1,9,18,5,2,Granite Supplier 40,Unity Supplier 40,2021-02-09,S000040,MXN,S000040,S000040,0,0,0.0040,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b4c51b1e8b515b95afa49f9a7c151911b4c51b1e8b515b95afa49f9a7c151911
41,S000041,189,17,108,9,1,6,18,10,4,Granite Supplier 41,Granite Supplier 41,2021-02-10,S000041,JPY,S000041,S000041,1,1,0.0041,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9d020cc509d1547da520abb1cd4333ea9d020cc509d1547da520abb1cd4333ea
42,S000042,21,16,48,8,1,13,1,1,1,Keystone Supplier 42,Meridian Supplier 42,2021-02-11,S000042,USD,S000042,S000042,1,1,0.0042,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b56201ec574354f2903d3db732310737b56201ec574354f2903d3db732310737
