SupplierCategoryKey,SupplierCategoryCode,PaymentTermKey,RecordStatusKey,SupplierCategoryName,SupplierCategoryDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,-1,Unknown,N/A,Unknown,1900-01-01,1900-01-01,0,-1,0,1900-01-01T00:00:00.000
1,SC000001,3,1,Beacon SupplierCategory 1,SupplierCategory starter record 1,Alex Hughes,2020-01-02,2021-01-01,1,1,1,2026-08-24T00:00:00.000
2,SC000002,8,1,Riverton SupplierCategory 2,SupplierCategory starter record 2,Casey Singh,2020-01-03,2021-01-02,1,1,1,2026-08-24T00:00:00.000
3,SC000003,3,2,Delta SupplierCategory 3,SupplierCategory starter record 3,Harper Khan,2020-01-04,2021-01-03,1,1,1,2026-08-24T00:00:00.000
4,SC000004,4,2,Quartz SupplierCategory 4,SupplierCategory starter record 4,Finley Adams,2020-01-05,2021-01-04,1,1,1,2026-08-24T00:00:00.000
5,SC000005,8,2,Zenith SupplierCategory 5,SupplierCategory starter record 5,Finley Adams,2020-01-06,2021-01-05,0,1,1,2026-08-24T00:00:00.000
6,SC000006,10,3,Northstar SupplierCategory 6,SupplierCategory starter record 6,Jordan Reed,2020-01-07,2021-01-06,1,1,1,2026-08-24T00:00:00.000
7,SC000007,1,3,Orion SupplierCategory 7,SupplierCategory starter record 7,Taylor Diaz,2020-01-08,2021-01-07,1,1,1,2026-08-24T00:00:00.000
8,SC000008,14,1,Zenith SupplierCategory 8,SupplierCategory starter record 8,Blair Evans,2020-01-09,2021-01-08,1,1,1,2026-08-24T00:00:00.000
9,SC000009,9,2,Northstar SupplierCategory 9,SupplierCategory starter record 9,Blair Martin,2020-01-10,2021-01-09,1,1,1,2026-08-24T00:00:00.000
10,SC000010,1,2,Quartz SupplierCategory 10,SupplierCategory starter record 10,Emerson Evans,2020-01-11,2021-01-10,0,1,1,2026-08-24T00:00:00.000
11,SC000011,9,1,Titan SupplierCategory 11,SupplierCategory starter record 11,Harper Garcia,2020-01-12,2021-01-11,1,1,1,2026-08-24T00:00:00.000
12,SC000012,3,3,Junction SupplierCategory 12,SupplierCategory starter record 12,Devon Singh,2020-01-13,2021-01-12,1,1,1,2026-08-24T00:00:00.000
13,SC000013,14,3,Cedar SupplierCategory 13,SupplierCategory starter record 13,Blair Singh,2020-01-14,2021-01-13,1,1,1,2026-08-24T00:00:00.000
14,SC000014,9,2,Riverton SupplierCategory 14,SupplierCategory starter record 14,Taylor Singh,2020-01-15,2021-01-14,1,1,1,2026-08-24T00:00:00.000
15,SC000015,16,4,Meridian SupplierCategory 15,SupplierCategory starter record 15,Devon Diaz,2020-01-16,2021-01-15,0,1,1,2026-08-24T00:00:00.000
16,SC000016,14,1,Atlas SupplierCategory 16,SupplierCategory starter record 16,Emerson Hughes,2020-01-17,2021-01-16,1,1,1,2026-08-24T00:00:00.000
17,SC000017,6,3,Quartz SupplierCategory 17,SupplierCategory starter record 17,Jordan Evans,2020-01-18,2021-01-17,1,1,1,2026-08-24T00:00:00.000
18,SC000018,12,4,Beacon SupplierCategory 18,SupplierCategory starter record 18,Morgan Evans,2020-01-19,2021-01-18,1,1,1,2026-08-24T00:00:00.000
19,SC000019,12,4,Cedar SupplierCategory 19,SupplierCategory starter record 19,Blair Evans,2020-01-20,2021-01-19,1,1,1,2026-08-24T00:00:00.000
20,SC000020,13,1,Zenith SupplierCategory 20,SupplierCategory starter record 20,Alex Hughes,2020-01-21,2021-01-20,0,1,1,2026-08-24T00:00:00.000
21,SC000021,6,4,Summit SupplierCategory 21,SupplierCategory starter record 21,Casey Singh,2020-01-22,2021-01-21,1,1,1,2026-08-24T00:00:00.000
22,SC000022,10,2,Cedar SupplierCategory 22,SupplierCategory starter record 22,Taylor Garcia,2020-01-23,2021-01-22,1,1,1,2026-08-24T00:00:00.000
23,SC000023,12,2,Quartz SupplierCategory 23,SupplierCategory starter record 23,Quinn Evans,2020-01-24,2021-01-23,1,1,1,2026-08-24T00:00:00.000
24,SC000024,2,4,Vertex SupplierCategory 24,SupplierCategory starter record 24,Blair Evans,2020-01-25,2021-01-24,1,1,1,2026-08-24T00:00:00.000
25,SC000025,14,4,Beacon SupplierCategory 25,SupplierCategory starter record 25,Morgan Garcia,2020-01-26,2021-01-25,0,1,1,2026-08-24T00:00:00.000
26,SC000026,9,2,Keystone SupplierCategory 26,SupplierCategory starter record 26,Morgan Bennett,2020-01-27,2021-01-26,1,1,1,2026-08-24T00:00:00.000
27,SC000027,7,4,Harbor SupplierCategory 27,SupplierCategory starter record 27,Taylor Hughes,2020-01-28,2021-01-27,1,1,1,2026-08-24T00:00:00.000
28,SC000028,14,2,Cedar SupplierCategory 28,SupplierCategory starter record 28,Morgan Bennett,2020-01-29,2021-01-28,1,1,1,2026-08-24T00:00:00.000
29,SC000029,3,4,Evergreen SupplierCategory 29,SupplierCategory starter record 29,Emerson Reed,2020-01-30,2021-01-29,1,1,1,2026-08-24T00:00:00.000
30,SC000030,3,2,Zenith SupplierCategory 30,SupplierCategory starter record 30,Alex Khan,2020-01-31,2021-01-30,0,1,1,2026-08-24T00:00:00.000
31,SC000031,8,4,Atlas SupplierCategory 31,SupplierCategory starter record 31,Taylor Adams,2020-02-01,2021-01-31,1,1,1,2026-08-24T00:00:00.000
32,SC000032,18,1,Zenith SupplierCategory 32,SupplierCategory starter record 32,Riley Khan,2020-02-02,2021-02-01,1,1,1,2026-08-24T00:00:00.000
33,SC000033,15,4,Zenith SupplierCategory 33,SupplierCategory starter record 33,Quinn Hughes,2020-02-03,2021-02-02,1,1,1,2026-08-24T00:00:00.000
