WarrantyClaimChannelKey,ClaimChannelCode,LanguageKey,ClaimChannelName,IsSelfServiceChannel,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,0,-1,0,1900-01-01T00:00:00.000
1,WCC000001,8,Keystone WarrantyClaimChannel 1,1,1,1,2026-08-24T00:00:00.000
2,WCC000002,16,Evergreen WarrantyClaimChannel 2,1,1,1,2026-08-24T00:00:00.000
3,WCC000003,30,Forge WarrantyClaimChannel 3,1,1,1,2026-08-24T00:00:00.000
4,WCC000004,7,Vertex WarrantyClaimChannel 4,1,1,1,2026-08-24T00:00:00.000
5,WCC000005,21,Pioneer WarrantyClaimChannel 5,0,1,1,2026-08-24T00:00:00.000
6,WCC000006,26,Beacon WarrantyClaimChannel 6,1,1,1,2026-08-24T00:00:00.000
7,WCC000007,1,Riverton WarrantyClaimChannel 7,1,1,1,2026-08-24T00:00:00.000
8,WCC000008,39,Junction WarrantyClaimChannel 8,1,1,1,2026-08-24T00:00:00.000
9,WCC000009,23,Evergreen WarrantyClaimChannel 9,1,1,1,2026-08-24T00:00:00.000
10,WCC000010,19,Pioneer WarrantyClaimChannel 10,0,1,1,2026-08-24T00:00:00.000
11,WCC000011,35,Northstar WarrantyClaimChannel 11,1,1,1,2026-08-24T00:00:00.000
12,WCC000012,2,Vertex WarrantyClaimChannel 12,1,1,1,2026-08-24T00:00:00.000
13,WCC000013,14,Forge WarrantyClaimChannel 13,1,1,1,2026-08-24T00:00:00.000
14,WCC000014,7,Keystone WarrantyClaimChannel 14,1,1,1,2026-08-24T00:00:00.000
15,WCC000015,15,Unity WarrantyClaimChannel 15,0,1,1,2026-08-24T00:00:00.000
16,WCC000016,24,Titan WarrantyClaimChannel 16,1,1,1,2026-08-24T00:00:00.000
17,WCC000017,9,Evergreen WarrantyClaimChannel 17,1,1,1,2026-08-24T00:00:00.000
18,WCC000018,28,Harbor WarrantyClaimChannel 18,1,1,1,2026-08-24T00:00:00.000
19,WCC000019,11,Junction WarrantyClaimChannel 19,1,1,1,2026-08-24T00:00:00.000
20,WCC000020,18,Junction WarrantyClaimChannel 20,0,1,1,2026-08-24T00:00:00.000
21,WCC000021,15,Titan WarrantyClaimChannel 21,1,1,1,2026-08-24T00:00:00.000
22,WCC000022,38,Granite WarrantyClaimChannel 22,1,1,1,2026-08-24T00:00:00.000
23,WCC000023,14,Willow WarrantyClaimChannel 23,1,1,1,2026-08-24T00:00:00.000
24,WCC000024,19,Willow WarrantyClaimChannel 24,1,1,1,2026-08-24T00:00:00.000
25,WCC000025,1,Forge WarrantyClaimChannel 25,0,1,1,2026-08-24T00:00:00.000
26,WCC000026,26,Meridian WarrantyClaimChannel 26,1,1,1,2026-08-24T00:00:00.000
27,WCC000027,10,Liberty WarrantyClaimChannel 27,1,1,1,2026-08-24T00:00:00.000
28,WCC000028,33,Forge WarrantyClaimChannel 28,1,1,1,2026-08-24T00:00:00.000
29,WCC000029,11,Forge WarrantyClaimChannel 29,1,1,1,2026-08-24T00:00:00.000
30,WCC000030,26,Vertex WarrantyClaimChannel 30,0,1,1,2026-08-24T00:00:00.000
31,WCC000031,13,Northstar WarrantyClaimChannel 31,1,1,1,2026-08-24T00:00:00.000
32,WCC000032,6,Beacon WarrantyClaimChannel 32,1,1,1,2026-08-24T00:00:00.000
33,WCC000033,19,Zenith WarrantyClaimChannel 33,1,1,1,2026-08-24T00:00:00.000
34,WCC000034,27,Orion WarrantyClaimChannel 34,1,1,1,2026-08-24T00:00:00.000
35,WCC000035,40,Junction WarrantyClaimChannel 35,0,1,1,2026-08-24T00:00:00.000
36,WCC000036,4,Evergreen WarrantyClaimChannel 36,1,1,1,2026-08-24T00:00:00.000
37,WCC000037,19,Cedar WarrantyClaimChannel 37,1,1,1,2026-08-24T00:00:00.000
38,WCC000038,33,Harbor WarrantyClaimChannel 38,1,1,1,2026-08-24T00:00:00.000
39,WCC000039,25,Orion WarrantyClaimChannel 39,1,1,1,2026-08-24T00:00:00.000
40,WCC000040,13,Evergreen WarrantyClaimChannel 40,0,1,1,2026-08-24T00:00:00.000
41,WCC000041,30,Liberty WarrantyClaimChannel 41,1,1,1,2026-08-24T00:00:00.000
42,WCC000042,15,Liberty WarrantyClaimChannel 42,1,1,1,2026-08-24T00:00:00.000
43,WCC000043,15,Granite WarrantyClaimChannel 43,1,1,1,2026-08-24T00:00:00.000
44,WCC000044,23,Ion WarrantyClaimChannel 44,1,1,1,2026-08-24T00:00:00.000
45,WCC000045,19,Vertex WarrantyClaimChannel 45,0,1,1,2026-08-24T00:00:00.000
46,WCC000046,20,Evergreen WarrantyClaimChannel 46,1,1,1,2026-08-24T00:00:00.000
47,WCC000047,11,Quartz WarrantyClaimChannel 47,1,1,1,2026-08-24T00:00:00.000
48,WCC000048,34,Beacon WarrantyClaimChannel 48,1,1,1,2026-08-24T00:00:00.000
49,WCC000049,24,Harbor WarrantyClaimChannel 49,1,1,1,2026-08-24T00:00:00.000
50,WCC000050,25,Orion WarrantyClaimChannel 50,0,1,1,2026-08-24T00:00:00.000
51,WCC000051,33,Beacon WarrantyClaimChannel 51,1,1,1,2026-08-24T00:00:00.000
52,WCC000052,18,Titan WarrantyClaimChannel 52,1,1,1,2026-08-24T00:00:00.000
53,WCC000053,19,Junction WarrantyClaimChannel 53,1,1,1,2026-08-24T00:00:00.000
