WarrantyCoverageProgramKey,WarrantyCoverageProgramCode,WarrantyCoverageFamilyKey,WarrantyCoverageProgramName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,WCP000001,7,Pioneer WarrantyCoverageProgram 1,1,1,2026-08-24T00:00:00.000
2,WCP000002,1,Vertex WarrantyCoverageProgram 2,1,1,2026-08-24T00:00:00.000
3,WCP000003,7,Willow WarrantyCoverageProgram 3,1,1,2026-08-24T00:00:00.000
4,WCP000004,1,Vertex WarrantyCoverageProgram 4,1,1,2026-08-24T00:00:00.000
5,WCP000005,2,Pioneer WarrantyCoverageProgram 5,1,1,2026-08-24T00:00:00.000
6,WCP000006,10,Titan WarrantyCoverageProgram 6,1,1,2026-08-24T00:00:00.000
7,WCP000007,11,Zenith WarrantyCoverageProgram 7,1,1,2026-08-24T00:00:00.000
8,WCP000008,11,Delta WarrantyCoverageProgram 8,1,1,2026-08-24T00:00:00.000
9,WCP000009,8,Liberty WarrantyCoverageProgram 9,1,1,2026-08-24T00:00:00.000
10,WCP000010,6,Evergreen WarrantyCoverageProgram 10,1,1,2026-08-24T00:00:00.000
11,WCP000011,1,Granite WarrantyCoverageProgram 11,1,1,2026-08-24T00:00:00.000
12,WCP000012,12,Forge WarrantyCoverageProgram 12,1,1,2026-08-24T00:00:00.000
13,WCP000013,9,Harbor WarrantyCoverageProgram 13,1,1,2026-08-24T00:00:00.000
14,WCP000014,10,Meridian WarrantyCoverageProgram 14,1,1,2026-08-24T00:00:00.000
15,WCP000015,6,Evergreen WarrantyCoverageProgram 15,1,1,2026-08-24T00:00:00.000
16,WCP000016,3,Pioneer WarrantyCoverageProgram 16,1,1,2026-08-24T00:00:00.000
17,WCP000017,1,Liberty WarrantyCoverageProgram 17,1,1,2026-08-24T00:00:00.000
18,WCP000018,11,Meridian WarrantyCoverageProgram 18,1,1,2026-08-24T00:00:00.000
19,WCP000019,10,Titan WarrantyCoverageProgram 19,1,1,2026-08-24T00:00:00.000
20,WCP000020,7,Willow WarrantyCoverageProgram 20,1,1,2026-08-24T00:00:00.000
21,WCP000021,11,Evergreen WarrantyCoverageProgram 21,1,1,2026-08-24T00:00:00.000
22,WCP000022,6,Junction WarrantyCoverageProgram 22,1,1,2026-08-24T00:00:00.000
23,WCP000023,6,Zenith WarrantyCoverageProgram 23,1,1,2026-08-24T00:00:00.000
24,WCP000024,4,Zenith WarrantyCoverageProgram 24,1,1,2026-08-24T00:00:00.000
25,WCP000025,3,Willow WarrantyCoverageProgram 25,1,1,2026-08-24T00:00:00.000
26,WCP000026,5,Unity WarrantyCoverageProgram 26,1,1,2026-08-24T00:00:00.000
27,WCP000027,4,Atlas WarrantyCoverageProgram 27,1,1,2026-08-24T00:00:00.000
28,WCP000028,4,Harbor WarrantyCoverageProgram 28,1,1,2026-08-24T00:00:00.000
29,WCP000029,5,Junction WarrantyCoverageProgram 29,1,1,2026-08-24T00:00:00.000
30,WCP000030,1,Zenith WarrantyCoverageProgram 30,1,1,2026-08-24T00:00:00.000
31,WCP000031,11,Harbor WarrantyCoverageProgram 31,1,1,2026-08-24T00:00:00.000
32,WCP000032,6,Junction WarrantyCoverageProgram 32,1,1,2026-08-24T00:00:00.000
33,WCP000033,12,Liberty WarrantyCoverageProgram 33,1,1,2026-08-24T00:00:00.000
34,WCP000034,11,Riverton WarrantyCoverageProgram 34,1,1,2026-08-24T00:00:00.000
35,WCP000035,11,Zenith WarrantyCoverageProgram 35,1,1,2026-08-24T00:00:00.000
36,WCP000036,2,Cedar WarrantyCoverageProgram 36,1,1,2026-08-24T00:00:00.000
37,WCP000037,11,Evergreen WarrantyCoverageProgram 37,1,1,2026-08-24T00:00:00.000
38,WCP000038,10,Quartz WarrantyCoverageProgram 38,1,1,2026-08-24T00:00:00.000
39,WCP000039,4,Quartz WarrantyCoverageProgram 39,1,1,2026-08-24T00:00:00.000
40,WCP000040,6,Cedar WarrantyCoverageProgram 40,1,1,2026-08-24T00:00:00.000
41,WCP000041,7,Riverton WarrantyCoverageProgram 41,1,1,2026-08-24T00:00:00.000
42,WCP000042,11,Pioneer WarrantyCoverageProgram 42,1,1,2026-08-24T00:00:00.000
43,WCP000043,10,Summit WarrantyCoverageProgram 43,1,1,2026-08-24T00:00:00.000
44,WCP000044,7,Harbor WarrantyCoverageProgram 44,1,1,2026-08-24T00:00:00.000
45,WCP000045,9,Quartz WarrantyCoverageProgram 45,1,1,2026-08-24T00:00:00.000
46,WCP000046,6,Junction WarrantyCoverageProgram 46,1,1,2026-08-24T00:00:00.000
47,WCP000047,6,Cedar WarrantyCoverageProgram 47,1,1,2026-08-24T00:00:00.000
48,WCP000048,8,Evergreen WarrantyCoverageProgram 48,1,1,2026-08-24T00:00:00.000
49,WCP000049,5,Meridian WarrantyCoverageProgram 49,1,1,2026-08-24T00:00:00.000
50,WCP000050,4,Unity WarrantyCoverageProgram 50,1,1,2026-08-24T00:00:00.000
51,WCP000051,11,Summit WarrantyCoverageProgram 51,1,1,2026-08-24T00:00:00.000
52,WCP000052,12,Zenith WarrantyCoverageProgram 52,1,1,2026-08-24T00:00:00.000
53,WCP000053,8,Zenith WarrantyCoverageProgram 53,1,1,2026-08-24T00:00:00.000
54,WCP000054,5,Unity WarrantyCoverageProgram 54,1,1,2026-08-24T00:00:00.000
55,WCP000055,5,Evergreen WarrantyCoverageProgram 55,1,1,2026-08-24T00:00:00.000
56,WCP000056,9,Quartz WarrantyCoverageProgram 56,1,1,2026-08-24T00:00:00.000
57,WCP000057,4,Pioneer WarrantyCoverageProgram 57,1,1,2026-08-24T00:00:00.000
58,WCP000058,8,Evergreen WarrantyCoverageProgram 58,1,1,2026-08-24T00:00:00.000
59,WCP000059,8,Summit WarrantyCoverageProgram 59,1,1,2026-08-24T00:00:00.000
60,WCP000060,4,Cedar WarrantyCoverageProgram 60,1,1,2026-08-24T00:00:00.000
61,WCP000061,6,Beacon WarrantyCoverageProgram 61,1,1,2026-08-24T00:00:00.000
62,WCP000062,12,Keystone WarrantyCoverageProgram 62,1,1,2026-08-24T00:00:00.000
63,WCP000063,6,Northstar WarrantyCoverageProgram 63,1,1,2026-08-24T00:00:00.000
64,WCP000064,6,Summit WarrantyCoverageProgram 64,1,1,2026-08-24T00:00:00.000
65,WCP000065,3,Ion WarrantyCoverageProgram 65,1,1,2026-08-24T00:00:00.000
66,WCP000066,7,Unity WarrantyCoverageProgram 66,1,1,2026-08-24T00:00:00.000
67,WCP000067,3,Vertex WarrantyCoverageProgram 67,1,1,2026-08-24T00:00:00.000
68,WCP000068,5,Vertex WarrantyCoverageProgram 68,1,1,2026-08-24T00:00:00.000
69,WCP000069,3,Willow WarrantyCoverageProgram 69,1,1,2026-08-24T00:00:00.000
70,WCP000070,8,Pioneer WarrantyCoverageProgram 70,1,1,2026-08-24T00:00:00.000
71,WCP000071,5,Vertex WarrantyCoverageProgram 71,1,1,2026-08-24T00:00:00.000
72,WCP000072,8,Delta WarrantyCoverageProgram 72,1,1,2026-08-24T00:00:00.000
73,WCP000073,6,Keystone WarrantyCoverageProgram 73,1,1,2026-08-24T00:00:00.000
74,WCP000074,4,Willow WarrantyCoverageProgram 74,1,1,2026-08-24T00:00:00.000
75,WCP000075,3,Pioneer WarrantyCoverageProgram 75,1,1,2026-08-24T00:00:00.000
76,WCP000076,12,Atlas WarrantyCoverageProgram 76,1,1,2026-08-24T00:00:00.000
77,WCP000077,8,Zenith WarrantyCoverageProgram 77,1,1,2026-08-24T00:00:00.000
78,WCP000078,2,Orion WarrantyCoverageProgram 78,1,1,2026-08-24T00:00:00.000
79,WCP000079,1,Granite WarrantyCoverageProgram 79,1,1,2026-08-24T00:00:00.000
80,WCP000080,11,Pioneer WarrantyCoverageProgram 80,1,1,2026-08-24T00:00:00.000
81,WCP000081,12,Evergreen WarrantyCoverageProgram 81,1,1,2026-08-24T00:00:00.000
