WarrantyFailureModeKey,FailureModeCode,ServiceRepairSubcategoryKey,SeverityKey,FailureModeName,IsConfirmedFailure,SeverityScore,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,-1,Unknown,0,0.00,-1,0,1900-01-01T00:00:00.000
1,WFM000001,8,1,Atlas WarrantyFailureMode 1,1,2.00,1,1,2026-08-24T00:00:00.000
2,WFM000002,182,3,Riverton WarrantyFailureMode 2,1,3.00,1,1,2026-08-24T00:00:00.000
3,WFM000003,37,2,Atlas WarrantyFailureMode 3,1,4.00,1,1,2026-08-24T00:00:00.000
4,WFM000004,121,1,Ion WarrantyFailureMode 4,1,5.00,1,1,2026-08-24T00:00:00.000
5,WFM000005,237,2,Atlas WarrantyFailureMode 5,0,6.00,1,1,2026-08-24T00:00:00.000
6,WFM000006,31,4,Vertex WarrantyFailureMode 6,1,7.00,1,1,2026-08-24T00:00:00.000
7,WFM000007,22,2,Delta WarrantyFailureMode 7,1,8.00,1,1,2026-08-24T00:00:00.000
8,WFM000008,216,2,Northstar WarrantyFailureMode 8,1,9.00,1,1,2026-08-24T00:00:00.000
9,WFM000009,216,3,Delta WarrantyFailureMode 9,1,10.00,1,1,2026-08-24T00:00:00.000
10,WFM000010,222,1,Liberty WarrantyFailureMode 10,0,11.00,1,1,2026-08-24T00:00:00.000
11,WFM000011,276,4,Riverton WarrantyFailureMode 11,1,12.00,1,1,2026-08-24T00:00:00.000
12,WFM000012,172,5,Riverton WarrantyFailureMode 12,1,13.00,1,1,2026-08-24T00:00:00.000
13,WFM000013,106,4,Pioneer WarrantyFailureMode 13,1,14.00,1,1,2026-08-24T00:00:00.000
14,WFM000014,152,3,Vertex WarrantyFailureMode 14,1,15.00,1,1,2026-08-24T00:00:00.000
15,WFM000015,111,1,Northstar WarrantyFailureMode 15,0,16.00,1,1,2026-08-24T00:00:00.000
16,WFM000016,139,5,Orion WarrantyFailureMode 16,1,17.00,1,1,2026-08-24T00:00:00.000
17,WFM000017,93,1,Zenith WarrantyFailureMode 17,1,18.00,1,1,2026-08-24T00:00:00.000
18,WFM000018,68,4,Junction WarrantyFailureMode 18,1,19.00,1,1,2026-08-24T00:00:00.000
19,WFM000019,10,5,Pioneer WarrantyFailureMode 19,1,20.00,1,1,2026-08-24T00:00:00.000
20,WFM000020,186,4,Cedar WarrantyFailureMode 20,0,21.00,1,1,2026-08-24T00:00:00.000
21,WFM000021,23,5,Summit WarrantyFailureMode 21,1,22.00,1,1,2026-08-24T00:00:00.000
22,WFM000022,76,4,Unity WarrantyFailureMode 22,1,23.00,1,1,2026-08-24T00:00:00.000
23,WFM000023,110,2,Liberty WarrantyFailureMode 23,1,24.00,1,1,2026-08-24T00:00:00.000
24,WFM000024,253,1,Junction WarrantyFailureMode 24,1,25.00,1,1,2026-08-24T00:00:00.000
25,WFM000025,164,1,Harbor WarrantyFailureMode 25,0,26.00,1,1,2026-08-24T00:00:00.000
26,WFM000026,265,5,Titan WarrantyFailureMode 26,1,27.00,1,1,2026-08-24T00:00:00.000
27,WFM000027,177,4,Meridian WarrantyFailureMode 27,1,28.00,1,1,2026-08-24T00:00:00.000
28,WFM000028,244,5,Unity WarrantyFailureMode 28,1,29.00,1,1,2026-08-24T00:00:00.000
29,WFM000029,66,4,Summit WarrantyFailureMode 29,1,30.00,1,1,2026-08-24T00:00:00.000
30,WFM000030,187,1,Titan WarrantyFailureMode 30,0,31.00,1,1,2026-08-24T00:00:00.000
31,WFM000031,80,2,Titan WarrantyFailureMode 31,1,32.00,1,1,2026-08-24T00:00:00.000
32,WFM000032,117,1,Vertex WarrantyFailureMode 32,1,33.00,1,1,2026-08-24T00:00:00.000
33,WFM000033,181,4,Zenith WarrantyFailureMode 33,1,34.00,1,1,2026-08-24T00:00:00.000
34,WFM000034,36,3,Zenith WarrantyFailureMode 34,1,35.00,1,1,2026-08-24T00:00:00.000
35,WFM000035,161,2,Titan WarrantyFailureMode 35,0,36.00,1,1,2026-08-24T00:00:00.000
36,WFM000036,121,5,Ion WarrantyFailureMode 36,1,37.00,1,1,2026-08-24T00:00:00.000
37,WFM000037,64,1,Summit WarrantyFailureMode 37,1,38.00,1,1,2026-08-24T00:00:00.000
38,WFM000038,200,1,Cedar WarrantyFailureMode 38,1,39.00,1,1,2026-08-24T00:00:00.000
39,WFM000039,218,3,Beacon WarrantyFailureMode 39,1,40.00,1,1,2026-08-24T00:00:00.000
40,WFM000040,225,2,Cedar WarrantyFailureMode 40,0,41.00,1,1,2026-08-24T00:00:00.000
41,WFM000041,273,5,Harbor WarrantyFailureMode 41,1,42.00,1,1,2026-08-24T00:00:00.000
42,WFM000042,4,1,Willow WarrantyFailureMode 42,1,43.00,1,1,2026-08-24T00:00:00.000
43,WFM000043,261,1,Delta WarrantyFailureMode 43,1,44.00,1,1,2026-08-24T00:00:00.000
44,WFM000044,271,2,Pioneer WarrantyFailureMode 44,1,45.00,1,1,2026-08-24T00:00:00.000
45,WFM000045,247,3,Keystone WarrantyFailureMode 45,0,46.00,1,1,2026-08-24T00:00:00.000
46,WFM000046,8,1,Harbor WarrantyFailureMode 46,1,47.00,1,1,2026-08-24T00:00:00.000
47,WFM000047,47,3,Willow WarrantyFailureMode 47,1,48.00,1,1,2026-08-24T00:00:00.000
48,WFM000048,221,5,Orion WarrantyFailureMode 48,1,49.00,1,1,2026-08-24T00:00:00.000
49,WFM000049,155,4,Vertex WarrantyFailureMode 49,1,50.00,1,1,2026-08-24T00:00:00.000
50,WFM000050,43,2,Liberty WarrantyFailureMode 50,0,51.00,1,1,2026-08-24T00:00:00.000
51,WFM000051,257,4,Summit WarrantyFailureMode 51,1,52.00,1,1,2026-08-24T00:00:00.000
52,WFM000052,208,5,Forge WarrantyFailureMode 52,1,53.00,1,1,2026-08-24T00:00:00.000
53,WFM000053,229,3,Zenith WarrantyFailureMode 53,1,54.00,1,1,2026-08-24T00:00:00.000
54,WFM000054,248,3,Titan WarrantyFailureMode 54,1,55.00,1,1,2026-08-24T00:00:00.000
55,WFM000055,210,4,Evergreen WarrantyFailureMode 55,0,56.00,1,1,2026-08-24T00:00:00.000
56,WFM000056,20,4,Titan WarrantyFailureMode 56,1,57.00,1,1,2026-08-24T00:00:00.000
57,WFM000057,112,4,Delta WarrantyFailureMode 57,1,58.00,1,1,2026-08-24T00:00:00.000
58,WFM000058,11,4,Atlas WarrantyFailureMode 58,1,59.00,1,1,2026-08-24T00:00:00.000
59,WFM000059,226,5,Beacon WarrantyFailureMode 59,1,60.00,1,1,2026-08-24T00:00:00.000
60,WFM000060,206,4,Vertex WarrantyFailureMode 60,0,61.00,1,1,2026-08-24T00:00:00.000
61,WFM000061,163,1,Riverton WarrantyFailureMode 61,1,62.00,1,1,2026-08-24T00:00:00.000
62,WFM000062,134,1,Northstar WarrantyFailureMode 62,1,63.00,1,1,2026-08-24T00:00:00.000
63,WFM000063,159,3,Liberty WarrantyFailureMode 63,1,64.00,1,1,2026-08-24T00:00:00.000
64,WFM000064,266,4,Pioneer WarrantyFailureMode 64,1,65.00,1,1,2026-08-24T00:00:00.000
