WarrantyTermKey,WarrantyTermCode,WarrantyPolicyKey,WarrantyTermName,CoverageMonths,MileageLimitQuantity,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,0,0,-1,0,1900-01-01T00:00:00.000
1,WT000001,184,Junction WarrantyTerm 1,2,1,1,1,2026-08-24T00:00:00.000
2,WT000002,78,Liberty WarrantyTerm 2,3,2,1,1,2026-08-24T00:00:00.000
3,WT000003,79,Liberty WarrantyTerm 3,4,3,1,1,2026-08-24T00:00:00.000
4,WT000004,283,Keystone WarrantyTerm 4,5,4,1,1,2026-08-24T00:00:00.000
5,WT000005,97,Ion WarrantyTerm 5,6,5,1,1,2026-08-24T00:00:00.000
6,WT000006,146,Quartz WarrantyTerm 6,7,6,1,1,2026-08-24T00:00:00.000
7,WT000007,379,Forge WarrantyTerm 7,8,7,1,1,2026-08-24T00:00:00.000
8,WT000008,2,Cedar WarrantyTerm 8,9,8,1,1,2026-08-24T00:00:00.000
9,WT000009,397,Keystone WarrantyTerm 9,10,9,1,1,2026-08-24T00:00:00.000
10,WT000010,66,Vertex WarrantyTerm 10,11,10,1,1,2026-08-24T00:00:00.000
11,WT000011,352,Harbor WarrantyTerm 11,12,11,1,1,2026-08-24T00:00:00.000
12,WT000012,311,Evergreen WarrantyTerm 12,1,12,1,1,2026-08-24T00:00:00.000
13,WT000013,280,Quartz WarrantyTerm 13,2,13,1,1,2026-08-24T00:00:00.000
14,WT000014,127,Harbor WarrantyTerm 14,3,14,1,1,2026-08-24T00:00:00.000
15,WT000015,466,Ion WarrantyTerm 15,4,15,1,1,2026-08-24T00:00:00.000
16,WT000016,312,Harbor WarrantyTerm 16,5,16,1,1,2026-08-24T00:00:00.000
17,WT000017,448,Keystone WarrantyTerm 17,6,17,1,1,2026-08-24T00:00:00.000
18,WT000018,137,Keystone WarrantyTerm 18,7,18,1,1,2026-08-24T00:00:00.000
19,WT000019,204,Keystone WarrantyTerm 19,8,19,1,1,2026-08-24T00:00:00.000
20,WT000020,435,Titan WarrantyTerm 20,9,20,1,1,2026-08-24T00:00:00.000
21,WT000021,104,Keystone WarrantyTerm 21,10,21,1,1,2026-08-24T00:00:00.000
22,WT000022,77,Granite WarrantyTerm 22,11,22,1,1,2026-08-24T00:00:00.000
23,WT000023,47,Pioneer WarrantyTerm 23,12,23,1,1,2026-08-24T00:00:00.000
24,WT000024,89,Evergreen WarrantyTerm 24,1,24,1,1,2026-08-24T00:00:00.000
25,WT000025,247,Meridian WarrantyTerm 25,2,25,1,1,2026-08-24T00:00:00.000
26,WT000026,292,Quartz WarrantyTerm 26,3,26,1,1,2026-08-24T00:00:00.000
27,WT000027,81,Liberty WarrantyTerm 27,4,27,1,1,2026-08-24T00:00:00.000
28,WT000028,255,Harbor WarrantyTerm 28,5,28,1,1,2026-08-24T00:00:00.000
29,WT000029,454,Quartz WarrantyTerm 29,6,29,1,1,2026-08-24T00:00:00.000
30,WT000030,74,Northstar WarrantyTerm 30,7,30,1,1,2026-08-24T00:00:00.000
31,WT000031,189,Pioneer WarrantyTerm 31,8,31,1,1,2026-08-24T00:00:00.000
32,WT000032,171,Zenith WarrantyTerm 32,9,32,1,1,2026-08-24T00:00:00.000
33,WT000033,140,Willow WarrantyTerm 33,10,33,1,1,2026-08-24T00:00:00.000
34,WT000034,271,Harbor WarrantyTerm 34,11,34,1,1,2026-08-24T00:00:00.000
35,WT000035,350,Meridian WarrantyTerm 35,12,35,1,1,2026-08-24T00:00:00.000
36,WT000036,148,Riverton WarrantyTerm 36,1,36,1,1,2026-08-24T00:00:00.000
37,WT000037,82,Unity WarrantyTerm 37,2,37,1,1,2026-08-24T00:00:00.000
38,WT000038,205,Orion WarrantyTerm 38,3,38,1,1,2026-08-24T00:00:00.000
39,WT000039,499,Willow WarrantyTerm 39,4,39,1,1,2026-08-24T00:00:00.000
40,WT000040,301,Keystone WarrantyTerm 40,5,40,1,1,2026-08-24T00:00:00.000
41,WT000041,106,Beacon WarrantyTerm 41,6,41,1,1,2026-08-24T00:00:00.000
42,WT000042,300,Junction WarrantyTerm 42,7,42,1,1,2026-08-24T00:00:00.000
43,WT000043,162,Summit WarrantyTerm 43,8,43,1,1,2026-08-24T00:00:00.000
44,WT000044,393,Northstar WarrantyTerm 44,9,44,1,1,2026-08-24T00:00:00.000
45,WT000045,215,Titan WarrantyTerm 45,10,45,1,1,2026-08-24T00:00:00.000
46,WT000046,386,Willow WarrantyTerm 46,11,46,1,1,2026-08-24T00:00:00.000
47,WT000047,155,Ion WarrantyTerm 47,12,47,1,1,2026-08-24T00:00:00.000
48,WT000048,404,Forge WarrantyTerm 48,1,48,1,1,2026-08-24T00:00:00.000
49,WT000049,305,Northstar WarrantyTerm 49,2,49,1,1,2026-08-24T00:00:00.000
50,WT000050,389,Pioneer WarrantyTerm 50,3,50,1,1,2026-08-24T00:00:00.000
51,WT000051,5,Evergreen WarrantyTerm 51,4,51,1,1,2026-08-24T00:00:00.000
52,WT000052,310,Granite WarrantyTerm 52,5,52,1,1,2026-08-24T00:00:00.000
53,WT000053,108,Zenith WarrantyTerm 53,6,53,1,1,2026-08-24T00:00:00.000
54,WT000054,323,Granite WarrantyTerm 54,7,54,1,1,2026-08-24T00:00:00.000
55,WT000055,23,Atlas WarrantyTerm 55,8,55,1,1,2026-08-24T00:00:00.000
56,WT000056,476,Beacon WarrantyTerm 56,9,56,1,1,2026-08-24T00:00:00.000
57,WT000057,16,Delta WarrantyTerm 57,10,57,1,1,2026-08-24T00:00:00.000
58,WT000058,107,Titan WarrantyTerm 58,11,58,1,1,2026-08-24T00:00:00.000
59,WT000059,54,Willow WarrantyTerm 59,12,59,1,1,2026-08-24T00:00:00.000
60,WT000060,225,Delta WarrantyTerm 60,1,60,1,1,2026-08-24T00:00:00.000
61,WT000061,318,Junction WarrantyTerm 61,2,61,1,1,2026-08-24T00:00:00.000
62,WT000062,108,Riverton WarrantyTerm 62,3,62,1,1,2026-08-24T00:00:00.000
63,WT000063,441,Liberty WarrantyTerm 63,4,63,1,1,2026-08-24T00:00:00.000
64,WT000064,46,Northstar WarrantyTerm 64,5,64,1,1,2026-08-24T00:00:00.000
65,WT000065,267,Ion WarrantyTerm 65,6,65,1,1,2026-08-24T00:00:00.000
66,WT000066,182,Granite WarrantyTerm 66,7,66,1,1,2026-08-24T00:00:00.000
67,WT000067,269,Titan WarrantyTerm 67,8,67,1,1,2026-08-24T00:00:00.000
68,WT000068,465,Atlas WarrantyTerm 68,9,68,1,1,2026-08-24T00:00:00.000
69,WT000069,322,Pioneer WarrantyTerm 69,10,69,1,1,2026-08-24T00:00:00.000
70,WT000070,25,Pioneer WarrantyTerm 70,11,70,1,1,2026-08-24T00:00:00.000
71,WT000071,122,Forge WarrantyTerm 71,12,71,1,1,2026-08-24T00:00:00.000
72,WT000072,393,Summit WarrantyTerm 72,1,72,1,1,2026-08-24T00:00:00.000
73,WT000073,148,Northstar WarrantyTerm 73,2,73,1,1,2026-08-24T00:00:00.000
74,WT000074,372,Junction WarrantyTerm 74,3,74,1,1,2026-08-24T00:00:00.000
75,WT000075,229,Forge WarrantyTerm 75,4,75,1,1,2026-08-24T00:00:00.000
76,WT000076,340,Harbor WarrantyTerm 76,5,76,1,1,2026-08-24T00:00:00.000
77,WT000077,202,Harbor WarrantyTerm 77,6,77,1,1,2026-08-24T00:00:00.000
78,WT000078,246,Riverton WarrantyTerm 78,7,78,1,1,2026-08-24T00:00:00.000
79,WT000079,116,Pioneer WarrantyTerm 79,8,79,1,1,2026-08-24T00:00:00.000
80,WT000080,493,Forge WarrantyTerm 80,9,80,1,1,2026-08-24T00:00:00.000
81,WT000081,340,Delta WarrantyTerm 81,10,81,1,1,2026-08-24T00:00:00.000
82,WT000082,99,Keystone WarrantyTerm 82,11,82,1,1,2026-08-24T00:00:00.000
83,WT000083,227,Willow WarrantyTerm 83,12,83,1,1,2026-08-24T00:00:00.000
84,WT000084,213,Keystone WarrantyTerm 84,1,84,1,1,2026-08-24T00:00:00.000
85,WT000085,120,Pioneer WarrantyTerm 85,2,85,1,1,2026-08-24T00:00:00.000
