WorkCenterTypeKey,WorkCenterTypeCode,RecordStatusKey,WorkCenterTypeName,WorkCenterTypeDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,N/A,Unknown,1900-01-01,1900-01-01,0,-1,0,1900-01-01T00:00:00.000
1,WCT000001,1,Atlas WorkCenterType 1,WorkCenterType starter record 1,Quinn Garcia,2020-01-02,2021-01-01,1,1,1,2026-08-24T00:00:00.000
2,WCT000002,4,Cedar WorkCenterType 2,WorkCenterType starter record 2,Riley Hughes,2020-01-03,2021-01-02,1,1,1,2026-08-24T00:00:00.000
3,WCT000003,4,Willow WorkCenterType 3,WorkCenterType starter record 3,Casey Hughes,2020-01-04,2021-01-03,1,1,1,2026-08-24T00:00:00.000
4,WCT000004,3,Titan WorkCenterType 4,WorkCenterType starter record 4,Jordan Bennett,2020-01-05,2021-01-04,1,1,1,2026-08-24T00:00:00.000
5,WCT000005,4,Meridian WorkCenterType 5,WorkCenterType starter record 5,Riley Reed,2020-01-06,2021-01-05,0,1,1,2026-08-24T00:00:00.000
6,WCT000006,4,Orion WorkCenterType 6,WorkCenterType starter record 6,Morgan Khan,2020-01-07,2021-01-06,1,1,1,2026-08-24T00:00:00.000
7,WCT000007,2,Junction WorkCenterType 7,WorkCenterType starter record 7,Blair Hughes,2020-01-08,2021-01-07,1,1,1,2026-08-24T00:00:00.000
8,WCT000008,4,Pioneer WorkCenterType 8,WorkCenterType starter record 8,Quinn Reed,2020-01-09,2021-01-08,1,1,1,2026-08-24T00:00:00.000
9,WCT000009,4,Northstar WorkCenterType 9,WorkCenterType starter record 9,Riley Bennett,2020-01-10,2021-01-09,1,1,1,2026-08-24T00:00:00.000
10,WCT000010,2,Forge WorkCenterType 10,WorkCenterType starter record 10,Quinn Diaz,2020-01-11,2021-01-10,0,1,1,2026-08-24T00:00:00.000
11,WCT000011,2,Quartz WorkCenterType 11,WorkCenterType starter record 11,Devon Garcia,2020-01-12,2021-01-11,1,1,1,2026-08-24T00:00:00.000
12,WCT000012,2,Evergreen WorkCenterType 12,WorkCenterType starter record 12,Taylor Bennett,2020-01-13,2021-01-12,1,1,1,2026-08-24T00:00:00.000
13,WCT000013,3,Harbor WorkCenterType 13,WorkCenterType starter record 13,Devon Hughes,2020-01-14,2021-01-13,1,1,1,2026-08-24T00:00:00.000
14,WCT000014,1,Quartz WorkCenterType 14,WorkCenterType starter record 14,Riley Bennett,2020-01-15,2021-01-14,1,1,1,2026-08-24T00:00:00.000
15,WCT000015,4,Riverton WorkCenterType 15,WorkCenterType starter record 15,Taylor Hughes,2020-01-16,2021-01-15,0,1,1,2026-08-24T00:00:00.000
16,WCT000016,2,Summit WorkCenterType 16,WorkCenterType starter record 16,Blair Diaz,2020-01-17,2021-01-16,1,1,1,2026-08-24T00:00:00.000
17,WCT000017,3,Atlas WorkCenterType 17,WorkCenterType starter record 17,Harper Bennett,2020-01-18,2021-01-17,1,1,1,2026-08-24T00:00:00.000
18,WCT000018,4,Ion WorkCenterType 18,WorkCenterType starter record 18,Emerson Hughes,2020-01-19,2021-01-18,1,1,1,2026-08-24T00:00:00.000
19,WCT000019,3,Titan WorkCenterType 19,WorkCenterType starter record 19,Harper Chen,2020-01-20,2021-01-19,1,1,1,2026-08-24T00:00:00.000
20,WCT000020,4,Northstar WorkCenterType 20,WorkCenterType starter record 20,Harper Garcia,2020-01-21,2021-01-20,0,1,1,2026-08-24T00:00:00.000
21,WCT000021,1,Forge WorkCenterType 21,WorkCenterType starter record 21,Taylor Diaz,2020-01-22,2021-01-21,1,1,1,2026-08-24T00:00:00.000
22,WCT000022,2,Northstar WorkCenterType 22,WorkCenterType starter record 22,Casey Evans,2020-01-23,2021-01-22,1,1,1,2026-08-24T00:00:00.000
23,WCT000023,1,Keystone WorkCenterType 23,WorkCenterType starter record 23,Riley Evans,2020-01-24,2021-01-23,1,1,1,2026-08-24T00:00:00.000
24,WCT000024,2,Unity WorkCenterType 24,WorkCenterType starter record 24,Finley Singh,2020-01-25,2021-01-24,1,1,1,2026-08-24T00:00:00.000
25,WCT000025,3,Northstar WorkCenterType 25,WorkCenterType starter record 25,Emerson Bennett,2020-01-26,2021-01-25,0,1,1,2026-08-24T00:00:00.000
26,WCT000026,1,Forge WorkCenterType 26,WorkCenterType starter record 26,Taylor Bennett,2020-01-27,2021-01-26,1,1,1,2026-08-24T00:00:00.000
27,WCT000027,4,Evergreen WorkCenterType 27,WorkCenterType starter record 27,Jordan Bennett,2020-01-28,2021-01-27,1,1,1,2026-08-24T00:00:00.000
28,WCT000028,4,Zenith WorkCenterType 28,WorkCenterType starter record 28,Devon Patel,2020-01-29,2021-01-28,1,1,1,2026-08-24T00:00:00.000
29,WCT000029,4,Junction WorkCenterType 29,WorkCenterType starter record 29,Taylor Reed,2020-01-30,2021-01-29,1,1,1,2026-08-24T00:00:00.000
30,WCT000030,3,Zenith WorkCenterType 30,WorkCenterType starter record 30,Morgan Hughes,2020-01-31,2021-01-30,0,1,1,2026-08-24T00:00:00.000
31,WCT000031,2,Evergreen WorkCenterType 31,WorkCenterType starter record 31,Taylor Diaz,2020-02-01,2021-01-31,1,1,1,2026-08-24T00:00:00.000
32,WCT000032,2,Liberty WorkCenterType 32,WorkCenterType starter record 32,Emerson Evans,2020-02-02,2021-02-01,1,1,1,2026-08-24T00:00:00.000
33,WCT000033,2,Junction WorkCenterType 33,WorkCenterType starter record 33,Morgan Chen,2020-02-03,2021-02-02,1,1,1,2026-08-24T00:00:00.000
34,WCT000034,2,Granite WorkCenterType 34,WorkCenterType starter record 34,Alex Khan,2020-02-04,2021-02-03,1,1,1,2026-08-24T00:00:00.000
35,WCT000035,1,Unity WorkCenterType 35,WorkCenterType starter record 35,Casey Garcia,2020-02-05,2021-02-04,0,1,1,2026-08-24T00:00:00.000
36,WCT000036,4,Willow WorkCenterType 36,WorkCenterType starter record 36,Alex Patel,2020-02-06,2021-02-05,1,1,1,2026-08-24T00:00:00.000
37,WCT000037,1,Titan WorkCenterType 37,WorkCenterType starter record 37,Taylor Bennett,2020-02-07,2021-02-06,1,1,1,2026-08-24T00:00:00.000
38,WCT000038,3,Titan WorkCenterType 38,WorkCenterType starter record 38,Taylor Diaz,2020-02-08,2021-02-07,1,1,1,2026-08-24T00:00:00.000
39,WCT000039,1,Junction WorkCenterType 39,WorkCenterType starter record 39,Jordan Singh,2020-02-09,2021-02-08,1,1,1,2026-08-24T00:00:00.000
40,WCT000040,4,Summit WorkCenterType 40,WorkCenterType starter record 40,Emerson Reed,2020-02-10,2021-02-09,0,1,1,2026-08-24T00:00:00.000
