TableLoadConfigId,SourceObjectName,TargetSchemaName,TargetTableName,LoadPatternName,IsEnabled
1,seed.bridge.BomComponentResolution,bridge,BomComponentResolution,Bridge,1
2,seed.bridge.EnergyMeterAsset,bridge,EnergyMeterAsset,Bridge,1
3,seed.bridge.EnergyMeterWorkCenter,bridge,EnergyMeterWorkCenter,Bridge,1
4,seed.bridge.EnergyProjectMeterPoint,bridge,EnergyProjectMeterPoint,Bridge,1
5,seed.bridge.EngineeringChangeAffectedItem,bridge,EngineeringChangeAffectedItem,Bridge,1
6,seed.bridge.EngineeringDocumentPartLink,bridge,EngineeringDocumentPartLink,Bridge,1
7,seed.bridge.FinanceCostComponentAllocation,bridge,FinanceCostComponentAllocation,Bridge,1
8,seed.bridge.FinanceJournalProfitabilityAssignment,bridge,FinanceJournalProfitabilityAssignment,Bridge,1
9,seed.bridge.InventoryContainerContent,bridge,InventoryContainerContent,Bridge,1
10,seed.bridge.InventoryLotBinAssignment,bridge,InventoryLotBinAssignment,Bridge,1
11,seed.bridge.InventoryPolicyProductAssignment,bridge,InventoryPolicyProductAssignment,Bridge,1
12,seed.bridge.InventorySerialBinAssignment,bridge,InventorySerialBinAssignment,Bridge,1
13,seed.bridge.LaborEmployeeCertification,bridge,LaborEmployeeCertification,Bridge,1
14,seed.bridge.LaborEmployeeCrew,bridge,LaborEmployeeCrew,Bridge,1
15,seed.bridge.LaborEmployeeSkill,bridge,LaborEmployeeSkill,Bridge,1
16,seed.bridge.LogisticsLoadShipmentAssignment,bridge,LogisticsLoadShipmentAssignment,Bridge,1
17,seed.bridge.LogisticsShipmentLineToContainer,bridge,LogisticsShipmentLineToContainer,Bridge,1
18,seed.bridge.LogisticsShipmentTariffAssignment,bridge,LogisticsShipmentTariffAssignment,Bridge,1
19,seed.bridge.LogisticsShipmentToDelivery,bridge,LogisticsShipmentToDelivery,Bridge,1
20,seed.bridge.MachineSensorAssignment,bridge,MachineSensorAssignment,Bridge,1
21,seed.bridge.MachineStateLossMapping,bridge,MachineStateLossMapping,Bridge,1
