BomComponentUsageKey,EffectiveDateKey,ExpirationDateKey,BomHeaderKey,AssemblyProductKey,ComponentEngineeringPartRevisionKey,UnitOfMeasureKey,BomLineNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
1,20260531,20260608,374,451,493,6,BCU000001,2,11.3700,6.0000,11.3700,1,1,2026-08-24T00:00:00.000
2,20260527,20260804,19,362,157,3,BCU000002,3,12.7400,7.0000,12.7400,1,1,2026-08-24T00:00:00.000
3,20260803,20260620,399,196,61,7,BCU000003,4,14.1100,8.0000,14.1100,1,1,2026-08-24T00:00:00.000
4,20260531,20260703,365,413,149,1,BCU000004,5,15.4800,9.0000,15.4800,1,1,2026-08-24T00:00:00.000
5,20260818,20260808,490,456,115,5,BCU000005,6,16.8500,10.0000,16.8500,1,1,2026-08-24T00:00:00.000
6,20260605,20260805,460,169,293,4,BCU000006,7,18.2200,11.0000,18.2200,1,1,2026-08-24T00:00:00.000
7,20260709,20260819,367,363,118,2,BCU000007,8,19.5900,12.0000,19.5900,1,1,2026-08-24T00:00:00.000
8,20260808,20260729,304,471,327,3,BCU000008,9,20.9600,13.0000,20.9600,1,1,2026-08-24T00:00:00.000
9,20260731,20260605,231,70,488,6,BCU000009,10,22.3300,14.0000,22.3300,1,1,2026-08-24T00:00:00.000
10,20260627,20260608,262,128,176,1,BCU000010,11,23.7000,15.0000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260625,20260714,393,326,167,2,BCU000011,12,25.0700,16.0000,25.0700,1,1,2026-08-24T00:00:00.000
12,20260711,20260731,22,374,352,7,BCU000012,13,26.4400,17.0000,26.4400,1,1,2026-08-24T00:00:00.000
13,20260805,20260726,430,299,444,1,BCU000013,14,27.8100,18.0000,27.8100,1,1,2026-08-24T00:00:00.000
14,20260603,20260721,446,84,123,4,BCU000014,15,29.1800,19.0000,29.1800,1,1,2026-08-24T00:00:00.000
15,20260629,20260704,50,13,238,7,BCU000015,16,30.5500,20.0000,30.5500,1,1,2026-08-24T00:00:00.000
16,20260710,20260618,262,105,440,4,BCU000016,17,31.9200,21.0000,31.9200,1,1,2026-08-24T00:00:00.000
17,20260731,20260721,464,423,236,3,BCU000017,18,33.2900,22.0000,33.2900,1,1,2026-08-24T00:00:00.000
18,20260708,20260715,169,214,274,6,BCU000018,19,34.6600,23.0000,34.6600,1,1,2026-08-24T00:00:00.000
19,20260805,20260623,301,316,21,3,BCU000019,20,36.0300,24.0000,36.0300,1,1,2026-08-24T00:00:00.000
20,20260606,20260530,203,343,225,4,BCU000020,21,37.4000,25.0000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260710,20260710,482,44,273,6,BCU000021,22,38.7700,26.0000,38.7700,1,1,2026-08-24T00:00:00.000
22,20260619,20260614,485,170,449,3,BCU000022,23,40.1400,27.0000,40.1400,1,1,2026-08-24T00:00:00.000
23,20260722,20260816,98,103,204,7,BCU000023,24,41.5100,28.0000,41.5100,1,1,2026-08-24T00:00:00.000
24,20260710,20260822,433,240,132,7,BCU000024,25,42.8800,29.0000,42.8800,1,1,2026-08-24T00:00:00.000
25,20260613,20260723,259,29,182,7,BCU000025,26,44.2500,30.0000,44.2500,1,1,2026-08-24T00:00:00.000
26,20260720,20260623,385,341,34,6,BCU000026,27,45.6200,31.0000,45.6200,1,1,2026-08-24T00:00:00.000
27,20260602,20260609,185,166,171,1,BCU000027,28,46.9900,32.0000,46.9900,1,1,2026-08-24T00:00:00.000
28,20260815,20260804,185,265,409,1,BCU000028,29,48.3600,33.0000,48.3600,1,1,2026-08-24T00:00:00.000
29,20260619,20260603,275,32,485,2,BCU000029,30,49.7300,34.0000,49.7300,1,1,2026-08-24T00:00:00.000
30,20260623,20260619,237,250,425,1,BCU000030,31,51.1000,35.0000,51.1000,1,1,2026-08-24T00:00:00.000
31,20260821,20260629,139,28,397,4,BCU000031,32,52.4700,36.0000,52.4700,1,1,2026-08-24T00:00:00.000
32,20260529,20260803,192,44,89,7,BCU000032,33,53.8400,37.0000,53.8400,1,1,2026-08-24T00:00:00.000
33,20260818,20260630,348,429,490,6,BCU000033,34,55.2100,38.0000,55.2100,1,1,2026-08-24T00:00:00.000
34,20260728,20260814,495,39,148,4,BCU000034,35,56.5800,39.0000,56.5800,1,1,2026-08-24T00:00:00.000
35,20260820,20260709,85,70,441,5,BCU000035,36,57.9500,40.0000,57.9500,1,1,2026-08-24T00:00:00.000
36,20260814,20260819,230,76,55,2,BCU000036,37,59.3200,41.0000,59.3200,1,1,2026-08-24T00:00:00.000
37,20260609,20260717,261,61,487,6,BCU000037,38,60.6900,42.0000,60.6900,1,1,2026-08-24T00:00:00.000
38,20260803,20260624,420,472,416,6,BCU000038,39,62.0600,43.0000,62.0600,1,1,2026-08-24T00:00:00.000
39,20260623,20260629,225,360,307,7,BCU000039,40,63.4300,44.0000,63.4300,1,1,2026-08-24T00:00:00.000
40,20260810,20260725,398,287,123,5,BCU000040,41,64.8000,45.0000,64.8000,1,1,2026-08-24T00:00:00.000
41,20260819,20260705,317,265,441,7,BCU000041,42,66.1700,46.0000,66.1700,1,1,2026-08-24T00:00:00.000
42,20260722,20260813,85,256,128,4,BCU000042,43,67.5400,47.0000,67.5400,1,1,2026-08-24T00:00:00.000
43,20260812,20260816,49,64,498,7,BCU000043,44,68.9100,48.0000,68.9100,1,1,2026-08-24T00:00:00.000
44,20260811,20260612,62,241,314,1,BCU000044,45,70.2800,49.0000,70.2800,1,1,2026-08-24T00:00:00.000
45,20260806,20260706,134,184,164,4,BCU000045,46,71.6500,50.0000,71.6500,1,1,2026-08-24T00:00:00.000
46,20260811,20260605,52,36,141,5,BCU000046,47,73.0200,51.0000,73.0200,1,1,2026-08-24T00:00:00.000
47,20260618,20260823,259,266,457,3,BCU000047,48,74.3900,52.0000,74.3900,1,1,2026-08-24T00:00:00.000
48,20260630,20260813,62,432,439,3,BCU000048,49,75.7600,53.0000,75.7600,1,1,2026-08-24T00:00:00.000
49,20260820,20260804,131,135,306,1,BCU000049,50,77.1300,54.0000,77.1300,1,1,2026-08-24T00:00:00.000
50,20260530,20260615,123,445,50,3,BCU000050,51,78.5000,55.0000,78.5000,1,1,2026-08-24T00:00:00.000
51,20260615,20260727,278,361,287,3,BCU000051,52,79.8700,56.0000,79.8700,1,1,2026-08-24T00:00:00.000
52,20260626,20260806,213,5,364,1,BCU000052,53,81.2400,57.0000,81.2400,1,1,2026-08-24T00:00:00.000
53,20260628,20260705,184,397,367,2,BCU000053,54,82.6100,58.0000,82.6100,1,1,2026-08-24T00:00:00.000
