EnergyGreenhouseGasSnapshotKey,SnapshotDateKey,PlantKey,EnergyCarrierKey,EnergyEmissionFactorKey,BusinessUnitKey,EnergyEmissionScopeKey,UnitOfMeasureKey,ActivityQuantity,CarbonDioxideEquivalentTonnes,BiogenicCarbonDioxideTonnes,SourceSystemKey,BatchId,LoadedAtUtc
1,20260814,312,47,297,461,3,6,0.800000,2.000000,2.000000,1,1,2026-08-24T00:00:00.000
2,20260626,282,22,414,460,4,3,1.500000,3.000000,3.000000,1,1,2026-08-24T00:00:00.000
3,20260731,154,15,478,325,4,2,2.200000,4.000000,4.000000,1,1,2026-08-24T00:00:00.000
4,20260623,25,9,138,25,2,5,2.900000,5.000000,5.000000,1,1,2026-08-24T00:00:00.000
5,20260806,44,3,346,480,2,5,3.600000,6.000000,6.000000,1,1,2026-08-24T00:00:00.000
6,20260722,23,40,351,368,2,1,4.300000,7.000000,7.000000,1,1,2026-08-24T00:00:00.000
7,20260813,115,26,138,218,1,6,5.000000,8.000000,8.000000,1,1,2026-08-24T00:00:00.000
8,20260812,162,47,427,223,3,6,5.700000,9.000000,9.000000,1,1,2026-08-24T00:00:00.000
9,20260724,102,20,415,426,2,7,6.400000,10.000000,10.000000,1,1,2026-08-24T00:00:00.000
10,20260711,167,43,25,147,3,7,7.100000,11.000000,11.000000,1,1,2026-08-24T00:00:00.000
11,20260622,233,7,476,397,2,3,7.800000,12.000000,12.000000,1,1,2026-08-24T00:00:00.000
12,20260817,120,38,434,137,4,1,8.500000,13.000000,13.000000,1,1,2026-08-24T00:00:00.000
13,20260620,179,35,451,174,4,6,9.200000,14.000000,14.000000,1,1,2026-08-24T00:00:00.000
14,20260810,198,41,318,33,3,6,9.900000,15.000000,15.000000,1,1,2026-08-24T00:00:00.000
15,20260818,27,55,319,70,5,5,10.600000,16.000000,16.000000,1,1,2026-08-24T00:00:00.000
16,20260819,323,55,369,125,2,6,11.300000,17.000000,17.000000,1,1,2026-08-24T00:00:00.000
