FinancePurchasePriceVarianceKey,PostingDateKey,InvoiceDateKey,ProductKey,PlantKey,SupplierKey,CostCenterKey,FinanceCostElementDetailKey,FinanceVarianceTypeKey,CurrencyKey,SupplierInvoiceNumber,PurchaseOrderNumber,InvoiceQuantity,StandardCostAmount,ActualPriceAmount,PurchasePriceVarianceAmount,SourceSystemKey,BatchId,LoadedAtUtc
1,20260802,20260622,246,263,287,309,123,17,1,FPPV000001,FPPV000001,0.8000,11.3700,11.3700,11.3700,1,1,2026-08-24T00:00:00.000
2,20260703,20260705,67,91,421,408,373,20,5,FPPV000002,FPPV000002,1.5000,12.7400,12.7400,12.7400,1,1,2026-08-24T00:00:00.000
3,20260629,20260725,358,259,460,34,499,1,2,FPPV000003,FPPV000003,2.2000,14.1100,14.1100,14.1100,1,1,2026-08-24T00:00:00.000
4,20260809,20260630,220,336,249,219,41,8,2,FPPV000004,FPPV000004,2.9000,15.4800,15.4800,15.4800,1,1,2026-08-24T00:00:00.000
5,20260823,20260630,164,244,349,216,387,1,5,FPPV000005,FPPV000005,3.6000,16.8500,16.8500,16.8500,1,1,2026-08-24T00:00:00.000
6,20260618,20260612,124,178,376,219,339,1,5,FPPV000006,FPPV000006,4.3000,18.2200,18.2200,18.2200,1,1,2026-08-24T00:00:00.000
7,20260606,20260604,395,54,67,4,453,10,4,FPPV000007,FPPV000007,5.0000,19.5900,19.5900,19.5900,1,1,2026-08-24T00:00:00.000
8,20260701,20260803,446,138,417,310,351,14,2,FPPV000008,FPPV000008,5.7000,20.9600,20.9600,20.9600,1,1,2026-08-24T00:00:00.000
9,20260716,20260807,222,225,109,228,374,11,5,FPPV000009,FPPV000009,6.4000,22.3300,22.3300,22.3300,1,1,2026-08-24T00:00:00.000
10,20260804,20260531,333,128,130,263,470,19,1,FPPV000010,FPPV000010,7.1000,23.7000,23.7000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260621,20260724,264,345,140,332,73,8,4,FPPV000011,FPPV000011,7.8000,25.0700,25.0700,25.0700,1,1,2026-08-24T00:00:00.000
12,20260820,20260824,352,164,173,323,500,2,2,FPPV000012,FPPV000012,8.5000,26.4400,26.4400,26.4400,1,1,2026-08-24T00:00:00.000
13,20260813,20260711,414,135,407,387,226,17,2,FPPV000013,FPPV000013,9.2000,27.8100,27.8100,27.8100,1,1,2026-08-24T00:00:00.000
14,20260704,20260808,185,35,205,466,265,4,1,FPPV000014,FPPV000014,9.9000,29.1800,29.1800,29.1800,1,1,2026-08-24T00:00:00.000
15,20260710,20260801,180,325,104,165,400,12,2,FPPV000015,FPPV000015,10.6000,30.5500,30.5500,30.5500,1,1,2026-08-24T00:00:00.000
16,20260707,20260623,15,62,425,462,361,7,5,FPPV000016,FPPV000016,11.3000,31.9200,31.9200,31.9200,1,1,2026-08-24T00:00:00.000
17,20260709,20260820,166,25,247,-1,381,5,3,FPPV000017,FPPV000017,12.0000,33.2900,33.2900,33.2900,1,1,2026-08-24T00:00:00.000
18,20260819,20260627,213,231,377,186,225,16,5,FPPV000018,FPPV000018,12.7000,34.6600,34.6600,34.6600,1,1,2026-08-24T00:00:00.000
19,20260701,20260613,71,115,67,426,153,15,3,FPPV000019,FPPV000019,13.4000,36.0300,36.0300,36.0300,1,1,2026-08-24T00:00:00.000
20,20260809,20260713,480,253,136,341,253,10,5,FPPV000020,FPPV000020,14.1000,37.4000,37.4000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260726,20260726,353,250,131,160,277,13,4,FPPV000021,FPPV000021,14.8000,38.7700,38.7700,38.7700,1,1,2026-08-24T00:00:00.000
22,20260818,20260718,362,316,300,271,215,20,2,FPPV000022,FPPV000022,15.5000,40.1400,40.1400,40.1400,1,1,2026-08-24T00:00:00.000
23,20260719,20260808,453,190,44,69,38,8,2,FPPV000023,FPPV000023,16.2000,41.5100,41.5100,41.5100,1,1,2026-08-24T00:00:00.000
24,20260702,20260709,331,56,184,304,491,8,5,FPPV000024,FPPV000024,16.9000,42.8800,42.8800,42.8800,1,1,2026-08-24T00:00:00.000
25,20260628,20260616,384,173,421,184,339,6,5,FPPV000025,FPPV000025,17.6000,44.2500,44.2500,44.2500,1,1,2026-08-24T00:00:00.000
26,20260802,20260606,34,296,160,443,367,16,2,FPPV000026,FPPV000026,18.3000,45.6200,45.6200,45.6200,1,1,2026-08-24T00:00:00.000
27,20260611,20260818,233,63,294,146,217,20,2,FPPV000027,FPPV000027,19.0000,46.9900,46.9900,46.9900,1,1,2026-08-24T00:00:00.000
28,20260707,20260622,165,290,107,263,431,4,2,FPPV000028,FPPV000028,19.7000,48.3600,48.3600,48.3600,1,1,2026-08-24T00:00:00.000
29,20260806,20260804,2,88,104,88,190,4,2,FPPV000029,FPPV000029,20.4000,49.7300,49.7300,49.7300,1,1,2026-08-24T00:00:00.000
30,20260711,20260527,431,185,159,451,57,20,2,FPPV000030,FPPV000030,21.1000,51.1000,51.1000,51.1000,1,1,2026-08-24T00:00:00.000
31,20260531,20260625,47,137,133,64,332,20,4,FPPV000031,FPPV000031,21.8000,52.4700,52.4700,52.4700,1,1,2026-08-24T00:00:00.000
32,20260629,20260622,233,132,218,414,340,8,2,FPPV000032,FPPV000032,22.5000,53.8400,53.8400,53.8400,1,1,2026-08-24T00:00:00.000
33,20260702,20260602,233,304,251,213,14,17,5,FPPV000033,FPPV000033,23.2000,55.2100,55.2100,55.2100,1,1,2026-08-24T00:00:00.000
34,20260718,20260805,13,54,43,-1,224,19,2,FPPV000034,FPPV000034,23.9000,56.5800,56.5800,56.5800,1,1,2026-08-24T00:00:00.000
35,20260720,20260726,31,85,271,134,303,8,3,FPPV000035,FPPV000035,24.6000,57.9500,57.9500,57.9500,1,1,2026-08-24T00:00:00.000
36,20260801,20260714,91,106,227,496,88,7,5,FPPV000036,FPPV000036,25.3000,59.3200,59.3200,59.3200,1,1,2026-08-24T00:00:00.000
37,20260627,20260702,256,21,299,207,88,6,2,FPPV000037,FPPV000037,26.0000,60.6900,60.6900,60.6900,1,1,2026-08-24T00:00:00.000
38,20260530,20260610,333,233,126,276,32,15,1,FPPV000038,FPPV000038,26.7000,62.0600,62.0600,62.0600,1,1,2026-08-24T00:00:00.000
39,20260612,20260530,90,142,487,400,401,16,5,FPPV000039,FPPV000039,27.4000,63.4300,63.4300,63.4300,1,1,2026-08-24T00:00:00.000
40,20260718,20260715,229,93,102,388,99,10,3,FPPV000040,FPPV000040,28.1000,64.8000,64.8000,64.8000,1,1,2026-08-24T00:00:00.000
41,20260724,20260622,266,262,479,301,51,14,2,FPPV000041,FPPV000041,28.8000,66.1700,66.1700,66.1700,1,1,2026-08-24T00:00:00.000
42,20260816,20260802,448,188,127,419,253,16,1,FPPV000042,FPPV000042,29.5000,67.5400,67.5400,67.5400,1,1,2026-08-24T00:00:00.000
