LaborHeadcountSnapshotKey,SnapshotDateKey,PlantKey,CostCenterKey,BusinessUnitKey,LaborJobGradeKey,LaborEmploymentStatusKey,HeadcountQuantity,FullTimeEquivalentQuantity,OpenPositionQuantity,SourceSystemKey,BatchId,LoadedAtUtc
1,20260803,180,68,225,23,6,0.8000,0.8000,0.8000,1,1,2026-08-24T00:00:00.000
2,20260624,89,96,206,5,7,1.5000,1.5000,1.5000,1,1,2026-08-24T00:00:00.000
3,20260529,17,400,350,30,2,2.2000,2.2000,2.2000,1,1,2026-08-24T00:00:00.000
4,20260616,301,246,266,28,2,2.9000,2.9000,2.9000,1,1,2026-08-24T00:00:00.000
5,20260708,15,220,397,19,3,3.6000,3.6000,3.6000,1,1,2026-08-24T00:00:00.000
6,20260820,112,346,270,27,7,4.3000,4.3000,4.3000,1,1,2026-08-24T00:00:00.000
7,20260808,196,34,195,13,4,5.0000,5.0000,5.0000,1,1,2026-08-24T00:00:00.000
8,20260729,232,452,404,4,7,5.7000,5.7000,5.7000,1,1,2026-08-24T00:00:00.000
9,20260811,217,60,366,4,4,6.4000,6.4000,6.4000,1,1,2026-08-24T00:00:00.000
10,20260720,75,140,35,20,7,7.1000,7.1000,7.1000,1,1,2026-08-24T00:00:00.000
11,20260812,250,101,275,22,6,7.8000,7.8000,7.8000,1,1,2026-08-24T00:00:00.000
12,20260616,79,426,48,17,6,8.5000,8.5000,8.5000,1,1,2026-08-24T00:00:00.000
13,20260706,345,234,143,1,8,9.2000,9.2000,9.2000,1,1,2026-08-24T00:00:00.000
14,20260627,63,260,361,16,5,9.9000,9.9000,9.9000,1,1,2026-08-24T00:00:00.000
15,20260814,98,380,46,30,5,10.6000,10.6000,10.6000,1,1,2026-08-24T00:00:00.000
16,20260705,333,181,280,26,3,11.3000,11.3000,11.3000,1,1,2026-08-24T00:00:00.000
17,20260531,178,42,469,2,7,12.0000,12.0000,12.0000,1,1,2026-08-24T00:00:00.000
18,20260614,166,438,452,22,3,12.7000,12.7000,12.7000,1,1,2026-08-24T00:00:00.000
19,20260704,258,258,318,28,5,13.4000,13.4000,13.4000,1,1,2026-08-24T00:00:00.000
20,20260804,134,478,336,32,1,14.1000,14.1000,14.1000,1,1,2026-08-24T00:00:00.000
21,20260818,139,135,205,31,4,14.8000,14.8000,14.8000,1,1,2026-08-24T00:00:00.000
22,20260628,36,107,466,23,2,15.5000,15.5000,15.5000,1,1,2026-08-24T00:00:00.000
23,20260610,341,258,424,15,1,16.2000,16.2000,16.2000,1,1,2026-08-24T00:00:00.000
24,20260727,73,24,105,22,8,16.9000,16.9000,16.9000,1,1,2026-08-24T00:00:00.000
25,20260818,303,115,4,15,2,17.6000,17.6000,17.6000,1,1,2026-08-24T00:00:00.000
26,20260706,2,360,357,4,7,18.3000,18.3000,18.3000,1,1,2026-08-24T00:00:00.000
27,20260722,260,418,394,24,6,19.0000,19.0000,19.0000,1,1,2026-08-24T00:00:00.000
28,20260728,332,40,74,28,2,19.7000,19.7000,19.7000,1,1,2026-08-24T00:00:00.000
29,20260719,2,82,348,3,5,20.4000,20.4000,20.4000,1,1,2026-08-24T00:00:00.000
30,20260721,124,172,459,5,2,21.1000,21.1000,21.1000,1,1,2026-08-24T00:00:00.000
31,20260714,144,333,391,29,4,21.8000,21.8000,21.8000,1,1,2026-08-24T00:00:00.000
32,20260627,93,308,161,2,5,22.5000,22.5000,22.5000,1,1,2026-08-24T00:00:00.000
33,20260628,111,350,387,12,1,23.2000,23.2000,23.2000,1,1,2026-08-24T00:00:00.000
34,20260801,336,402,77,20,6,23.9000,23.9000,23.9000,1,1,2026-08-24T00:00:00.000
35,20260630,218,269,86,23,5,24.6000,24.6000,24.6000,1,1,2026-08-24T00:00:00.000
36,20260630,64,395,268,5,7,25.3000,25.3000,25.3000,1,1,2026-08-24T00:00:00.000
37,20260812,232,90,411,6,2,26.0000,26.0000,26.0000,1,1,2026-08-24T00:00:00.000
38,20260621,124,249,307,33,4,26.7000,26.7000,26.7000,1,1,2026-08-24T00:00:00.000
39,20260625,313,237,56,31,5,27.4000,27.4000,27.4000,1,1,2026-08-24T00:00:00.000
40,20260623,252,151,162,6,7,28.1000,28.1000,28.1000,1,1,2026-08-24T00:00:00.000
41,20260811,328,366,479,6,6,28.8000,28.8000,28.8000,1,1,2026-08-24T00:00:00.000
42,20260626,35,132,42,33,2,29.5000,29.5000,29.5000,1,1,2026-08-24T00:00:00.000
43,20260613,336,337,346,23,3,30.2000,30.2000,30.2000,1,1,2026-08-24T00:00:00.000
44,20260819,84,164,127,34,2,30.9000,30.9000,30.9000,1,1,2026-08-24T00:00:00.000
45,20260804,224,191,228,13,7,31.6000,31.6000,31.6000,1,1,2026-08-24T00:00:00.000
46,20260614,182,112,493,33,6,32.3000,32.3000,32.3000,1,1,2026-08-24T00:00:00.000
47,20260527,289,490,321,24,8,33.0000,33.0000,33.0000,1,1,2026-08-24T00:00:00.000
48,20260612,290,254,53,13,8,33.7000,33.7000,33.7000,1,1,2026-08-24T00:00:00.000
49,20260705,101,479,489,18,7,34.4000,34.4000,34.4000,1,1,2026-08-24T00:00:00.000
50,20260807,172,178,240,14,6,35.1000,35.1000,35.1000,1,1,2026-08-24T00:00:00.000
51,20260621,72,176,25,7,7,35.8000,35.8000,35.8000,1,1,2026-08-24T00:00:00.000
52,20260808,304,248,242,23,8,36.5000,36.5000,36.5000,1,1,2026-08-24T00:00:00.000
53,20260611,21,316,133,24,2,37.2000,37.2000,37.2000,1,1,2026-08-24T00:00:00.000
54,20260626,269,133,361,18,2,37.9000,37.9000,37.9000,1,1,2026-08-24T00:00:00.000
55,20260601,66,387,457,20,7,38.6000,38.6000,38.6000,1,1,2026-08-24T00:00:00.000
56,20260821,65,220,230,18,7,39.3000,39.3000,39.3000,1,1,2026-08-24T00:00:00.000
57,20260731,224,207,178,8,8,40.0000,40.0000,40.0000,1,1,2026-08-24T00:00:00.000
58,20260823,254,325,108,11,7,40.7000,40.7000,40.7000,1,1,2026-08-24T00:00:00.000
59,20260811,250,259,307,31,7,41.4000,41.4000,41.4000,1,1,2026-08-24T00:00:00.000
60,20260819,35,395,488,18,2,42.1000,42.1000,42.1000,1,1,2026-08-24T00:00:00.000
61,20260602,93,163,240,34,5,42.8000,42.8000,42.8000,1,1,2026-08-24T00:00:00.000
62,20260707,101,173,17,16,4,43.5000,43.5000,43.5000,1,1,2026-08-24T00:00:00.000
63,20260620,215,101,160,20,5,44.2000,44.2000,44.2000,1,1,2026-08-24T00:00:00.000
64,20260614,56,265,483,29,2,44.9000,44.9000,44.9000,1,1,2026-08-24T00:00:00.000
65,20260819,45,33,171,14,8,45.6000,45.6000,45.6000,1,1,2026-08-24T00:00:00.000
66,20260802,189,478,425,2,7,46.3000,46.3000,46.3000,1,1,2026-08-24T00:00:00.000
