LaborTimesheetKey,ClaimDateKey,LaborDateKey,StartTimeOfDayKey,EndTimeOfDayKey,EmployeeKey,LaborAssignmentKey,LaborRosterSlotKey,WorkCenterKey,CostCenterKey,LaborPayTypeKey,LaborClaimStatusKey,CurrencyKey,TimesheetNumber,LaborClaimLineNumber,RegularHours,OvertimeHours,LaborCostAmount,SourceSystemKey,BatchId,LoadedAtUtc
1,20260720,20260817,80220,20880,67,389,368,336,419,7,6,2,LT000001,1,2.0000,2.0000,11.3700,1,1,2026-08-24T00:00:00.000
2,20260611,20260823,69000,1200,331,161,470,227,60,2,2,4,LT000002,2,3.0000,3.0000,12.7400,1,1,2026-08-24T00:00:00.000
3,20260720,20260818,43920,480,1,384,343,62,64,5,5,4,LT000003,3,4.0000,4.0000,14.1100,1,1,2026-08-24T00:00:00.000
4,20260719,20260620,31020,52500,386,386,447,87,363,1,5,4,LT000004,4,5.0000,5.0000,15.4800,1,1,2026-08-24T00:00:00.000
5,20260618,20260810,22740,43620,341,162,312,330,123,9,4,1,LT000005,5,6.0000,6.0000,16.8500,1,1,2026-08-24T00:00:00.000
6,20260622,20260819,58920,33180,12,29,376,401,408,7,2,4,LT000006,6,7.0000,7.0000,18.2200,1,1,2026-08-24T00:00:00.000
7,20260604,20260814,83640,67980,447,84,109,370,143,10,7,4,LT000007,7,8.0000,8.0000,19.5900,1,1,2026-08-24T00:00:00.000
8,20260530,20260602,82260,240,347,425,70,12,120,8,2,1,LT000008,8,9.0000,9.0000,20.9600,1,1,2026-08-24T00:00:00.000
9,20260728,20260816,76920,59640,9,353,311,152,80,10,7,5,LT000009,9,10.0000,10.0000,22.3300,1,1,2026-08-24T00:00:00.000
10,20260703,20260809,37800,47820,139,243,458,452,416,8,6,4,LT000010,10,11.0000,11.0000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260617,20260702,29940,85020,160,325,46,392,96,3,4,5,LT000011,11,12.0000,12.0000,25.0700,1,1,2026-08-24T00:00:00.000
12,20260718,20260803,71400,46500,231,70,371,318,475,9,7,2,LT000012,12,13.0000,13.0000,26.4400,1,1,2026-08-24T00:00:00.000
13,20260821,20260723,32640,35640,158,392,35,300,331,11,3,4,LT000013,13,14.0000,14.0000,27.8100,1,1,2026-08-24T00:00:00.000
14,20260624,20260617,80700,66660,168,90,163,39,318,4,3,5,LT000014,14,15.0000,15.0000,29.1800,1,1,2026-08-24T00:00:00.000
15,20260622,20260705,31680,31560,473,450,99,165,53,7,4,1,LT000015,15,16.0000,16.0000,30.5500,1,1,2026-08-24T00:00:00.000
16,20260723,20260623,35760,52980,258,398,285,96,351,7,7,5,LT000016,16,17.0000,17.0000,31.9200,1,1,2026-08-24T00:00:00.000
17,20260712,20260809,29760,25440,221,43,-1,-1,357,9,6,5,LT000017,17,18.0000,18.0000,33.2900,1,1,2026-08-24T00:00:00.000
18,20260720,20260711,34560,34440,380,93,353,426,199,1,2,2,LT000018,18,19.0000,19.0000,34.6600,1,1,2026-08-24T00:00:00.000
19,20260806,20260824,23940,74280,313,441,415,248,75,10,1,4,LT000019,19,20.0000,20.0000,36.0300,1,1,2026-08-24T00:00:00.000
20,20260628,20260801,60600,24060,330,438,323,255,28,6,7,4,LT000020,20,21.0000,21.0000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260730,20260819,15120,81540,73,80,57,121,90,7,3,3,LT000021,21,22.0000,22.0000,38.7700,1,1,2026-08-24T00:00:00.000
22,20260605,20260727,27900,17520,207,424,62,356,167,2,7,5,LT000022,22,23.0000,23.0000,40.1400,1,1,2026-08-24T00:00:00.000
23,20260615,20260728,4260,21000,43,91,25,300,434,9,6,1,LT000023,23,24.0000,24.0000,41.5100,1,1,2026-08-24T00:00:00.000
24,20260603,20260715,84840,70260,124,281,38,313,476,12,6,4,LT000024,24,1.0000,1.0000,42.8800,1,1,2026-08-24T00:00:00.000
25,20260605,20260617,42720,26040,425,232,181,40,491,9,1,3,LT000025,25,2.0000,2.0000,44.2500,1,1,2026-08-24T00:00:00.000
26,20260803,20260823,29880,32340,454,124,500,273,472,6,3,3,LT000026,26,3.0000,3.0000,45.6200,1,1,2026-08-24T00:00:00.000
27,20260701,20260608,660,8280,476,495,140,435,423,10,2,1,LT000027,27,4.0000,4.0000,46.9900,1,1,2026-08-24T00:00:00.000
28,20260616,20260608,35820,62280,439,400,481,315,392,7,3,5,LT000028,28,5.0000,5.0000,48.3600,1,1,2026-08-24T00:00:00.000
29,20260715,20260817,76800,16140,277,195,341,31,261,5,1,1,LT000029,29,6.0000,6.0000,49.7300,1,1,2026-08-24T00:00:00.000
30,20260713,20260630,67980,27120,394,44,100,124,90,4,6,3,LT000030,30,7.0000,7.0000,51.1000,1,1,2026-08-24T00:00:00.000
31,20260530,20260603,68580,34980,225,147,440,189,330,11,6,5,LT000031,31,8.0000,8.0000,52.4700,1,1,2026-08-24T00:00:00.000
32,20260630,20260802,27960,57840,391,171,99,352,400,6,6,2,LT000032,32,9.0000,9.0000,53.8400,1,1,2026-08-24T00:00:00.000
33,20260805,20260718,76260,79500,303,248,122,459,234,9,5,2,LT000033,33,10.0000,10.0000,55.2100,1,1,2026-08-24T00:00:00.000
34,20260702,20260801,22140,39180,380,499,-1,-1,221,10,1,3,LT000034,34,11.0000,11.0000,56.5800,1,1,2026-08-24T00:00:00.000
35,20260804,20260810,56280,46080,177,165,257,470,140,1,1,5,LT000035,35,12.0000,12.0000,57.9500,1,1,2026-08-24T00:00:00.000
36,20260707,20260618,84840,76380,159,345,172,314,75,6,5,5,LT000036,36,13.0000,13.0000,59.3200,1,1,2026-08-24T00:00:00.000
37,20260814,20260730,23460,80940,275,130,16,222,193,11,1,1,LT000037,37,14.0000,14.0000,60.6900,1,1,2026-08-24T00:00:00.000
38,20260728,20260529,62520,33000,172,258,115,242,251,12,2,3,LT000038,38,15.0000,15.0000,62.0600,1,1,2026-08-24T00:00:00.000
39,20260716,20260728,68220,68460,460,315,15,174,389,5,4,1,LT000039,39,16.0000,16.0000,63.4300,1,1,2026-08-24T00:00:00.000
40,20260811,20260612,32160,64320,343,23,265,34,278,1,1,5,LT000040,40,17.0000,17.0000,64.8000,1,1,2026-08-24T00:00:00.000
41,20260821,20260616,34560,18180,359,1,287,339,290,6,1,2,LT000041,41,18.0000,18.0000,66.1700,1,1,2026-08-24T00:00:00.000
42,20260623,20260623,15780,83580,347,106,41,152,4,11,6,2,LT000042,42,19.0000,19.0000,67.5400,1,1,2026-08-24T00:00:00.000
43,20260705,20260603,6240,71160,30,39,21,466,348,7,7,3,LT000043,43,20.0000,20.0000,68.9100,1,1,2026-08-24T00:00:00.000
44,20260725,20260614,50700,5880,27,81,435,153,179,3,5,4,LT000044,44,21.0000,21.0000,70.2800,1,1,2026-08-24T00:00:00.000
45,20260714,20260731,27180,8460,26,82,378,204,95,9,1,4,LT000045,45,22.0000,22.0000,71.6500,1,1,2026-08-24T00:00:00.000
46,20260716,20260710,36240,82740,122,488,372,219,109,4,1,2,LT000046,46,23.0000,23.0000,73.0200,1,1,2026-08-24T00:00:00.000
47,20260617,20260807,47700,30180,438,120,169,259,332,6,4,2,LT000047,47,24.0000,24.0000,74.3900,1,1,2026-08-24T00:00:00.000
48,20260531,20260809,81300,73860,479,66,278,140,121,4,3,2,LT000048,48,1.0000,1.0000,75.7600,1,1,2026-08-24T00:00:00.000
49,20260630,20260530,40800,32100,131,398,420,480,6,1,3,2,LT000049,49,2.0000,2.0000,77.1300,1,1,2026-08-24T00:00:00.000
50,20260621,20260722,11580,79260,324,479,160,338,24,6,3,2,LT000050,50,3.0000,3.0000,78.5000,1,1,2026-08-24T00:00:00.000
51,20260617,20260725,48240,74340,154,451,-1,-1,6,1,1,3,LT000051,51,4.0000,4.0000,79.8700,1,1,2026-08-24T00:00:00.000
52,20260705,20260708,11280,63660,208,415,74,346,12,8,2,3,LT000052,52,5.0000,5.0000,81.2400,1,1,2026-08-24T00:00:00.000
53,20260605,20260602,44400,55560,365,467,314,122,36,4,7,1,LT000053,53,6.0000,6.0000,82.6100,1,1,2026-08-24T00:00:00.000
54,20260612,20260703,15540,66420,2,92,74,411,263,7,4,2,LT000054,54,7.0000,7.0000,83.9800,1,1,2026-08-24T00:00:00.000
55,20260701,20260630,44880,69000,342,173,466,75,337,5,4,5,LT000055,55,8.0000,8.0000,85.3500,1,1,2026-08-24T00:00:00.000
56,20260706,20260817,71280,21360,185,2,355,152,17,3,1,4,LT000056,56,9.0000,9.0000,86.7200,1,1,2026-08-24T00:00:00.000
57,20260529,20260622,84360,81240,415,68,476,111,335,11,7,5,LT000057,57,10.0000,10.0000,88.0900,1,1,2026-08-24T00:00:00.000
58,20260611,20260702,39120,3780,412,151,365,407,251,6,7,4,LT000058,58,11.0000,11.0000,89.4600,1,1,2026-08-24T00:00:00.000
59,20260708,20260708,63480,24120,80,226,88,487,448,9,4,4,LT000059,59,12.0000,12.0000,90.8300,1,1,2026-08-24T00:00:00.000
60,20260728,20260820,59400,79020,320,307,392,146,240,4,1,3,LT000060,60,13.0000,13.0000,92.2000,1,1,2026-08-24T00:00:00.000
61,20260614,20260729,76380,69960,184,401,172,189,210,9,1,1,LT000061,61,14.0000,14.0000,93.5700,1,1,2026-08-24T00:00:00.000
62,20260610,20260602,0,15840,466,131,42,323,292,3,2,4,LT000062,62,15.0000,15.0000,94.9400,1,1,2026-08-24T00:00:00.000
63,20260701,20260802,43380,79740,267,450,25,353,369,11,5,5,LT000063,63,16.0000,16.0000,96.3100,1,1,2026-08-24T00:00:00.000
64,20260810,20260703,38760,74760,366,223,129,327,130,9,6,5,LT000064,64,17.0000,17.0000,97.6800,1,1,2026-08-24T00:00:00.000
65,20260731,20260727,29940,58920,290,174,1,413,367,2,5,1,LT000065,65,18.0000,18.0000,99.0500,1,1,2026-08-24T00:00:00.000
66,20260604,20260814,85320,55560,441,418,484,97,105,5,3,5,LT000066,66,19.0000,19.0000,100.4200,1,1,2026-08-24T00:00:00.000
67,20260528,20260723,2580,65940,102,492,333,300,219,10,5,5,LT000067,67,20.0000,20.0000,101.7900,1,1,2026-08-24T00:00:00.000
68,20260606,20260711,15540,34740,424,388,-1,-1,278,2,4,2,LT000068,68,21.0000,21.0000,103.1600,1,1,2026-08-24T00:00:00.000
