LogisticsShipmentExecutionKey,ShipDateKey,PlannedDeliveryDateKey,ActualDeliveryDateKey,ShipTimeOfDayKey,ActualDeliveryTimeOfDayKey,LogisticsShipmentHeaderKey,LogisticsShipmentLineKey,LogisticsCarrierServiceOptionKey,LogisticsLaneSegmentKey,ProductKey,CustomerKey,LogisticsShipmentStatusKey,LogisticsServiceLevelKey,UnitOfMeasureKey,CurrencyKey,ShippedQuantity,ShippedWeightKg,FreightAmount,SourceSystemKey,BatchId,LoadedAtUtc
1,20260529,20260730,20260627,84420,49920,4,8,307,108,393,464,6,20,6,4,0.8000,2.0000,11.3700,1,1,2026-08-24T00:00:00.000
2,20260723,20260601,20260607,35760,15120,348,74,285,268,19,200,4,7,7,5,1.5000,3.0000,12.7400,1,1,2026-08-24T00:00:00.000
3,20260803,20260720,20260721,360,21660,309,69,217,450,106,347,11,3,1,1,2.2000,4.0000,14.1100,1,1,2026-08-24T00:00:00.000
4,20260801,20260624,20260709,31320,30660,337,67,332,361,388,165,13,7,3,1,2.9000,5.0000,15.4800,1,1,2026-08-24T00:00:00.000
5,20260726,20260602,20260814,63540,8760,100,105,174,41,139,143,9,1,5,5,3.6000,6.0000,16.8500,1,1,2026-08-24T00:00:00.000
6,20260612,20260719,20260824,57660,49140,274,54,426,177,367,482,4,20,3,4,4.3000,7.0000,18.2200,1,1,2026-08-24T00:00:00.000
7,20260728,20260629,20260816,34080,28200,307,396,401,340,88,56,2,12,7,5,5.0000,8.0000,19.5900,1,1,2026-08-24T00:00:00.000
8,20260722,20260811,20260723,56100,84420,208,126,79,254,65,430,6,9,5,4,5.7000,9.0000,20.9600,1,1,2026-08-24T00:00:00.000
9,20260617,20260620,20260703,17940,72300,319,412,30,17,398,131,3,9,6,4,6.4000,10.0000,22.3300,1,1,2026-08-24T00:00:00.000
10,20260720,20260614,20260804,9900,4440,297,328,326,35,328,150,11,12,3,2,7.1000,11.0000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260726,20260731,20260630,35160,79560,20,119,278,494,388,34,2,12,4,1,7.8000,12.0000,25.0700,1,1,2026-08-24T00:00:00.000
12,20260709,20260810,20260718,76140,55740,497,78,305,313,151,109,14,12,7,1,8.5000,13.0000,26.4400,1,1,2026-08-24T00:00:00.000
