LogisticsTrackingEventKey,EventDateKey,EventTimeOfDayKey,LogisticsShipmentHeaderKey,LogisticsDeliveryKey,LogisticsTransportLoadKey,LogisticsContainerKey,LogisticsDockDoorKey,LogisticsTrackingEventTypeKey,SeverityKey,TrackingReferenceNumber,EventCount,EventSequenceNumber,SourceSystemKey,BatchId,LoadedAtUtc
1,20260808,22500,115,34,101,66,162,24,3,LTE000001,2,1,1,1,2026-08-24T00:00:00.000
2,20260603,49380,99,191,144,382,456,12,2,LTE000002,3,2,1,1,2026-08-24T00:00:00.000
3,20260531,74520,454,382,180,14,80,10,4,LTE000003,4,3,1,1,2026-08-24T00:00:00.000
4,20260624,30840,66,97,473,352,121,5,2,LTE000004,5,4,1,1,2026-08-24T00:00:00.000
5,20260606,63420,114,163,164,382,153,34,3,LTE000005,6,5,1,1,2026-08-24T00:00:00.000
6,20260614,60540,395,248,159,213,495,35,3,LTE000006,7,6,1,1,2026-08-24T00:00:00.000
7,20260610,15900,78,335,404,268,105,27,3,LTE000007,8,7,1,1,2026-08-24T00:00:00.000
8,20260726,26880,324,125,125,84,179,13,1,LTE000008,9,8,1,1,2026-08-24T00:00:00.000
9,20260812,24660,6,47,118,105,394,3,5,LTE000009,10,9,1,1,2026-08-24T00:00:00.000
10,20260703,61200,324,243,497,460,368,1,3,LTE000010,11,10,1,1,2026-08-24T00:00:00.000
11,20260719,2280,115,309,51,137,342,14,3,LTE000011,12,11,1,1,2026-08-24T00:00:00.000
12,20260527,36180,187,349,209,383,83,11,1,LTE000012,13,12,1,1,2026-08-24T00:00:00.000
13,20260709,61980,345,89,286,229,116,34,3,LTE000013,14,13,1,1,2026-08-24T00:00:00.000
14,20260720,80340,349,474,26,278,235,6,2,LTE000014,15,14,1,1,2026-08-24T00:00:00.000
15,20260629,7740,432,227,445,12,431,35,2,LTE000015,16,15,1,1,2026-08-24T00:00:00.000
16,20260531,18720,312,133,400,204,261,13,5,LTE000016,17,16,1,1,2026-08-24T00:00:00.000
17,20260719,4140,-1,-1,-1,-1,-1,16,-1,LTE000017,18,17,1,1,2026-08-24T00:00:00.000
18,20260531,58980,16,31,215,134,369,2,3,LTE000018,19,18,1,1,2026-08-24T00:00:00.000
19,20260728,69900,42,155,272,152,199,30,4,LTE000019,20,19,1,1,2026-08-24T00:00:00.000
20,20260819,51480,337,305,369,443,410,2,2,LTE000020,21,20,1,1,2026-08-24T00:00:00.000
21,20260719,53520,298,43,326,56,89,8,5,LTE000021,22,21,1,1,2026-08-24T00:00:00.000
22,20260812,52260,369,235,117,343,135,30,4,LTE000022,23,22,1,1,2026-08-24T00:00:00.000
23,20260823,57600,490,126,121,322,268,31,1,LTE000023,24,23,1,1,2026-08-24T00:00:00.000
24,20260623,82440,164,81,112,308,351,33,4,LTE000024,25,24,1,1,2026-08-24T00:00:00.000
25,20260820,43200,42,189,256,264,199,7,5,LTE000025,26,25,1,1,2026-08-24T00:00:00.000
