MachineStateEventKey,StartDateKey,EndDateKey,StartTimeOfDayKey,EndTimeOfDayKey,MachineKey,MachineStateKey,WorkCenterKey,PlantKey,ProductionShiftKey,MachineStateTypeKey,StateEventNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
1,20260613,20260628,73680,64740,138,76,468,109,343,8,MSE000001,2,11.3700,6.0000,11.3700,1,1,2026-08-24T00:00:00.000
2,20260725,20260626,75300,24660,447,234,460,22,197,7,MSE000002,3,12.7400,7.0000,12.7400,1,1,2026-08-24T00:00:00.000
3,20260819,20260627,48120,30240,362,389,297,257,93,10,MSE000003,4,14.1100,8.0000,14.1100,1,1,2026-08-24T00:00:00.000
4,20260601,20260627,4560,33300,268,80,63,315,130,11,MSE000004,5,15.4800,9.0000,15.4800,1,1,2026-08-24T00:00:00.000
5,20260730,20260707,64320,56100,476,200,406,273,410,6,MSE000005,6,16.8500,10.0000,16.8500,1,1,2026-08-24T00:00:00.000
6,20260623,20260704,38100,80220,240,360,78,1,363,8,MSE000006,7,18.2200,11.0000,18.2200,1,1,2026-08-24T00:00:00.000
7,20260621,20260528,83520,84240,171,125,481,293,409,11,MSE000007,8,19.5900,12.0000,19.5900,1,1,2026-08-24T00:00:00.000
8,20260808,20260622,59280,25140,208,205,179,18,44,1,MSE000008,9,20.9600,13.0000,20.9600,1,1,2026-08-24T00:00:00.000
9,20260629,20260808,2220,28920,58,84,184,275,453,9,MSE000009,10,22.3300,14.0000,22.3300,1,1,2026-08-24T00:00:00.000
10,20260723,20260623,27360,48660,262,187,160,78,371,8,MSE000010,11,23.7000,15.0000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260626,20260824,12360,75840,367,99,281,204,276,5,MSE000011,12,25.0700,16.0000,25.0700,1,1,2026-08-24T00:00:00.000
12,20260817,20260601,26640,29460,492,305,268,103,493,12,MSE000012,13,26.4400,17.0000,26.4400,1,1,2026-08-24T00:00:00.000
13,20260817,20260614,83700,79140,415,63,313,98,376,9,MSE000013,14,27.8100,18.0000,27.8100,1,1,2026-08-24T00:00:00.000
14,20260705,20260719,0,75780,179,52,111,141,49,9,MSE000014,15,29.1800,19.0000,29.1800,1,1,2026-08-24T00:00:00.000
15,20260822,20260717,12600,28560,212,42,193,155,82,6,MSE000015,16,30.5500,20.0000,30.5500,1,1,2026-08-24T00:00:00.000
16,20260709,20260629,38700,51180,251,255,192,64,474,12,MSE000016,17,31.9200,21.0000,31.9200,1,1,2026-08-24T00:00:00.000
