OeeLossEventKey,EventDateKey,EventTimeOfDayKey,MachineKey,OeeLossReasonKey,ProductKey,WorkCenterKey,PlantKey,MachineLossCategoryKey,SeverityKey,LossEventNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
1,20260608,76440,110,239,282,90,324,10,4,OLE000001,2,11.3700,6.0000,11.3700,1,1,2026-08-24T00:00:00.000
2,20260705,63060,296,84,2,361,331,2,3,OLE000002,3,12.7400,7.0000,12.7400,1,1,2026-08-24T00:00:00.000
3,20260603,68040,152,188,382,460,11,7,5,OLE000003,4,14.1100,8.0000,14.1100,1,1,2026-08-24T00:00:00.000
4,20260623,78840,391,85,316,61,117,1,4,OLE000004,5,15.4800,9.0000,15.4800,1,1,2026-08-24T00:00:00.000
5,20260720,49740,457,115,371,393,288,9,4,OLE000005,6,16.8500,10.0000,16.8500,1,1,2026-08-24T00:00:00.000
6,20260706,78900,448,120,12,475,310,10,5,OLE000006,7,18.2200,11.0000,18.2200,1,1,2026-08-24T00:00:00.000
7,20260606,59340,429,392,466,17,30,1,5,OLE000007,8,19.5900,12.0000,19.5900,1,1,2026-08-24T00:00:00.000
8,20260621,15540,366,235,113,229,154,6,2,OLE000008,9,20.9600,13.0000,20.9600,1,1,2026-08-24T00:00:00.000
9,20260727,18120,53,338,113,434,132,12,3,OLE000009,10,22.3300,14.0000,22.3300,1,1,2026-08-24T00:00:00.000
10,20260730,55020,266,60,79,153,275,7,4,OLE000010,11,23.7000,15.0000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260601,57660,466,407,397,36,232,3,2,OLE000011,12,25.0700,16.0000,25.0700,1,1,2026-08-24T00:00:00.000
12,20260625,52260,68,232,315,60,325,11,2,OLE000012,13,26.4400,17.0000,26.4400,1,1,2026-08-24T00:00:00.000
13,20260614,48660,488,476,466,493,259,4,2,OLE000013,14,27.8100,18.0000,27.8100,1,1,2026-08-24T00:00:00.000
14,20260708,83340,360,356,17,412,290,7,2,OLE000014,15,29.1800,19.0000,29.1800,1,1,2026-08-24T00:00:00.000
15,20260608,33240,408,353,81,261,150,7,1,OLE000015,16,30.5500,20.0000,30.5500,1,1,2026-08-24T00:00:00.000
16,20260801,85740,421,373,318,37,92,6,1,OLE000016,17,31.9200,21.0000,31.9200,1,1,2026-08-24T00:00:00.000
