OeePeriodicSnapshotKey,SnapshotDateKey,MachineKey,OeeTargetProfileKey,ProductKey,ProductionShiftKey,WorkCenterKey,PlantKey,OeeCalculationMethodKey,UnitOfMeasureKey,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
1,20260620,267,163,39,487,427,118,3,3,2,11.3700,6.0000,11.3700,1,1,2026-08-24T00:00:00.000
2,20260719,58,194,194,206,152,82,1,1,3,12.7400,7.0000,12.7400,1,1,2026-08-24T00:00:00.000
3,20260725,211,188,14,395,75,279,12,4,4,14.1100,8.0000,14.1100,1,1,2026-08-24T00:00:00.000
4,20260820,311,389,398,140,109,28,10,4,5,15.4800,9.0000,15.4800,1,1,2026-08-24T00:00:00.000
5,20260616,146,11,79,246,176,311,8,2,6,16.8500,10.0000,16.8500,1,1,2026-08-24T00:00:00.000
6,20260718,160,81,20,452,258,102,4,6,7,18.2200,11.0000,18.2200,1,1,2026-08-24T00:00:00.000
7,20260809,286,124,217,110,306,155,3,7,8,19.5900,12.0000,19.5900,1,1,2026-08-24T00:00:00.000
8,20260727,95,293,114,495,77,256,2,4,9,20.9600,13.0000,20.9600,1,1,2026-08-24T00:00:00.000
9,20260713,494,277,437,334,92,6,7,6,10,22.3300,14.0000,22.3300,1,1,2026-08-24T00:00:00.000
10,20260816,359,90,195,63,203,37,3,5,11,23.7000,15.0000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260710,408,44,162,40,242,146,3,1,12,25.0700,16.0000,25.0700,1,1,2026-08-24T00:00:00.000
12,20260804,82,450,419,1,407,107,10,7,13,26.4400,17.0000,26.4400,1,1,2026-08-24T00:00:00.000
13,20260814,341,83,457,434,485,225,4,2,14,27.8100,18.0000,27.8100,1,1,2026-08-24T00:00:00.000
14,20260629,104,318,260,361,326,251,2,5,15,29.1800,19.0000,29.1800,1,1,2026-08-24T00:00:00.000
15,20260609,60,274,84,312,294,350,9,4,16,30.5500,20.0000,30.5500,1,1,2026-08-24T00:00:00.000
16,20260819,140,69,170,79,378,97,11,4,17,31.9200,21.0000,31.9200,1,1,2026-08-24T00:00:00.000
17,20260726,173,-1,-1,-1,445,106,4,4,18,33.2900,22.0000,33.2900,1,1,2026-08-24T00:00:00.000
18,20260625,441,499,256,244,39,174,6,4,19,34.6600,23.0000,34.6600,1,1,2026-08-24T00:00:00.000
19,20260607,444,482,213,444,357,311,4,1,20,36.0300,24.0000,36.0300,1,1,2026-08-24T00:00:00.000
20,20260819,329,312,386,26,4,77,11,7,21,37.4000,25.0000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260609,444,214,464,191,499,160,2,3,22,38.7700,26.0000,38.7700,1,1,2026-08-24T00:00:00.000
22,20260606,178,463,352,449,162,155,5,1,23,40.1400,27.0000,40.1400,1,1,2026-08-24T00:00:00.000
23,20260713,264,150,347,98,315,121,5,4,24,41.5100,28.0000,41.5100,1,1,2026-08-24T00:00:00.000
24,20260623,129,379,239,369,442,29,8,4,25,42.8800,29.0000,42.8800,1,1,2026-08-24T00:00:00.000
25,20260723,27,414,157,290,192,163,8,3,26,44.2500,30.0000,44.2500,1,1,2026-08-24T00:00:00.000
26,20260817,254,288,158,120,388,129,2,3,27,45.6200,31.0000,45.6200,1,1,2026-08-24T00:00:00.000
27,20260804,113,33,111,147,476,331,5,3,28,46.9900,32.0000,46.9900,1,1,2026-08-24T00:00:00.000
