ProductionRunYieldKey,StartDateKey,FinishDateKey,StartTimeOfDayKey,FinishTimeOfDayKey,ProductionRunKey,ProductionLotKey,ProductKey,PlantKey,WorkCenterKey,ProductionRunTypeKey,UnitOfMeasureKey,RunTicketNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
1,20260704,20260824,57900,3600,346,35,349,125,290,9,6,PRY000001,2,11.3700,6.0000,11.3700,1,1,2026-08-24T00:00:00.000
2,20260811,20260820,53280,79320,462,458,476,157,149,3,5,PRY000002,3,12.7400,7.0000,12.7400,1,1,2026-08-24T00:00:00.000
3,20260625,20260816,24540,11520,5,376,404,169,419,8,7,PRY000003,4,14.1100,8.0000,14.1100,1,1,2026-08-24T00:00:00.000
4,20260617,20260803,79260,42300,211,191,44,115,427,11,7,PRY000004,5,15.4800,9.0000,15.4800,1,1,2026-08-24T00:00:00.000
5,20260613,20260619,13380,1680,247,257,158,303,376,7,2,PRY000005,6,16.8500,10.0000,16.8500,1,1,2026-08-24T00:00:00.000
6,20260821,20260702,68280,38280,298,84,13,243,320,4,1,PRY000006,7,18.2200,11.0000,18.2200,1,1,2026-08-24T00:00:00.000
7,20260706,20260625,2760,26160,441,315,238,67,151,3,1,PRY000007,8,19.5900,12.0000,19.5900,1,1,2026-08-24T00:00:00.000
8,20260731,20260713,7260,7740,200,74,121,45,421,5,5,PRY000008,9,20.9600,13.0000,20.9600,1,1,2026-08-24T00:00:00.000
9,20260704,20260806,67380,78000,273,416,56,19,438,4,2,PRY000009,10,22.3300,14.0000,22.3300,1,1,2026-08-24T00:00:00.000
10,20260618,20260804,6300,26340,252,257,30,316,460,9,1,PRY000010,11,23.7000,15.0000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260618,20260718,52320,49560,225,463,42,113,481,4,3,PRY000011,12,25.0700,16.0000,25.0700,1,1,2026-08-24T00:00:00.000
12,20260615,20260707,62160,59640,338,419,120,35,434,6,7,PRY000012,13,26.4400,17.0000,26.4400,1,1,2026-08-24T00:00:00.000
13,20260819,20260623,62520,36060,164,455,438,13,376,2,5,PRY000013,14,27.8100,18.0000,27.8100,1,1,2026-08-24T00:00:00.000
14,20260817,20260713,65400,59460,436,260,34,332,230,2,3,PRY000014,15,29.1800,19.0000,29.1800,1,1,2026-08-24T00:00:00.000
15,20260717,20260605,1560,77880,179,121,257,195,322,5,2,PRY000015,16,30.5500,20.0000,30.5500,1,1,2026-08-24T00:00:00.000
16,20260819,20260822,54180,41400,198,47,20,82,481,2,7,PRY000016,17,31.9200,21.0000,31.9200,1,1,2026-08-24T00:00:00.000
17,20260817,20260718,67080,28140,314,163,31,40,486,11,6,PRY000017,18,33.2900,22.0000,33.2900,1,1,2026-08-24T00:00:00.000
18,20260611,20260719,53580,78720,353,92,4,296,321,3,4,PRY000018,19,34.6600,23.0000,34.6600,1,1,2026-08-24T00:00:00.000
19,20260706,20260822,10140,13740,72,203,53,254,146,11,4,PRY000019,20,36.0300,24.0000,36.0300,1,1,2026-08-24T00:00:00.000
20,20260620,20260731,79320,50880,11,57,473,91,465,4,6,PRY000020,21,37.4000,25.0000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260607,20260703,84900,50520,9,456,473,244,234,4,7,PRY000021,22,38.7700,26.0000,38.7700,1,1,2026-08-24T00:00:00.000
22,20260802,20260626,81540,20760,356,216,158,304,308,1,6,PRY000022,23,40.1400,27.0000,40.1400,1,1,2026-08-24T00:00:00.000
23,20260711,20260724,36960,10740,13,285,187,260,251,10,5,PRY000023,24,41.5100,28.0000,41.5100,1,1,2026-08-24T00:00:00.000
24,20260802,20260731,50040,80460,349,102,131,229,21,11,6,PRY000024,25,42.8800,29.0000,42.8800,1,1,2026-08-24T00:00:00.000
25,20260715,20260703,83880,78900,73,233,482,350,18,7,1,PRY000025,26,44.2500,30.0000,44.2500,1,1,2026-08-24T00:00:00.000
26,20260726,20260822,61440,80160,238,256,483,112,225,7,2,PRY000026,27,45.6200,31.0000,45.6200,1,1,2026-08-24T00:00:00.000
27,20260812,20260618,33540,49980,63,497,45,107,222,6,6,PRY000027,28,46.9900,32.0000,46.9900,1,1,2026-08-24T00:00:00.000
28,20260719,20260612,61560,50100,98,194,48,147,365,7,7,PRY000028,29,48.3600,33.0000,48.3600,1,1,2026-08-24T00:00:00.000
29,20260606,20260824,50400,35100,309,263,480,187,326,9,5,PRY000029,30,49.7300,34.0000,49.7300,1,1,2026-08-24T00:00:00.000
30,20260614,20260709,7140,40200,428,356,433,87,302,2,5,PRY000030,31,51.1000,35.0000,51.1000,1,1,2026-08-24T00:00:00.000
31,20260802,20260616,46200,15060,369,413,386,60,328,8,4,PRY000031,32,52.4700,36.0000,52.4700,1,1,2026-08-24T00:00:00.000
32,20260615,20260729,73200,4080,491,185,60,29,467,11,7,PRY000032,33,53.8400,37.0000,53.8400,1,1,2026-08-24T00:00:00.000
33,20260807,20260723,82920,54480,41,74,236,150,188,1,7,PRY000033,34,55.2100,38.0000,55.2100,1,1,2026-08-24T00:00:00.000
34,20260616,20260607,85920,42420,370,215,238,119,343,2,5,PRY000034,35,56.5800,39.0000,56.5800,1,1,2026-08-24T00:00:00.000
35,20260612,20260527,23280,46800,403,201,351,251,138,8,4,PRY000035,36,57.9500,40.0000,57.9500,1,1,2026-08-24T00:00:00.000
36,20260609,20260625,30060,67020,314,275,44,218,322,1,5,PRY000036,37,59.3200,41.0000,59.3200,1,1,2026-08-24T00:00:00.000
37,20260726,20260817,85080,36180,148,7,356,154,492,1,7,PRY000037,38,60.6900,42.0000,60.6900,1,1,2026-08-24T00:00:00.000
38,20260823,20260607,22080,68040,10,186,293,128,354,7,7,PRY000038,39,62.0600,43.0000,62.0600,1,1,2026-08-24T00:00:00.000
39,20260725,20260810,35700,15720,153,108,251,228,386,12,4,PRY000039,40,63.4300,44.0000,63.4300,1,1,2026-08-24T00:00:00.000
40,20260701,20260824,51900,53220,374,394,287,220,323,4,6,PRY000040,41,64.8000,45.0000,64.8000,1,1,2026-08-24T00:00:00.000
41,20260808,20260622,63360,21180,312,73,475,59,153,1,7,PRY000041,42,66.1700,46.0000,66.1700,1,1,2026-08-24T00:00:00.000
42,20260822,20260803,40680,1620,364,348,219,96,221,1,6,PRY000042,43,67.5400,47.0000,67.5400,1,1,2026-08-24T00:00:00.000
43,20260816,20260717,72780,1740,216,232,343,61,163,8,3,PRY000043,44,68.9100,48.0000,68.9100,1,1,2026-08-24T00:00:00.000
44,20260810,20260706,72360,36000,26,107,436,295,311,7,6,PRY000044,45,70.2800,49.0000,70.2800,1,1,2026-08-24T00:00:00.000
45,20260602,20260606,1560,72240,347,484,404,10,171,8,4,PRY000045,46,71.6500,50.0000,71.6500,1,1,2026-08-24T00:00:00.000
46,20260603,20260623,3840,37920,324,35,391,133,390,11,3,PRY000046,47,73.0200,51.0000,73.0200,1,1,2026-08-24T00:00:00.000
47,20260630,20260717,4560,62460,259,348,232,301,42,3,5,PRY000047,48,74.3900,52.0000,74.3900,1,1,2026-08-24T00:00:00.000
48,20260616,20260608,77160,8340,88,315,408,1,168,1,6,PRY000048,49,75.7600,53.0000,75.7600,1,1,2026-08-24T00:00:00.000
49,20260731,20260717,17400,6300,40,233,177,208,306,5,7,PRY000049,50,77.1300,54.0000,77.1300,1,1,2026-08-24T00:00:00.000
50,20260817,20260705,9600,56040,157,38,135,103,321,3,1,PRY000050,51,78.5000,55.0000,78.5000,1,1,2026-08-24T00:00:00.000
51,20260710,20260802,59100,62340,442,32,454,314,150,7,3,PRY000051,52,79.8700,56.0000,79.8700,1,1,2026-08-24T00:00:00.000
52,20260630,20260816,63900,77460,168,271,287,209,325,10,3,PRY000052,53,81.2400,57.0000,81.2400,1,1,2026-08-24T00:00:00.000
53,20260527,20260709,84600,11460,14,421,64,91,110,10,6,PRY000053,54,82.6100,58.0000,82.6100,1,1,2026-08-24T00:00:00.000
54,20260702,20260708,53580,41880,421,64,184,303,400,1,1,PRY000054,55,83.9800,59.0000,83.9800,1,1,2026-08-24T00:00:00.000
55,20260703,20260724,32160,72000,354,302,221,19,316,11,1,PRY000055,56,85.3500,60.0000,85.3500,1,1,2026-08-24T00:00:00.000
56,20260812,20260815,5280,56700,388,486,492,337,387,4,5,PRY000056,57,86.7200,61.0000,86.7200,1,1,2026-08-24T00:00:00.000
57,20260531,20260626,39660,53340,457,386,138,162,334,10,1,PRY000057,58,88.0900,62.0000,88.0900,1,1,2026-08-24T00:00:00.000
58,20260716,20260615,41220,10620,399,51,494,80,419,1,7,PRY000058,59,89.4600,63.0000,89.4600,1,1,2026-08-24T00:00:00.000
59,20260622,20260630,33600,70320,97,86,54,148,51,2,3,PRY000059,60,90.8300,64.0000,90.8300,1,1,2026-08-24T00:00:00.000
60,20260604,20260630,85740,75420,52,472,499,311,17,6,5,PRY000060,61,92.2000,65.0000,92.2000,1,1,2026-08-24T00:00:00.000
61,20260619,20260813,60420,50760,236,158,187,290,204,10,3,PRY000061,62,93.5700,66.0000,93.5700,1,1,2026-08-24T00:00:00.000
62,20260604,20260618,62400,53580,10,68,423,85,318,12,7,PRY000062,63,94.9400,67.0000,94.9400,1,1,2026-08-24T00:00:00.000
63,20260629,20260803,24660,60300,158,206,207,293,75,9,6,PRY000063,64,96.3100,68.0000,96.3100,1,1,2026-08-24T00:00:00.000
64,20260713,20260729,9060,28320,445,292,153,255,39,7,6,PRY000064,65,97.6800,69.0000,97.6800,1,1,2026-08-24T00:00:00.000
65,20260722,20260812,68880,45480,376,245,269,157,46,1,2,PRY000065,66,99.0500,70.0000,99.0500,1,1,2026-08-24T00:00:00.000
66,20260819,20260719,15180,25920,143,475,435,124,72,8,6,PRY000066,67,100.4200,71.0000,100.4200,1,1,2026-08-24T00:00:00.000
67,20260625,20260626,35340,36240,357,340,389,246,391,1,6,PRY000067,68,101.7900,72.0000,101.7900,1,1,2026-08-24T00:00:00.000
