ProductionScrapReworkEventKey,EventDateKey,EventTimeOfDayKey,ProductionWorkOrderKey,ProductionOperationKey,ProductKey,WorkCenterKey,RecorderEmployeeKey,ProductionLotKey,ProductionScrapReasonKey,ProductionReworkReasonKey,SeverityKey,UnitOfMeasureKey,EventNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
1,20260708,40020,97,3,148,490,167,417,3,2,2,7,PSRE000001,2,11.3700,6.0000,11.3700,1,1,2026-08-24T00:00:00.000
2,20260617,69600,25,91,155,259,402,119,9,8,2,2,PSRE000002,3,12.7400,7.0000,12.7400,1,1,2026-08-24T00:00:00.000
3,20260707,42300,253,222,113,68,238,55,9,11,3,2,PSRE000003,4,14.1100,8.0000,14.1100,1,1,2026-08-24T00:00:00.000
4,20260601,84000,430,6,219,279,453,458,8,8,4,3,PSRE000004,5,15.4800,9.0000,15.4800,1,1,2026-08-24T00:00:00.000
5,20260630,79980,55,154,137,139,334,468,4,10,2,4,PSRE000005,6,16.8500,10.0000,16.8500,1,1,2026-08-24T00:00:00.000
6,20260602,37740,63,85,135,438,222,217,1,1,5,3,PSRE000006,7,18.2200,11.0000,18.2200,1,1,2026-08-24T00:00:00.000
7,20260801,75960,101,323,352,259,475,30,9,1,2,5,PSRE000007,8,19.5900,12.0000,19.5900,1,1,2026-08-24T00:00:00.000
8,20260712,22320,30,121,270,260,372,160,6,5,2,1,PSRE000008,9,20.9600,13.0000,20.9600,1,1,2026-08-24T00:00:00.000
9,20260701,46140,324,78,225,196,162,119,3,3,4,1,PSRE000009,10,22.3300,14.0000,22.3300,1,1,2026-08-24T00:00:00.000
10,20260718,15240,170,468,112,21,246,369,1,5,4,1,PSRE000010,11,23.7000,15.0000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260708,70980,98,125,398,499,205,183,6,8,1,3,PSRE000011,12,25.0700,16.0000,25.0700,1,1,2026-08-24T00:00:00.000
12,20260817,48600,155,139,264,456,344,332,12,3,2,5,PSRE000012,13,26.4400,17.0000,26.4400,1,1,2026-08-24T00:00:00.000
13,20260730,39720,178,148,166,395,37,354,5,9,3,2,PSRE000013,14,27.8100,18.0000,27.8100,1,1,2026-08-24T00:00:00.000
14,20260801,31560,419,297,465,5,285,259,5,6,2,7,PSRE000014,15,29.1800,19.0000,29.1800,1,1,2026-08-24T00:00:00.000
15,20260813,29640,154,27,47,192,293,323,4,6,2,1,PSRE000015,16,30.5500,20.0000,30.5500,1,1,2026-08-24T00:00:00.000
16,20260719,55980,186,70,153,125,458,144,10,5,2,3,PSRE000016,17,31.9200,21.0000,31.9200,1,1,2026-08-24T00:00:00.000
17,20260820,48720,231,307,393,413,-1,-1,-1,-1,2,2,PSRE000017,18,33.2900,22.0000,33.2900,1,1,2026-08-24T00:00:00.000
18,20260709,27480,144,462,76,269,484,33,2,11,4,3,PSRE000018,19,34.6600,23.0000,34.6600,1,1,2026-08-24T00:00:00.000
19,20260824,49380,23,49,409,401,1,339,8,4,1,7,PSRE000019,20,36.0300,24.0000,36.0300,1,1,2026-08-24T00:00:00.000
20,20260620,60600,221,400,3,461,395,282,4,7,3,1,PSRE000020,21,37.4000,25.0000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260815,84540,21,172,13,209,303,325,10,10,3,7,PSRE000021,22,38.7700,26.0000,38.7700,1,1,2026-08-24T00:00:00.000
22,20260701,34800,298,347,404,244,196,61,9,2,1,7,PSRE000022,23,40.1400,27.0000,40.1400,1,1,2026-08-24T00:00:00.000
23,20260610,7320,167,419,440,239,441,338,9,3,5,6,PSRE000023,24,41.5100,28.0000,41.5100,1,1,2026-08-24T00:00:00.000
24,20260611,30060,467,485,473,119,344,383,11,4,4,2,PSRE000024,25,42.8800,29.0000,42.8800,1,1,2026-08-24T00:00:00.000
25,20260811,10560,296,111,306,281,286,277,6,5,2,1,PSRE000025,26,44.2500,30.0000,44.2500,1,1,2026-08-24T00:00:00.000
26,20260529,76020,413,424,500,170,164,234,9,10,5,6,PSRE000026,27,45.6200,31.0000,45.6200,1,1,2026-08-24T00:00:00.000
27,20260824,16620,156,449,413,139,398,64,7,2,5,6,PSRE000027,28,46.9900,32.0000,46.9900,1,1,2026-08-24T00:00:00.000
