PurchaseInvoiceMatchKey,InvoiceDateKey,MatchDateKey,PostingDateKey,PurchaseOrderLineKey,SupplierKey,ProductKey,CostCenterKey,PurchaseInvoiceMatchStatusKey,CurrencyKey,SupplierInvoiceNumber,SupplierInvoiceLineNumber,InvoiceQuantity,InvoiceAmount,QuantityVariance,PriceVarianceAmount,SourceSystemKey,BatchId,LoadedAtUtc
1,20260813,20260722,20260809,70,451,62,379,7,1,PIM000001,1,0.8000,11.3700,0.8000,11.3700,1,1,2026-08-24T00:00:00.000
2,20260824,20260611,20260729,383,359,105,167,6,3,PIM000002,2,1.5000,12.7400,1.5000,12.7400,1,1,2026-08-24T00:00:00.000
3,20260812,20260818,20260727,365,172,194,43,4,4,PIM000003,3,2.2000,14.1100,2.2000,14.1100,1,1,2026-08-24T00:00:00.000
4,20260716,20260707,20260712,101,350,371,70,4,3,PIM000004,4,2.9000,15.4800,2.9000,15.4800,1,1,2026-08-24T00:00:00.000
5,20260823,20260728,20260721,339,418,87,441,2,5,PIM000005,5,3.6000,16.8500,3.6000,16.8500,1,1,2026-08-24T00:00:00.000
6,20260614,20260823,20260824,55,244,485,71,1,5,PIM000006,6,4.3000,18.2200,4.3000,18.2200,1,1,2026-08-24T00:00:00.000
7,20260630,20260608,20260608,219,219,276,260,7,2,PIM000007,7,5.0000,19.5900,5.0000,19.5900,1,1,2026-08-24T00:00:00.000
8,20260621,20260617,20260726,439,191,428,309,7,1,PIM000008,8,5.7000,20.9600,5.7000,20.9600,1,1,2026-08-24T00:00:00.000
9,20260724,20260816,20260819,276,160,40,21,7,3,PIM000009,9,6.4000,22.3300,6.4000,22.3300,1,1,2026-08-24T00:00:00.000
10,20260818,20260731,20260718,58,394,204,91,6,1,PIM000010,10,7.1000,23.7000,7.1000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260616,20260726,20260623,473,423,92,148,8,4,PIM000011,11,7.8000,25.0700,7.8000,25.0700,1,1,2026-08-24T00:00:00.000
12,20260609,20260718,20260815,95,352,177,233,8,3,PIM000012,12,8.5000,26.4400,8.5000,26.4400,1,1,2026-08-24T00:00:00.000
13,20260721,20260810,20260805,230,76,166,25,4,5,PIM000013,13,9.2000,27.8100,9.2000,27.8100,1,1,2026-08-24T00:00:00.000
14,20260725,20260729,20260813,305,137,61,173,2,1,PIM000014,14,9.9000,29.1800,9.9000,29.1800,1,1,2026-08-24T00:00:00.000
15,20260823,20260601,20260606,191,482,127,44,4,1,PIM000015,15,10.6000,30.5500,10.6000,30.5500,1,1,2026-08-24T00:00:00.000
16,20260629,20260711,20260804,325,185,369,292,4,1,PIM000016,16,11.3000,31.9200,11.3000,31.9200,1,1,2026-08-24T00:00:00.000
17,20260722,20260731,20260815,179,284,-1,-1,9,3,PIM000017,17,12.0000,33.2900,12.0000,33.2900,1,1,2026-08-24T00:00:00.000
18,20260807,20260609,20260624,85,155,408,257,5,3,PIM000018,18,12.7000,34.6600,12.7000,34.6600,1,1,2026-08-24T00:00:00.000
19,20260608,20260816,20260729,403,444,195,152,6,4,PIM000019,19,13.4000,36.0300,13.4000,36.0300,1,1,2026-08-24T00:00:00.000
20,20260713,20260728,20260606,498,496,399,375,7,5,PIM000020,20,14.1000,37.4000,14.1000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260624,20260713,20260810,215,402,328,219,4,3,PIM000021,21,14.8000,38.7700,14.8000,38.7700,1,1,2026-08-24T00:00:00.000
22,20260821,20260621,20260723,387,12,168,18,4,3,PIM000022,22,15.5000,40.1400,15.5000,40.1400,1,1,2026-08-24T00:00:00.000
23,20260619,20260628,20260813,398,39,434,164,6,2,PIM000023,23,16.2000,41.5100,16.2000,41.5100,1,1,2026-08-24T00:00:00.000
24,20260628,20260816,20260610,245,96,128,103,9,3,PIM000024,24,16.9000,42.8800,16.9000,42.8800,1,1,2026-08-24T00:00:00.000
25,20260817,20260721,20260607,49,213,344,28,4,2,PIM000025,25,17.6000,44.2500,17.6000,44.2500,1,1,2026-08-24T00:00:00.000
26,20260720,20260718,20260806,35,142,254,271,9,4,PIM000026,26,18.3000,45.6200,18.3000,45.6200,1,1,2026-08-24T00:00:00.000
27,20260602,20260709,20260727,60,245,219,274,1,3,PIM000027,27,19.0000,46.9900,19.0000,46.9900,1,1,2026-08-24T00:00:00.000
28,20260717,20260730,20260808,309,27,489,248,5,3,PIM000028,28,19.7000,48.3600,19.7000,48.3600,1,1,2026-08-24T00:00:00.000
29,20260819,20260712,20260729,472,390,271,228,8,3,PIM000029,29,20.4000,49.7300,20.4000,49.7300,1,1,2026-08-24T00:00:00.000
30,20260630,20260817,20260604,113,119,429,479,6,2,PIM000030,30,21.1000,51.1000,21.1000,51.1000,1,1,2026-08-24T00:00:00.000
31,20260612,20260611,20260821,103,350,364,488,4,1,PIM000031,31,21.8000,52.4700,21.8000,52.4700,1,1,2026-08-24T00:00:00.000
32,20260718,20260814,20260707,122,125,443,22,2,5,PIM000032,32,22.5000,53.8400,22.5000,53.8400,1,1,2026-08-24T00:00:00.000
33,20260724,20260620,20260818,425,410,193,245,9,1,PIM000033,33,23.2000,55.2100,23.2000,55.2100,1,1,2026-08-24T00:00:00.000
34,20260608,20260622,20260816,348,286,-1,-1,1,4,PIM000034,34,23.9000,56.5800,23.9000,56.5800,1,1,2026-08-24T00:00:00.000
35,20260706,20260725,20260723,27,109,147,474,8,2,PIM000035,35,24.6000,57.9500,24.6000,57.9500,1,1,2026-08-24T00:00:00.000
36,20260804,20260731,20260621,458,393,100,82,9,4,PIM000036,36,25.3000,59.3200,25.3000,59.3200,1,1,2026-08-24T00:00:00.000
37,20260622,20260809,20260710,42,252,461,178,3,2,PIM000037,37,26.0000,60.6900,26.0000,60.6900,1,1,2026-08-24T00:00:00.000
38,20260814,20260727,20260606,166,322,7,489,1,5,PIM000038,38,26.7000,62.0600,26.7000,62.0600,1,1,2026-08-24T00:00:00.000
39,20260601,20260527,20260812,357,450,469,2,4,3,PIM000039,39,27.4000,63.4300,27.4000,63.4300,1,1,2026-08-24T00:00:00.000
40,20260823,20260723,20260806,385,155,431,170,9,1,PIM000040,40,28.1000,64.8000,28.1000,64.8000,1,1,2026-08-24T00:00:00.000
41,20260705,20260816,20260608,281,441,326,255,9,3,PIM000041,41,28.8000,66.1700,28.8000,66.1700,1,1,2026-08-24T00:00:00.000
42,20260815,20260607,20260604,359,250,128,251,3,5,PIM000042,42,29.5000,67.5400,29.5000,67.5400,1,1,2026-08-24T00:00:00.000
43,20260615,20260823,20260625,192,449,50,64,9,2,PIM000043,43,30.2000,68.9100,30.2000,68.9100,1,1,2026-08-24T00:00:00.000
44,20260822,20260612,20260822,356,1,221,260,8,3,PIM000044,44,30.9000,70.2800,30.9000,70.2800,1,1,2026-08-24T00:00:00.000
45,20260726,20260808,20260821,123,223,452,312,7,5,PIM000045,45,31.6000,71.6500,31.6000,71.6500,1,1,2026-08-24T00:00:00.000
46,20260711,20260531,20260812,19,269,498,103,2,3,PIM000046,46,32.3000,73.0200,32.3000,73.0200,1,1,2026-08-24T00:00:00.000
47,20260607,20260606,20260624,295,106,168,275,5,3,PIM000047,47,33.0000,74.3900,33.0000,74.3900,1,1,2026-08-24T00:00:00.000
48,20260806,20260530,20260822,276,383,346,233,9,5,PIM000048,48,33.7000,75.7600,33.7000,75.7600,1,1,2026-08-24T00:00:00.000
49,20260606,20260609,20260806,218,432,185,494,2,5,PIM000049,49,34.4000,77.1300,34.4000,77.1300,1,1,2026-08-24T00:00:00.000
50,20260701,20260816,20260717,71,90,185,355,6,4,PIM000050,50,35.1000,78.5000,35.1000,78.5000,1,1,2026-08-24T00:00:00.000
51,20260611,20260715,20260601,361,290,-1,-1,4,1,PIM000051,51,35.8000,79.8700,35.8000,79.8700,1,1,2026-08-24T00:00:00.000
52,20260620,20260813,20260608,310,342,98,16,3,2,PIM000052,52,36.5000,81.2400,36.5000,81.2400,1,1,2026-08-24T00:00:00.000
53,20260604,20260701,20260723,118,401,126,429,4,1,PIM000053,53,37.2000,82.6100,37.2000,82.6100,1,1,2026-08-24T00:00:00.000
54,20260717,20260814,20260818,454,342,303,378,5,5,PIM000054,54,37.9000,83.9800,37.9000,83.9800,1,1,2026-08-24T00:00:00.000
55,20260603,20260815,20260621,15,65,67,87,3,3,PIM000055,55,38.6000,85.3500,38.6000,85.3500,1,1,2026-08-24T00:00:00.000
56,20260819,20260530,20260712,69,226,393,369,9,4,PIM000056,56,39.3000,86.7200,39.3000,86.7200,1,1,2026-08-24T00:00:00.000
57,20260822,20260815,20260623,15,24,42,260,5,4,PIM000057,57,40.0000,88.0900,40.0000,88.0900,1,1,2026-08-24T00:00:00.000
58,20260527,20260613,20260713,293,36,129,359,7,1,PIM000058,58,40.7000,89.4600,40.7000,89.4600,1,1,2026-08-24T00:00:00.000
59,20260602,20260812,20260821,273,392,44,461,1,4,PIM000059,59,41.4000,90.8300,41.4000,90.8300,1,1,2026-08-24T00:00:00.000
60,20260618,20260623,20260723,410,225,408,349,4,4,PIM000060,60,42.1000,92.2000,42.1000,92.2000,1,1,2026-08-24T00:00:00.000
61,20260722,20260702,20260805,436,430,351,189,6,2,PIM000061,61,42.8000,93.5700,42.8000,93.5700,1,1,2026-08-24T00:00:00.000
62,20260812,20260802,20260717,444,339,258,89,8,2,PIM000062,62,43.5000,94.9400,43.5000,94.9400,1,1,2026-08-24T00:00:00.000
63,20260711,20260710,20260527,358,34,373,244,5,5,PIM000063,63,44.2000,96.3100,44.2000,96.3100,1,1,2026-08-24T00:00:00.000
64,20260823,20260819,20260619,488,499,330,173,8,4,PIM000064,64,44.9000,97.6800,44.9000,97.6800,1,1,2026-08-24T00:00:00.000
65,20260712,20260610,20260806,441,87,487,104,8,1,PIM000065,65,45.6000,99.0500,45.6000,99.0500,1,1,2026-08-24T00:00:00.000
66,20260602,20260711,20260704,340,209,324,333,8,5,PIM000066,66,46.3000,100.4200,46.3000,100.4200,1,1,2026-08-24T00:00:00.000
67,20260811,20260719,20260705,54,439,342,488,7,2,PIM000067,67,47.0000,101.7900,47.0000,101.7900,1,1,2026-08-24T00:00:00.000
68,20260727,20260715,20260821,276,236,-1,-1,4,3,PIM000068,68,47.7000,103.1600,47.7000,103.1600,1,1,2026-08-24T00:00:00.000
69,20260808,20260611,20260630,228,163,258,25,2,2,PIM000069,69,48.4000,104.5300,48.4000,104.5300,1,1,2026-08-24T00:00:00.000
70,20260802,20260807,20260705,262,318,337,130,2,1,PIM000070,70,49.1000,105.9000,49.1000,105.9000,1,1,2026-08-24T00:00:00.000
71,20260608,20260603,20260722,218,31,439,247,2,3,PIM000071,71,49.8000,107.2700,49.8000,107.2700,1,1,2026-08-24T00:00:00.000
72,20260811,20260628,20260811,423,244,205,467,7,5,PIM000072,72,50.5000,108.6400,50.5000,108.6400,1,1,2026-08-24T00:00:00.000
73,20260624,20260609,20260718,324,261,233,139,6,1,PIM000073,73,51.2000,110.0100,51.2000,110.0100,1,1,2026-08-24T00:00:00.000
74,20260603,20260817,20260823,464,482,327,103,3,1,PIM000074,74,51.9000,111.3800,51.9000,111.3800,1,1,2026-08-24T00:00:00.000
75,20260713,20260803,20260723,87,369,441,181,8,2,PIM000075,75,52.6000,112.7500,52.6000,112.7500,1,1,2026-08-24T00:00:00.000
