PurchaseOrderSpendKey,OrderDateKey,RequestedDeliveryDateKey,PromisedDeliveryDateKey,PurchaseOrderHeaderKey,PurchaseOrderLineKey,SupplierKey,ProductKey,PlantKey,CostCenterKey,PurchaseOrderLifecycleStatusKey,UnitOfMeasureKey,CurrencyKey,PurchaseOrderDistributionNumber,OrderedQuantity,UnitPriceAmount,ExtendedAmount,SourceSystemKey,BatchId,LoadedAtUtc
1,20260605,20260722,20260701,202,498,57,56,161,348,4,5,4,POS000001,0.8000,11.3700,11.3700,1,1,2026-08-24T00:00:00.000
2,20260628,20260807,20260817,460,9,200,479,11,459,9,7,5,POS000002,1.5000,12.7400,12.7400,1,1,2026-08-24T00:00:00.000
3,20260812,20260622,20260708,34,373,141,401,244,325,12,7,4,POS000003,2.2000,14.1100,14.1100,1,1,2026-08-24T00:00:00.000
4,20260814,20260722,20260808,372,141,14,322,23,280,5,4,1,POS000004,2.9000,15.4800,15.4800,1,1,2026-08-24T00:00:00.000
5,20260720,20260723,20260814,193,224,134,49,337,222,8,1,4,POS000005,3.6000,16.8500,16.8500,1,1,2026-08-24T00:00:00.000
6,20260730,20260614,20260604,183,17,86,69,60,338,12,2,4,POS000006,4.3000,18.2200,18.2200,1,1,2026-08-24T00:00:00.000
7,20260529,20260606,20260823,312,336,14,90,67,269,3,3,5,POS000007,5.0000,19.5900,19.5900,1,1,2026-08-24T00:00:00.000
8,20260727,20260618,20260701,409,459,82,483,118,63,9,5,3,POS000008,5.7000,20.9600,20.9600,1,1,2026-08-24T00:00:00.000
9,20260617,20260707,20260714,109,312,143,28,155,45,5,3,4,POS000009,6.4000,22.3300,22.3300,1,1,2026-08-24T00:00:00.000
10,20260724,20260810,20260616,286,391,289,181,282,73,8,2,1,POS000010,7.1000,23.7000,23.7000,1,1,2026-08-24T00:00:00.000
11,20260611,20260811,20260528,451,114,306,368,176,5,12,3,2,POS000011,7.8000,25.0700,25.0700,1,1,2026-08-24T00:00:00.000
12,20260619,20260613,20260807,347,404,24,195,224,71,6,2,2,POS000012,8.5000,26.4400,26.4400,1,1,2026-08-24T00:00:00.000
13,20260706,20260601,20260604,443,444,174,438,154,450,8,6,3,POS000013,9.2000,27.8100,27.8100,1,1,2026-08-24T00:00:00.000
14,20260722,20260807,20260822,48,28,291,160,278,488,12,4,5,POS000014,9.9000,29.1800,29.1800,1,1,2026-08-24T00:00:00.000
15,20260605,20260812,20260813,285,204,124,27,32,187,3,3,5,POS000015,10.6000,30.5500,30.5500,1,1,2026-08-24T00:00:00.000
16,20260725,20260707,20260612,175,8,416,294,235,152,6,6,5,POS000016,11.3000,31.9200,31.9200,1,1,2026-08-24T00:00:00.000
17,20260816,20260721,20260531,408,76,203,-1,43,-1,10,3,5,POS000017,12.0000,33.2900,33.2900,1,1,2026-08-24T00:00:00.000
18,20260812,20260705,20260816,179,436,107,387,71,479,2,6,3,POS000018,12.7000,34.6600,34.6600,1,1,2026-08-24T00:00:00.000
19,20260824,20260624,20260806,333,409,428,414,137,446,6,1,3,POS000019,13.4000,36.0300,36.0300,1,1,2026-08-24T00:00:00.000
20,20260629,20260721,20260717,5,258,349,6,67,394,9,5,2,POS000020,14.1000,37.4000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260705,20260608,20260716,347,121,65,149,110,195,4,2,1,POS000021,14.8000,38.7700,38.7700,1,1,2026-08-24T00:00:00.000
22,20260824,20260617,20260530,30,134,377,240,299,165,12,3,5,POS000022,15.5000,40.1400,40.1400,1,1,2026-08-24T00:00:00.000
23,20260809,20260713,20260808,421,119,231,128,319,26,1,2,5,POS000023,16.2000,41.5100,41.5100,1,1,2026-08-24T00:00:00.000
24,20260627,20260529,20260822,131,161,201,43,216,276,2,2,3,POS000024,16.9000,42.8800,42.8800,1,1,2026-08-24T00:00:00.000
25,20260530,20260610,20260818,294,273,238,177,30,215,8,2,2,POS000025,17.6000,44.2500,44.2500,1,1,2026-08-24T00:00:00.000
26,20260709,20260708,20260701,96,256,470,378,43,162,3,1,5,POS000026,18.3000,45.6200,45.6200,1,1,2026-08-24T00:00:00.000
