SafetyNearMissKey,ObservedDateKey,SubmittedDateKey,ObservedTimeOfDayKey,PlantKey,WorkCenterKey,ReporterEmployeeKey,SafetyIncidentTypeKey,SafetyHazardConditionKey,SafetyIncidentStatusKey,SeverityKey,NearMissNumber,ObservationCount,PotentialRiskScore,SourceSystemKey,BatchId,LoadedAtUtc
1,20260601,20260817,40860,3,481,97,55,496,4,2,SNM000001,2,2.00,1,1,2026-08-24T00:00:00.000
2,20260616,20260818,55620,193,466,233,236,98,7,5,SNM000002,3,3.00,1,1,2026-08-24T00:00:00.000
3,20260612,20260621,52440,288,266,165,28,193,8,3,SNM000003,4,4.00,1,1,2026-08-24T00:00:00.000
4,20260808,20260821,8400,262,152,428,439,50,1,3,SNM000004,5,5.00,1,1,2026-08-24T00:00:00.000
5,20260531,20260628,66900,237,427,213,84,398,4,3,SNM000005,6,6.00,1,1,2026-08-24T00:00:00.000
6,20260602,20260714,84660,131,417,499,373,123,5,2,SNM000006,7,7.00,1,1,2026-08-24T00:00:00.000
7,20260728,20260614,50040,27,362,490,123,351,6,1,SNM000007,8,8.00,1,1,2026-08-24T00:00:00.000
8,20260702,20260529,75360,299,63,135,333,329,1,3,SNM000008,9,9.00,1,1,2026-08-24T00:00:00.000
9,20260706,20260611,53520,55,484,208,255,316,2,2,SNM000009,10,10.00,1,1,2026-08-24T00:00:00.000
10,20260816,20260728,83400,50,352,307,21,320,3,3,SNM000010,11,11.00,1,1,2026-08-24T00:00:00.000
11,20260701,20260613,70740,45,218,139,379,272,3,4,SNM000011,12,12.00,1,1,2026-08-24T00:00:00.000
12,20260819,20260715,37260,233,491,21,242,208,6,3,SNM000012,13,13.00,1,1,2026-08-24T00:00:00.000
13,20260618,20260813,24600,208,417,120,282,327,1,1,SNM000013,14,14.00,1,1,2026-08-24T00:00:00.000
14,20260810,20260606,45600,40,450,269,85,175,3,2,SNM000014,15,15.00,1,1,2026-08-24T00:00:00.000
