SalesOrderAllocationKey,AllocationDateKey,PromiseShipDateKey,AllocationTimeOfDayKey,SalesOrderLineKey,SalesFulfillmentPromiseKey,ProductKey,FulfillmentPlantKey,SalesAllocationStatusKey,UnitOfMeasureKey,AllocationDocumentNumber,RequestedQuantity,AllocatedQuantity,UnallocatedQuantity,SourceSystemKey,BatchId,LoadedAtUtc
1,20260606,20260609,6120,485,148,293,127,7,3,SOA000001,0.8000,0.8000,0.8000,1,1,2026-08-24T00:00:00.000
2,20260704,20260620,15240,55,453,210,173,5,1,SOA000002,1.5000,1.5000,1.5000,1,1,2026-08-24T00:00:00.000
3,20260723,20260726,77280,342,237,347,29,5,7,SOA000003,2.2000,2.2000,2.2000,1,1,2026-08-24T00:00:00.000
4,20260623,20260816,73320,301,185,72,57,2,2,SOA000004,2.9000,2.9000,2.9000,1,1,2026-08-24T00:00:00.000
5,20260716,20260808,42600,388,270,76,213,9,1,SOA000005,3.6000,3.6000,3.6000,1,1,2026-08-24T00:00:00.000
6,20260711,20260529,74760,150,319,334,1,2,6,SOA000006,4.3000,4.3000,4.3000,1,1,2026-08-24T00:00:00.000
7,20260821,20260711,66600,175,402,482,146,9,2,SOA000007,5.0000,5.0000,5.0000,1,1,2026-08-24T00:00:00.000
8,20260807,20260620,960,406,279,244,50,7,4,SOA000008,5.7000,5.7000,5.7000,1,1,2026-08-24T00:00:00.000
9,20260716,20260813,43920,459,90,323,193,3,4,SOA000009,6.4000,6.4000,6.4000,1,1,2026-08-24T00:00:00.000
10,20260714,20260810,28020,6,309,111,131,2,1,SOA000010,7.1000,7.1000,7.1000,1,1,2026-08-24T00:00:00.000
11,20260812,20260712,76920,297,327,478,195,3,5,SOA000011,7.8000,7.8000,7.8000,1,1,2026-08-24T00:00:00.000
12,20260823,20260708,39600,61,104,22,62,5,1,SOA000012,8.5000,8.5000,8.5000,1,1,2026-08-24T00:00:00.000
13,20260623,20260618,15300,175,195,296,64,8,7,SOA000013,9.2000,9.2000,9.2000,1,1,2026-08-24T00:00:00.000
14,20260529,20260703,9720,443,247,433,2,9,6,SOA000014,9.9000,9.9000,9.9000,1,1,2026-08-24T00:00:00.000
15,20260723,20260630,10380,283,292,10,168,7,3,SOA000015,10.6000,10.6000,10.6000,1,1,2026-08-24T00:00:00.000
16,20260617,20260623,63060,473,193,320,316,10,6,SOA000016,11.3000,11.3000,11.3000,1,1,2026-08-24T00:00:00.000
17,20260813,20260727,58980,196,57,412,81,1,5,SOA000017,12.0000,12.0000,12.0000,1,1,2026-08-24T00:00:00.000
18,20260723,20260722,30420,449,222,421,142,2,3,SOA000018,12.7000,12.7000,12.7000,1,1,2026-08-24T00:00:00.000
19,20260816,20260802,25440,37,381,364,230,6,4,SOA000019,13.4000,13.4000,13.4000,1,1,2026-08-24T00:00:00.000
20,20260731,20260709,63780,420,333,28,298,7,6,SOA000020,14.1000,14.1000,14.1000,1,1,2026-08-24T00:00:00.000
21,20260617,20260807,15720,254,276,431,265,5,7,SOA000021,14.8000,14.8000,14.8000,1,1,2026-08-24T00:00:00.000
22,20260626,20260807,25500,83,407,116,86,1,7,SOA000022,15.5000,15.5000,15.5000,1,1,2026-08-24T00:00:00.000
23,20260729,20260615,18180,331,32,102,326,5,7,SOA000023,16.2000,16.2000,16.2000,1,1,2026-08-24T00:00:00.000
24,20260704,20260630,30240,94,166,303,263,7,3,SOA000024,16.9000,16.9000,16.9000,1,1,2026-08-24T00:00:00.000
25,20260822,20260817,62640,143,407,160,258,1,4,SOA000025,17.6000,17.6000,17.6000,1,1,2026-08-24T00:00:00.000
26,20260603,20260731,73560,9,194,230,111,2,4,SOA000026,18.3000,18.3000,18.3000,1,1,2026-08-24T00:00:00.000
27,20260812,20260820,31680,463,51,393,253,2,4,SOA000027,19.0000,19.0000,19.0000,1,1,2026-08-24T00:00:00.000
28,20260721,20260616,22620,18,480,33,13,6,5,SOA000028,19.7000,19.7000,19.7000,1,1,2026-08-24T00:00:00.000
29,20260725,20260606,39840,484,411,280,176,10,7,SOA000029,20.4000,20.4000,20.4000,1,1,2026-08-24T00:00:00.000
30,20260805,20260811,17820,488,179,99,319,7,4,SOA000030,21.1000,21.1000,21.1000,1,1,2026-08-24T00:00:00.000
31,20260812,20260614,56400,394,59,332,64,1,2,SOA000031,21.8000,21.8000,21.8000,1,1,2026-08-24T00:00:00.000
32,20260820,20260531,13740,178,233,283,265,4,3,SOA000032,22.5000,22.5000,22.5000,1,1,2026-08-24T00:00:00.000
33,20260613,20260617,85860,475,370,239,269,3,3,SOA000033,23.2000,23.2000,23.2000,1,1,2026-08-24T00:00:00.000
34,20260603,20260811,62760,171,435,447,60,10,5,SOA000034,23.9000,23.9000,23.9000,1,1,2026-08-24T00:00:00.000
35,20260714,20260803,42480,261,86,38,337,4,5,SOA000035,24.6000,24.6000,24.6000,1,1,2026-08-24T00:00:00.000
36,20260730,20260625,41340,372,35,429,132,2,6,SOA000036,25.3000,25.3000,25.3000,1,1,2026-08-24T00:00:00.000
37,20260710,20260718,22620,369,45,343,76,7,1,SOA000037,26.0000,26.0000,26.0000,1,1,2026-08-24T00:00:00.000
38,20260816,20260704,55500,177,292,422,190,7,4,SOA000038,26.7000,26.7000,26.7000,1,1,2026-08-24T00:00:00.000
39,20260718,20260719,74760,142,391,181,100,7,5,SOA000039,27.4000,27.4000,27.4000,1,1,2026-08-24T00:00:00.000
40,20260731,20260626,15300,75,123,394,81,2,7,SOA000040,28.1000,28.1000,28.1000,1,1,2026-08-24T00:00:00.000
41,20260527,20260713,82920,157,232,344,166,1,4,SOA000041,28.8000,28.8000,28.8000,1,1,2026-08-24T00:00:00.000
42,20260615,20260701,7860,189,68,90,202,2,7,SOA000042,29.5000,29.5000,29.5000,1,1,2026-08-24T00:00:00.000
