DefectTypeKey,DefectTypeCode,DefectCategoryKey,DefectTypeName,DefectTypeDescription,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,N/A,0,-1,0,1900-01-01T00:00:00.000
1,DT000001,2,Cedar DefectType 1,DefectType starter record 1,1,1,1,2026-08-24T00:00:00.000
2,DT000002,16,Granite DefectType 2,DefectType starter record 2,1,1,1,2026-08-24T00:00:00.000
3,DT000003,8,Meridian DefectType 3,DefectType starter record 3,1,1,1,2026-08-24T00:00:00.000
4,DT000004,7,Keystone DefectType 4,DefectType starter record 4,1,1,1,2026-08-24T00:00:00.000
5,DT000005,9,Riverton DefectType 5,DefectType starter record 5,0,1,1,2026-08-24T00:00:00.000
6,DT000006,17,Zenith DefectType 6,DefectType starter record 6,1,1,1,2026-08-24T00:00:00.000
7,DT000007,4,Pioneer DefectType 7,DefectType starter record 7,1,1,1,2026-08-24T00:00:00.000
8,DT000008,13,Liberty DefectType 8,DefectType starter record 8,1,1,1,2026-08-24T00:00:00.000
9,DT000009,7,Northstar DefectType 9,DefectType starter record 9,1,1,1,2026-08-24T00:00:00.000
10,DT000010,2,Quartz DefectType 10,DefectType starter record 10,0,1,1,2026-08-24T00:00:00.000
11,DT000011,18,Liberty DefectType 11,DefectType starter record 11,1,1,1,2026-08-24T00:00:00.000
12,DT000012,4,Quartz DefectType 12,DefectType starter record 12,1,1,1,2026-08-24T00:00:00.000
13,DT000013,7,Forge DefectType 13,DefectType starter record 13,1,1,1,2026-08-24T00:00:00.000
14,DT000014,5,Zenith DefectType 14,DefectType starter record 14,1,1,1,2026-08-24T00:00:00.000
15,DT000015,12,Atlas DefectType 15,DefectType starter record 15,0,1,1,2026-08-24T00:00:00.000
16,DT000016,6,Zenith DefectType 16,DefectType starter record 16,1,1,1,2026-08-24T00:00:00.000
17,DT000017,10,Beacon DefectType 17,DefectType starter record 17,1,1,1,2026-08-24T00:00:00.000
18,DT000018,10,Unity DefectType 18,DefectType starter record 18,1,1,1,2026-08-24T00:00:00.000
19,DT000019,11,Keystone DefectType 19,DefectType starter record 19,1,1,1,2026-08-24T00:00:00.000
20,DT000020,18,Harbor DefectType 20,DefectType starter record 20,0,1,1,2026-08-24T00:00:00.000
21,DT000021,20,Ion DefectType 21,DefectType starter record 21,1,1,1,2026-08-24T00:00:00.000
22,DT000022,7,Delta DefectType 22,DefectType starter record 22,1,1,1,2026-08-24T00:00:00.000
23,DT000023,12,Liberty DefectType 23,DefectType starter record 23,1,1,1,2026-08-24T00:00:00.000
24,DT000024,14,Liberty DefectType 24,DefectType starter record 24,1,1,1,2026-08-24T00:00:00.000
25,DT000025,6,Quartz DefectType 25,DefectType starter record 25,0,1,1,2026-08-24T00:00:00.000
26,DT000026,20,Granite DefectType 26,DefectType starter record 26,1,1,1,2026-08-24T00:00:00.000
27,DT000027,17,Quartz DefectType 27,DefectType starter record 27,1,1,1,2026-08-24T00:00:00.000
28,DT000028,2,Junction DefectType 28,DefectType starter record 28,1,1,1,2026-08-24T00:00:00.000
29,DT000029,19,Delta DefectType 29,DefectType starter record 29,1,1,1,2026-08-24T00:00:00.000
30,DT000030,13,Atlas DefectType 30,DefectType starter record 30,0,1,1,2026-08-24T00:00:00.000
31,DT000031,4,Junction DefectType 31,DefectType starter record 31,1,1,1,2026-08-24T00:00:00.000
32,DT000032,15,Summit DefectType 32,DefectType starter record 32,1,1,1,2026-08-24T00:00:00.000
33,DT000033,12,Willow DefectType 33,DefectType starter record 33,1,1,1,2026-08-24T00:00:00.000
34,DT000034,1,Keystone DefectType 34,DefectType starter record 34,1,1,1,2026-08-24T00:00:00.000
35,DT000035,11,Granite DefectType 35,DefectType starter record 35,0,1,1,2026-08-24T00:00:00.000
36,DT000036,4,Ion DefectType 36,DefectType starter record 36,1,1,1,2026-08-24T00:00:00.000
37,DT000037,18,Willow DefectType 37,DefectType starter record 37,1,1,1,2026-08-24T00:00:00.000
38,DT000038,9,Northstar DefectType 38,DefectType starter record 38,1,1,1,2026-08-24T00:00:00.000
39,DT000039,1,Quartz DefectType 39,DefectType starter record 39,1,1,1,2026-08-24T00:00:00.000
40,DT000040,9,Pioneer DefectType 40,DefectType starter record 40,0,1,1,2026-08-24T00:00:00.000
41,DT000041,1,Harbor DefectType 41,DefectType starter record 41,1,1,1,2026-08-24T00:00:00.000
42,DT000042,18,Unity DefectType 42,DefectType starter record 42,1,1,1,2026-08-24T00:00:00.000
43,DT000043,5,Granite DefectType 43,DefectType starter record 43,1,1,1,2026-08-24T00:00:00.000
44,DT000044,7,Titan DefectType 44,DefectType starter record 44,1,1,1,2026-08-24T00:00:00.000
45,DT000045,17,Meridian DefectType 45,DefectType starter record 45,0,1,1,2026-08-24T00:00:00.000
46,DT000046,18,Quartz DefectType 46,DefectType starter record 46,1,1,1,2026-08-24T00:00:00.000
47,DT000047,13,Summit DefectType 47,DefectType starter record 47,1,1,1,2026-08-24T00:00:00.000
48,DT000048,12,Orion DefectType 48,DefectType starter record 48,1,1,1,2026-08-24T00:00:00.000
49,DT000049,9,Delta DefectType 49,DefectType starter record 49,1,1,1,2026-08-24T00:00:00.000
50,DT000050,10,Evergreen DefectType 50,DefectType starter record 50,0,1,1,2026-08-24T00:00:00.000
51,DT000051,15,Quartz DefectType 51,DefectType starter record 51,1,1,1,2026-08-24T00:00:00.000
52,DT000052,3,Atlas DefectType 52,DefectType starter record 52,1,1,1,2026-08-24T00:00:00.000
53,DT000053,3,Vertex DefectType 53,DefectType starter record 53,1,1,1,2026-08-24T00:00:00.000
54,DT000054,4,Unity DefectType 54,DefectType starter record 54,1,1,1,2026-08-24T00:00:00.000
55,DT000055,12,Willow DefectType 55,DefectType starter record 55,0,1,1,2026-08-24T00:00:00.000
56,DT000056,10,Granite DefectType 56,DefectType starter record 56,1,1,1,2026-08-24T00:00:00.000
57,DT000057,5,Junction DefectType 57,DefectType starter record 57,1,1,1,2026-08-24T00:00:00.000
