FailureCauseKey,CauseCode,FailureCauseGroupKey,FailureCauseName,FailureCauseDescription,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,N/A,0,-1,0,1900-01-01T00:00:00.000
1,FC000001,9,Summit FailureCause 1,FailureCause starter record 1,1,1,1,2026-08-24T00:00:00.000
2,FC000002,2,Granite FailureCause 2,FailureCause starter record 2,1,1,1,2026-08-24T00:00:00.000
3,FC000003,6,Ion FailureCause 3,FailureCause starter record 3,1,1,1,2026-08-24T00:00:00.000
4,FC000004,12,Summit FailureCause 4,FailureCause starter record 4,1,1,1,2026-08-24T00:00:00.000
5,FC000005,3,Ion FailureCause 5,FailureCause starter record 5,0,1,1,2026-08-24T00:00:00.000
6,FC000006,9,Atlas FailureCause 6,FailureCause starter record 6,1,1,1,2026-08-24T00:00:00.000
7,FC000007,11,Pioneer FailureCause 7,FailureCause starter record 7,1,1,1,2026-08-24T00:00:00.000
8,FC000008,2,Vertex FailureCause 8,FailureCause starter record 8,1,1,1,2026-08-24T00:00:00.000
9,FC000009,9,Vertex FailureCause 9,FailureCause starter record 9,1,1,1,2026-08-24T00:00:00.000
10,FC000010,2,Atlas FailureCause 10,FailureCause starter record 10,0,1,1,2026-08-24T00:00:00.000
11,FC000011,3,Northstar FailureCause 11,FailureCause starter record 11,1,1,1,2026-08-24T00:00:00.000
12,FC000012,7,Northstar FailureCause 12,FailureCause starter record 12,1,1,1,2026-08-24T00:00:00.000
13,FC000013,9,Keystone FailureCause 13,FailureCause starter record 13,1,1,1,2026-08-24T00:00:00.000
14,FC000014,10,Delta FailureCause 14,FailureCause starter record 14,1,1,1,2026-08-24T00:00:00.000
15,FC000015,7,Riverton FailureCause 15,FailureCause starter record 15,0,1,1,2026-08-24T00:00:00.000
16,FC000016,1,Pioneer FailureCause 16,FailureCause starter record 16,1,1,1,2026-08-24T00:00:00.000
17,FC000017,9,Pioneer FailureCause 17,FailureCause starter record 17,1,1,1,2026-08-24T00:00:00.000
18,FC000018,5,Junction FailureCause 18,FailureCause starter record 18,1,1,1,2026-08-24T00:00:00.000
19,FC000019,7,Delta FailureCause 19,FailureCause starter record 19,1,1,1,2026-08-24T00:00:00.000
20,FC000020,3,Junction FailureCause 20,FailureCause starter record 20,0,1,1,2026-08-24T00:00:00.000
21,FC000021,2,Riverton FailureCause 21,FailureCause starter record 21,1,1,1,2026-08-24T00:00:00.000
22,FC000022,9,Evergreen FailureCause 22,FailureCause starter record 22,1,1,1,2026-08-24T00:00:00.000
23,FC000023,3,Zenith FailureCause 23,FailureCause starter record 23,1,1,1,2026-08-24T00:00:00.000
24,FC000024,12,Quartz FailureCause 24,FailureCause starter record 24,1,1,1,2026-08-24T00:00:00.000
25,FC000025,3,Titan FailureCause 25,FailureCause starter record 25,0,1,1,2026-08-24T00:00:00.000
26,FC000026,8,Unity FailureCause 26,FailureCause starter record 26,1,1,1,2026-08-24T00:00:00.000
27,FC000027,4,Summit FailureCause 27,FailureCause starter record 27,1,1,1,2026-08-24T00:00:00.000
28,FC000028,2,Northstar FailureCause 28,FailureCause starter record 28,1,1,1,2026-08-24T00:00:00.000
29,FC000029,7,Willow FailureCause 29,FailureCause starter record 29,1,1,1,2026-08-24T00:00:00.000
30,FC000030,4,Liberty FailureCause 30,FailureCause starter record 30,0,1,1,2026-08-24T00:00:00.000
31,FC000031,11,Pioneer FailureCause 31,FailureCause starter record 31,1,1,1,2026-08-24T00:00:00.000
32,FC000032,1,Junction FailureCause 32,FailureCause starter record 32,1,1,1,2026-08-24T00:00:00.000
33,FC000033,10,Summit FailureCause 33,FailureCause starter record 33,1,1,1,2026-08-24T00:00:00.000
34,FC000034,7,Atlas FailureCause 34,FailureCause starter record 34,1,1,1,2026-08-24T00:00:00.000
35,FC000035,12,Meridian FailureCause 35,FailureCause starter record 35,0,1,1,2026-08-24T00:00:00.000
36,FC000036,12,Beacon FailureCause 36,FailureCause starter record 36,1,1,1,2026-08-24T00:00:00.000
37,FC000037,8,Liberty FailureCause 37,FailureCause starter record 37,1,1,1,2026-08-24T00:00:00.000
38,FC000038,6,Cedar FailureCause 38,FailureCause starter record 38,1,1,1,2026-08-24T00:00:00.000
39,FC000039,2,Evergreen FailureCause 39,FailureCause starter record 39,1,1,1,2026-08-24T00:00:00.000
40,FC000040,1,Evergreen FailureCause 40,FailureCause starter record 40,0,1,1,2026-08-24T00:00:00.000
41,FC000041,1,Unity FailureCause 41,FailureCause starter record 41,1,1,1,2026-08-24T00:00:00.000
42,FC000042,8,Ion FailureCause 42,FailureCause starter record 42,1,1,1,2026-08-24T00:00:00.000
43,FC000043,1,Vertex FailureCause 43,FailureCause starter record 43,1,1,1,2026-08-24T00:00:00.000
44,FC000044,2,Harbor FailureCause 44,FailureCause starter record 44,1,1,1,2026-08-24T00:00:00.000
45,FC000045,7,Forge FailureCause 45,FailureCause starter record 45,0,1,1,2026-08-24T00:00:00.000
46,FC000046,9,Northstar FailureCause 46,FailureCause starter record 46,1,1,1,2026-08-24T00:00:00.000
47,FC000047,8,Beacon FailureCause 47,FailureCause starter record 47,1,1,1,2026-08-24T00:00:00.000
48,FC000048,5,Pioneer FailureCause 48,FailureCause starter record 48,1,1,1,2026-08-24T00:00:00.000
49,FC000049,5,Keystone FailureCause 49,FailureCause starter record 49,1,1,1,2026-08-24T00:00:00.000
50,FC000050,8,Pioneer FailureCause 50,FailureCause starter record 50,0,1,1,2026-08-24T00:00:00.000
