IncotermCodeKey,IncotermCode,IncotermCodeName,IncotermCodeDescription,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,Unknown,N/A,0,-1,0,1900-01-01T00:00:00.000
1,IC000001,IC000001,IC000001,1,-1,1,2026-08-24T00:00:00.000
2,IC000002,IC000002,IC000002,1,-1,1,2026-08-24T00:00:00.000
3,IC000003,IC000003,IC000003,1,-1,1,2026-08-24T00:00:00.000
4,IC000004,IC000004,IC000004,1,-1,1,2026-08-24T00:00:00.000
5,IC000005,IC000005,IC000005,0,-1,1,2026-08-24T00:00:00.000
6,IC000006,IC000006,IC000006,1,-1,1,2026-08-24T00:00:00.000
7,IC000007,IC000007,IC000007,1,-1,1,2026-08-24T00:00:00.000
8,IC000008,IC000008,IC000008,1,-1,1,2026-08-24T00:00:00.000
9,IC000009,IC000009,IC000009,1,-1,1,2026-08-24T00:00:00.000
10,IC000010,IC000010,IC000010,0,-1,1,2026-08-24T00:00:00.000
11,IC000011,IC000011,IC000011,1,-1,1,2026-08-24T00:00:00.000
12,IC000012,IC000012,IC000012,1,-1,1,2026-08-24T00:00:00.000
13,IC000013,IC000013,IC000013,1,-1,1,2026-08-24T00:00:00.000
14,IC000014,IC000014,IC000014,1,-1,1,2026-08-24T00:00:00.000
15,IC000015,IC000015,IC000015,0,-1,1,2026-08-24T00:00:00.000
16,IC000016,IC000016,IC000016,1,-1,1,2026-08-24T00:00:00.000
