LaborPayTypeKey,PayTypeCode,PayTypeName,IsPremiumPay,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,Unknown,0,-1,0,1900-01-01T00:00:00.000
1,LPT000001,Unity LaborPayType 1,1,-1,1,2026-08-24T00:00:00.000
2,LPT000002,Riverton LaborPayType 2,1,-1,1,2026-08-24T00:00:00.000
3,LPT000003,Quartz LaborPayType 3,1,-1,1,2026-08-24T00:00:00.000
4,LPT000004,Granite LaborPayType 4,1,-1,1,2026-08-24T00:00:00.000
5,LPT000005,Zenith LaborPayType 5,0,-1,1,2026-08-24T00:00:00.000
6,LPT000006,Keystone LaborPayType 6,1,-1,1,2026-08-24T00:00:00.000
7,LPT000007,Delta LaborPayType 7,1,-1,1,2026-08-24T00:00:00.000
8,LPT000008,Unity LaborPayType 8,1,-1,1,2026-08-24T00:00:00.000
9,LPT000009,Evergreen LaborPayType 9,1,-1,1,2026-08-24T00:00:00.000
10,LPT000010,Harbor LaborPayType 10,0,-1,1,2026-08-24T00:00:00.000
11,LPT000011,Atlas LaborPayType 11,1,-1,1,2026-08-24T00:00:00.000
12,LPT000012,Liberty LaborPayType 12,1,-1,1,2026-08-24T00:00:00.000
