MachineStateTypeKey,StateTypeCode,StateTypeName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,Unknown,-1,0,1900-01-01T00:00:00.000
1,MST000001,Liberty MachineStateType 1,-1,1,2026-08-24T00:00:00.000
2,MST000002,Vertex MachineStateType 2,-1,1,2026-08-24T00:00:00.000
3,MST000003,Granite MachineStateType 3,-1,1,2026-08-24T00:00:00.000
4,MST000004,Delta MachineStateType 4,-1,1,2026-08-24T00:00:00.000
5,MST000005,Delta MachineStateType 5,-1,1,2026-08-24T00:00:00.000
6,MST000006,Granite MachineStateType 6,-1,1,2026-08-24T00:00:00.000
7,MST000007,Liberty MachineStateType 7,-1,1,2026-08-24T00:00:00.000
8,MST000008,Delta MachineStateType 8,-1,1,2026-08-24T00:00:00.000
9,MST000009,Pioneer MachineStateType 9,-1,1,2026-08-24T00:00:00.000
10,MST000010,Willow MachineStateType 10,-1,1,2026-08-24T00:00:00.000
11,MST000011,Orion MachineStateType 11,-1,1,2026-08-24T00:00:00.000
12,MST000012,Riverton MachineStateType 12,-1,1,2026-08-24T00:00:00.000
