MachineUtilityTypeKey,UtilityTypeCode,UtilityTypeName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,Unknown,-1,0,1900-01-01T00:00:00.000
1,MUT000001,Unity MachineUtilityType 1,-1,1,2026-08-24T00:00:00.000
2,MUT000002,Zenith MachineUtilityType 2,-1,1,2026-08-24T00:00:00.000
3,MUT000003,Riverton MachineUtilityType 3,-1,1,2026-08-24T00:00:00.000
4,MUT000004,Liberty MachineUtilityType 4,-1,1,2026-08-24T00:00:00.000
5,MUT000005,Forge MachineUtilityType 5,-1,1,2026-08-24T00:00:00.000
6,MUT000006,Cedar MachineUtilityType 6,-1,1,2026-08-24T00:00:00.000
7,MUT000007,Orion MachineUtilityType 7,-1,1,2026-08-24T00:00:00.000
8,MUT000008,Junction MachineUtilityType 8,-1,1,2026-08-24T00:00:00.000
9,MUT000009,Keystone MachineUtilityType 9,-1,1,2026-08-24T00:00:00.000
10,MUT000010,Beacon MachineUtilityType 10,-1,1,2026-08-24T00:00:00.000
11,MUT000011,Vertex MachineUtilityType 11,-1,1,2026-08-24T00:00:00.000
12,MUT000012,Delta MachineUtilityType 12,-1,1,2026-08-24T00:00:00.000
